,State/Territory,County,Indicator,Model,Date Model was run,Date of Forecasted Point,Point,Low 95% Confidence Interval,High 95% Confidence Interval,Low 50% Confidence Interval,High 50% Confidence Interval
5598,US,,Incident Deaths,BPagano,10/10/2020,10/17/2020,5364,3233,7462,4614,6081
5599,US,,Incident Deaths,BPagano,10/10/2020,10/24/2020,5620,3218,7986,4775,6429
5600,US,,Incident Deaths,BPagano,10/17/2020,10/24/2020,5702,3506,7865,4929,6441
5601,US,,Incident Deaths,BPagano,10/10/2020,10/31/2020,5941,3117,8722,4947,6891
5602,US,,Incident Deaths,BPagano,10/17/2020,10/31/2020,6435,3880,8950,5536,7294
5603,US,,Incident Deaths,BPagano,10/24/2020,10/31/2020,6222,3826,8582,5379,7029
5604,US,,Incident Deaths,BPagano,10/10/2020,11/7/2020,6282,2893,9618,5089,7422
5605,US,,Incident Deaths,BPagano,10/17/2020,11/7/2020,7207,4094,10272,6112,8254
5606,US,,Incident Deaths,BPagano,10/24/2020,11/7/2020,7144,4305,9939,6145,8099
5607,US,,Incident Deaths,BPagano,10/31/2020,11/7/2020,6396,3895,8858,5516,7237
5608,US,,Incident Deaths,BPagano,10/17/2020,11/14/2020,7965,4075,11795,6596,9274
5609,US,,Incident Deaths,BPagano,10/24/2020,11/14/2020,8127,4614,11586,6891,9309
5610,US,,Incident Deaths,BPagano,10/31/2020,11/14/2020,7329,4463,10150,6320,8293
5611,US,,Incident Deaths,BPagano,11/7/2020,11/14/2020,7779,4738,10774,6709,8803
5612,US,,Incident Deaths,BPagano,10/24/2020,11/21/2020,9036,4629,13374,7485,10518
5613,US,,Incident Deaths,BPagano,10/31/2020,11/21/2020,8285,5046,11474,7145,9375
5614,US,,Incident Deaths,BPagano,11/7/2020,11/21/2020,9138,5565,12655,7881,10339
5615,US,,Incident Deaths,BPagano,11/14/2020,11/21/2020,9155,5576,12679,7896,10359
5616,US,,Incident Deaths,BPagano,10/31/2020,11/28/2020,9127,5559,12640,7872,10328
5617,US,,Incident Deaths,BPagano,11/7/2020,11/28/2020,10455,6368,14479,9017,11830
5618,US,,Incident Deaths,BPagano,11/14/2020,11/28/2020,11026,6715,15270,9509,12476
5619,US,,Incident Deaths,BPagano,11/21/2020,11/28/2020,12486,7605,17292,10769,14128
5620,US,,Incident Deaths,BPagano,11/7/2020,12/5/2020,11447,6972,15853,9873,12953
5621,US,,Incident Deaths,BPagano,11/14/2020,12/5/2020,12810,7802,17740,11048,14494
5622,US,,Incident Deaths,BPagano,11/21/2020,12/5/2020,14846,9042,20560,12804,16798
5623,US,,Incident Deaths,BPagano,11/28/2020,12/5/2020,13673,8328,18936,11793,15471
5624,US,,Incident Deaths,BPagano,11/14/2020,12/12/2020,14026,8543,19425,12097,15870
5625,US,,Incident Deaths,BPagano,11/21/2020,12/12/2020,16912,10301,23422,14586,19136
5626,US,,Incident Deaths,BPagano,11/28/2020,12/12/2020,14601,8893,20221,12593,16521
5627,US,,Incident Deaths,BPagano,12/5/2020,12/12/2020,17009,11606,22328,15108,18827
5628,US,,Incident Deaths,BPagano,11/21/2020,12/19/2020,18163,11063,25154,15665,20551
5629,US,,Incident Deaths,BPagano,11/28/2020,12/19/2020,15367,9360,21282,13254,17388
5630,US,,Incident Deaths,BPagano,12/5/2020,12/19/2020,19457,13276,25541,17282,21535
5631,US,,Incident Deaths,BPagano,12/12/2020,12/19/2020,20225,13801,26550,17965,22386
5632,US,,Incident Deaths,BPagano,11/28/2020,12/26/2020,15992,9740,22147,13792,18095
5633,US,,Incident Deaths,BPagano,12/5/2020,12/26/2020,21096,14395,27693,18739,23350
5634,US,,Incident Deaths,BPagano,12/12/2020,12/26/2020,22936,15651,30109,20373,25387
5635,US,,Incident Deaths,BPagano,12/19/2020,12/26/2020,20106,13720,26394,17859,22254
5636,US,,Incident Deaths,Columbia,7/25/2020,8/1/2020,7563,5618,10750,0,0
5637,US,,Incident Deaths,Columbia,7/25/2020,8/8/2020,8535,5115,15917,0,0
5638,US,,Incident Deaths,Columbia,8/1/2020,8/8/2020,7784,5689,10673,0,0
5639,US,,Incident Deaths,Columbia,7/25/2020,8/15/2020,9650,4708,22882,0,0
5640,US,,Incident Deaths,Columbia,8/1/2020,8/15/2020,8236,5075,15268,0,0
5641,US,,Incident Deaths,Columbia,8/8/2020,8/15/2020,6515,4805,9212,5874,7292
