,Province_State,Date,Deaths,Confirmed,Recovered,Active,People_Tested,People_Hospitalized
0,Alabama,4/18/2020,60,29695,0,0,507285,3679
1,Alabama,4/25/2020,56,39502,0,0,675277,5087
2,Alabama,5/2/2020,79,49222,0,21478,896187,6582
3,Alabama,5/9/2020,102,61741,0,15592,1128761,7977
4,Alabama,5/16/2020,95,76115,0,0,1393750,9214
5,Alabama,5/23/2020,64,92458,15902,11290,1728045,10432
6,Alabama,5/30/2020,69,113847,59869,49879,2056575,12022
7,Alabama,6/6/2020,71,133940,73645,55695,2410188,13350
8,Alabama,6/13/2020,84,159677,88217,66280,2811244,14900
9,Alabama,6/20/2020,65,195226,104420,85214,3230289,16413
10,Alabama,6/27/2020,81,229526,123386,99983,3706482,17981
11,Alabama,7/4/2020,88,279027,141710,130549,4271026,19624
12,Alabama,7/11/2020,107,337277,165677,164209,4867055,24663
13,Alabama,7/18/2020,172,421888,196293,217194,5608095,50854
14,Alabama,7/25/2020,170,509831,216474,283821,6351508,60535
15,Alabama,8/1/2020,147,593783,236243,346799,7100475,69749
16,Alabama,8/8/2020,152,668533,257895,398813,7800458,77973
17,Alabama,8/15/2020,141,729559,279861,436725,8545923,85488
18,Alabama,8/22/2020,115,780628,300144,466800,9362840,91765
19,Alabama,8/29/2020,141,837699,326164,497081,10011665,69098
20,Alabama,9/5/2020,123,897430,348700,533195,10636922,0
21,Alabama,9/12/2020,75,939388,370354,552936,11215348,0
22,Alabama,9/19/2020,87,984363,407597,560015,11853596,0
23,Alabama,9/26/2020,64,1032750,442028,573403,12482416,0
24,Alabama,10/3/2020,57,1083620,465541,600364,13097973,0
25,Alabama,10/10/2020,106,1131041,485512,627277,13727570,0
26,Alabama,10/17/2020,124,1181083,510672,651381,14370290,0
27,Alabama,10/24/2020,78,1245730,520470,705482,15053926,0
28,Alabama,10/31/2020,101,1322361,540771,761242,15779018,0
29,Alabama,11/7/2020,115,1392758,580899,790763,16498267,0
30,Alabama,11/14/2020,164,1466484,601998,842307,2408721,0
31,Alabama,11/21/2020,211,1566379,624258,918649,0,0
32,Alabama,11/28/2020,115,1672593,919890,728067,0,0
33,Alabama,12/5/2020,305,1798628,1159386,613254,0,0
34,Alabama,12/12/2020,225,1965496,1204381,733185,0,0
35,Alabama,12/19/2020,287,2146621,1258915,858241,0,0
36,Alabama,12/26/2020,296,2336349,1323471,981020,0,0
37,Alabama,1/2/2021,187,2498580,1387995,1077100,0,0
38,Alabama,1/9/2021,427,2692473,1453147,1204125,0,0
39,Alabama,1/16/2021,820,2877535,1512619,1324808,0,0
40,Alabama,1/23/2021,538,3010889,1598727,1367990,0,0
41,Alabama,1/30/2021,909,3143072,1659273,1433937,0,0
42,Alabama,2/6/2021,947,3256946,1727212,1472934,0,0
43,Alabama,2/13/2021,729,3332597,1817124,1453525,0,0
44,Alabama,2/20/2021,348,3383754,1884219,1433859,0,0
45,Alabama,2/27/2021,340,3429198,1956370,1404610,0,0
46,Alabama,3/6/2021,219,3474970,2038150,1366575,0,0
47,Alabama,3/13/2021,178,3510204,0,0,0,0
48,Alabama,3/20/2021,109,3561809,0,0,0,0
49,Alabama,3/27/2021,90,3588529,0,0,0,0
50,Alabama,4/3/2021,111,3608125,0,0,0,0
51,Alabama,4/10/2021,75,3623031,0,0,0,0
52,Alabama,4/17/2021,78,3644208,0,0,0,0
53,Alabama,4/24/2021,61,3669659,0,0,0,0
54,Alabama,5/1/2021,62,3690013,0,0,0,0
55,Alabama,5/8/2021,65,3706691,0,0,0,0
56,Alabama,5/15/2021,60,3735774,0,0,0,0
57,Alabama,5/22/2021,74,3786675,0,0,0,0
58,Alabama,5/29/2021,34,3799760,0,0,0,0
59,Alabama,6/5/2021,52,3811651,0,0,0,0
60,Alabama,6/12/2021,68,3827075,0,0,0,0
61,Alabama,6/19/2021,40,3837319,0,0,0,0
62,Alabama,6/26/2021,30,3845339,0,0,0,0
63,Alabama,7/3/2021,22,3855398,0,0,0,0
64,Alabama,7/10/2021,44,3868392,0,0,0,0
65,Alabama,7/17/2021,41,3897281,0,0,0,0
66,Alabama,7/24/2021,40,3949260,0,0,0,0
67,Alabama,7/31/2021,53,4035470,0,0,0,0
68,Alabama,8/7/2021,88,4174908,0,0,0,0
69,Alabama,8/14/2021,141,4334677,0,0,0,0
70,Alabama,8/21/2021,235,4522528,0,0,0,0
71,Alabama,8/28/2021,219,4706665,0,0,0,0
72,Alabama,9/4/2021,195,4933995,0,0,0,0
73,Alabama,9/11/2021,259,5129969,0,0,0,0
74,Alabama,9/18/2021,536,5305044,0,0,0,0
75,Alabama,9/25/2021,813,5450602,0,0,0,0
76,Alabama,10/2/2021,447,5561702,0,0,0,0
77,Alabama,10/9/2021,388,5628896,0,0,0,0
78,Alabama,10/16/2021,322,5674443,0,0,0,0
79,Alabama,10/23/2021,227,5715004,0,0,0,0
80,Alabama,10/30/2021,167,5783833,0,0,0,0
81,Alabama,11/6/2021,261,5836292,0,0,0,0
82,Alabama,11/13/2021,147,5863351,0,0,0,0
83,Alabama,11/20/2021,92,5887209,0,0,0,0
84,Alabama,11/27/2021,42,5908184,0,0,0,0
85,Alabama,12/4/2021,70,5925310,0,0,0,0
86,Alabama,12/11/2021,80,5950614,0,0,0,0
87,Alabama,12/18/2021,88,5983543,0,0,0,0
88,Alabama,12/25/2021,65,6033891,0,0,0,0
89,Alabama,1/1/2022,37,6176005,0,0,0,0
90,Alabama,1/8/2022,169,6545473,0,0,0,0
91,Alabama,1/15/2022,17,6975420,0,0,0,0
92,Alabama,1/22/2022,185,7643272,0,0,0,0
93,Alabama,1/29/2022,260,8170435,0,0,0,0
94,Alabama,2/5/2022,285,8596467,0,0,0,0
95,Alabama,2/12/2022,200,8771054,0,0,0,0
96,Alabama,2/19/2022,362,8874785,0,0,0,0
97,Alabama,2/26/2022,292,8929477,0,0,0,0
98,Alabama,3/5/2022,255,8969152,0,0,0,0
99,Alabama,3/12/2022,352,9011160,0,0,0,0
100,Alabama,3/19/2022,206,9031465,0,0,0,0
101,Alabama,3/26/2022,172,9043814,0,0,0,0
102,Alabama,4/2/2022,103,9063073,0,0,0,0
103,Alabama,4/9/2022,63,9073855,0,0,0,0
104,Alabama,4/16/2022,126,9081974,0,0,0,0
105,Alabama,4/23/2022,39,9090959,0,0,0,0
106,Alabama,4/30/2022,26,9101284,0,0,0,0
107,Alabama,5/7/2022,34,9112121,0,0,0,0
108,Alabama,5/14/2022,27,9126329,0,0,0,0
109,Alabama,5/21/2022,17,9146210,0,0,0,0
110,Alabama,5/28/2022,13,9173579,0,0,0,0
111,Alabama,6/4/2022,6,9206858,0,0,0,0
112,Alabama,6/11/2022,28,9257486,0,0,0,0
113,Alabama,6/18/2022,4,9318060,0,0,0,0
114,Alabama,6/25/2022,33,9392187,0,0,0,0
115,Alabama,7/2/2022,30,9480626,0,0,0,0
116,Alabama,7/9/2022,27,9570363,0,0,0,0
117,Alabama,7/16/2022,36,9687311,0,0,0,0
118,Alabama,7/23/2022,50,9807705,0,0,0,0
119,Alabama,7/30/2022,19,9927092,0,0,0,0
120,Alabama,8/6/2022,83,10007018,0,0,0,0
121,Alabama,8/13/2022,52,10095268,0,0,0,0
122,Alabama,8/20/2022,15,10191047,0,0,0,0
123,Alabama,8/27/2022,7,10294547,0,0,0,0
124,Alabama,9/3/2022,112,10401320,0,0,0,0
125,Alabama,9/10/2022,79,10489740,0,0,0,0
126,Alabama,9/17/2022,83,10553122,0,0,0,0
127,Alabama,9/24/2022,73,10602248,0,0,0,0
128,Alabama,10/1/2022,27,10638021,0,0,0,0
129,Alabama,10/8/2022,51,10665712,0,0,0,0
130,Alabama,10/15/2022,32,10689113,0,0,0,0
131,Alabama,10/22/2022,28,10708871,0,0,0,0
132,Alabama,10/29/2022,25,10728081,0,0,0,0
133,Alabama,11/5/2022,0,10740009,0,0,0,0
134,Alabama,11/12/2022,50,10758135,0,0,0,0
135,Alabama,11/19/2022,9,10789895,0,0,0,0
136,Alabama,11/26/2022,14,10807077,0,0,0,0
137,Alabama,12/3/2022,21,10832437,0,0,0,0
138,Alabama,12/10/2022,30,10868223,0,0,0,0
139,Alabama,12/17/2022,22,10911504,0,0,0,0
140,Alabama,12/24/2022,33,10960407,0,0,0,0
141,Alabama,12/31/2022,0,10982538,0,0,0,0
142,Alabama,1/7/2023,39,11055698,0,0,0,0
143,Alabama,1/14/2023,44,11146268,0,0,0,0
144,Alabama,1/21/2023,26,11200011,0,0,0,0
145,Alabama,1/28/2023,24,11250813,0,0,0,0
146,Alabama,2/4/2023,12,11303005,0,0,0,0
147,Alabama,2/11/2023,10,11364230,0,0,0,0
148,Alabama,2/18/2023,7,11417982,0,0,0,0
149,Alabama,2/25/2023,33,11454621,0,0,0,0
150,Alabama,3/4/2023,69,11483292,0,0,0,0
151,Alabama,3/11/2023,31,8215252,0,0,0,0
152,Alaska,4/18/2020,1,2050,740,1249,60720,239
153,Alaska,4/25/2020,0,2319,1312,944,83471,274
154,Alaska,5/2/2020,0,2475,1670,742,129484,24
155,Alaska,5/9/2020,1,2614,2000,547,165911,0
156,Alaska,5/16/2020,0,2690,2350,270,214115,0
157,Alaska,5/23/2020,0,2797,2459,268,267029,0
158,Alaska,5/30/2020,0,2936,2546,320,328410,0
159,Alaska,6/6/2020,0,3545,2618,857,405258,48
160,Alaska,6/13/2020,2,4246,2752,1417,477120,0
161,Alaska,6/20/2020,0,4955,3065,1806,553562,0
162,Alaska,6/27/2020,2,5674,3528,2058,674743,0
163,Alaska,7/4/2020,2,7007,3718,3188,802443,0
164,Alaska,7/11/2020,1,8838,3972,4749,932357,0
165,Alaska,7/18/2020,1,11693,4639,6934,1094430,0
166,Alaska,7/25/2020,2,15074,5316,9627,1307702,0
167,Alaska,8/1/2020,4,19992,6037,13800,1548967,0
168,Alaska,8/8/2020,2,24413,7594,16644,1802841,0
169,Alaska,8/15/2020,2,27709,9419,18103,2028247,0
170,Alaska,8/22/2020,3,31492,10619,20669,2188490,0
171,Alaska,8/29/2020,6,34868,14154,20466,2348031,0
172,Alaska,9/5/2020,5,38204,15902,22028,2591483,0
173,Alaska,9/12/2020,2,41924,16412,25215,2746563,0
174,Alaska,9/19/2020,1,45666,16831,28525,2877320,0
175,Alaska,9/26/2020,7,49730,19316,30084,3037358,0
176,Alaska,10/3/2020,7,55201,31231,23571,3200792,0
177,Alaska,10/10/2020,2,62610,38984,23206,3409134,0
178,Alaska,10/17/2020,6,71752,42201,29105,3613515,0
179,Alaska,10/24/2020,1,81968,47102,34393,3816800,0
180,Alaska,10/31/2020,14,104246,49266,54463,4063639,0
181,Alaska,11/7/2020,4,125305,49855,74849,4787305,0
182,Alaska,11/14/2020,14,149725,50127,98937,781301,0
183,Alaska,11/21/2020,4,178801,50154,127933,0,0
184,Alaska,11/28/2020,18,206923,50155,155960,0,0
185,Alaska,12/5/2020,21,237894,50155,186833,0,0
186,Alaska,12/12/2020,33,271396,50155,220167,0,0
187,Alaska,12/19/2020,8,297130,50155,245713,0,0
188,Alaska,12/26/2020,16,313024,50155,261512,0,0
189,Alaska,1/2/2021,15,326211,50155,274625,0,0
190,Alaska,1/9/2021,9,342898,50155,291202,0,0
191,Alaska,1/16/2021,5,356383,50155,304643,0,0
192,Alaska,1/23/2021,30,367456,28660,179127,0,0
193,Alaska,1/30/2021,3,376116,0,0,0,0
194,Alaska,2/6/2021,17,383746,0,0,0,0
195,Alaska,2/13/2021,3,392087,0,0,0,0
196,Alaska,2/20/2021,7,398711,0,0,0,0
197,Alaska,2/27/2021,1,405726,0,0,0,0
198,Alaska,3/6/2021,15,412703,0,0,0,0
199,Alaska,3/13/2021,1,419388,0,0,0,0
200,Alaska,3/20/2021,4,426032,0,0,0,0
201,Alaska,3/27/2021,3,432871,0,0,0,0
202,Alaska,4/3/2021,0,440631,0,0,0,0
203,Alaska,4/10/2021,0,449981,0,0,0,0
204,Alaska,4/17/2021,21,458406,0,0,0,0
205,Alaska,4/24/2021,0,466477,0,0,0,0
206,Alaska,5/1/2021,13,474347,0,0,0,0
207,Alaska,5/8/2021,2,480280,0,0,0,0
208,Alaska,5/15/2021,4,484721,0,0,0,0
209,Alaska,5/22/2021,16,488116,0,0,0,0
210,Alaska,5/29/2021,0,490650,0,0,0,0
211,Alaska,6/5/2021,0,492436,0,0,0,0
212,Alaska,6/12/2021,4,493989,0,0,0,0
213,Alaska,6/19/2021,0,495376,0,0,0,0
214,Alaska,6/26/2021,1,496941,0,0,0,0
