State,Date,Confirmed,Deaths,Recovered,Active,Total_Test_Results,People_Hospitalized
Alabama,2020-04-12,3667,93,0.0,0.0,62029.0,437.0
New Hampshire,2020-04-12,929,23,236.0,670.0,10925.0,146.0
New Jersey,2020-04-12,61850,2350,0.0,0.0,126735.0,7604.0
New Mexico,2020-04-12,1245,26,235.0,984.0,28692.0,78.0
New York,2020-04-12,189033,9382,23887.0,155764.0,461601.0,42594.0
North Carolina,2020-04-12,4570,89,0.0,0.0,62139.0,331.0
North Dakota,2020-04-12,308,7,121.0,180.0,10350.0,39.0
Ohio,2020-04-12,6604,363,0.0,0.0,63243.0,1948.0
Oklahoma,2020-04-12,1970,96,865.0,1009.0,22760.0,446.0
Oregon,2020-04-12,1527,52,0.0,0.0,29758.0,359.0
Pennsylvania,2020-04-12,23219,572,0.0,0.0,129733.0,2097.0
Puerto Rico,2020-04-12,897,44,0.0,0.0,11026.0,0.0
Rhode Island,2020-04-12,2665,91,35.0,2539.0,20350.0,201.0
South Carolina,2020-04-12,3320,82,0.0,0.0,31425.0,496.0
South Dakota,2020-04-12,730,6,197.0,527.0,8553.0,43.0
Tennessee,2020-04-12,5508,106,1504.0,3898.0,70677.0,567.0
Texas,2020-04-12,9747,306,2014.0,11460.0,124533.0,1338.0
Utah,2020-04-12,2303,18,0.0,0.0,44234.0,195.0
Vermont,2020-04-12,727,27,15.0,685.0,9841.0,34.0
Virginia,2020-04-12,5274,141,0.0,0.0,39985.0,751.0
Washington,2020-04-12,10609,562,0.0,0.0,93615.0,642.0
West Virginia,2020-04-12,593,6,83.0,504.0,16257.0,81.0
Wisconsin,2020-04-12,3341,144,0.0,0.0,39257.0,974.0
Wyoming,2020-04-12,270,0,137.0,133.0,5459.0,40.0
Nevada,2020-04-12,2836,112,0.0,0.0,24611.0,282.0
Nebraska,2020-04-12,791,17,0.0,0.0,10691.0,0.0
Alaska,2020-04-12,272,8,66.0,198.0,8038.0,31.0
Missouri,2020-04-12,4352,120,0.0,0.0,45200.0,988.0
Montana,2020-04-12,387,6,169.0,212.0,8913.0,47.0
Arizona,2020-04-12,3542,115,0.0,0.0,52289.0,0.0
Arkansas,2020-04-12,1280,27,367.0,886.0,19722.0,130.0
California,2020-04-12,22189,631,0.0,0.0,190328.0,5234.0
Colorado,2020-04-12,7307,289,0.0,0.0,34873.0,1376.0
Connecticut,2020-04-12,12035,554,0.0,0.0,41220.0,1654.0
Delaware,2020-04-12,1625,49,191.0,1385.0,11103.0,190.0
Florida,2020-04-12,19895,461,0.0,0.0,323996.0,2772.0
Georgia,2020-04-12,12452,433,0.0,0.0,54453.0,2505.0
Guam,2020-04-12,133,5,58.0,70.0,826.0,13.0
Hawaii,2020-04-12,499,9,300.0,190.0,17968.0,44.0
Idaho,2020-04-12,1407,27,0.0,0.0,14308.0,131.0
District of Columbia,2020-04-12,1875,50,493.0,1332.0,10640.0,0.0
Indiana,2020-04-12,7928,448,0.0,0.0,42489.0,0.0
Iowa,2020-04-12,1587,41,674.0,872.0,17592.0,129.0
Kansas,2020-04-12,1344,63,0.0,0.0,13253.0,298.0
Kentucky,2020-04-12,1963,97,464.0,1402.0,24567.0,459.0
Louisiana,2020-04-12,20595,840,0.0,0.0,104045.0,2084.0
Maine,2020-04-12,633,19,266.0,348.0,6721.0,120.0
Maryland,2020-04-12,8225,236,456.0,7533.0,49764.0,1860.0
Massachusetts,2020-04-12,25475,756,0.0,0.0,116730.0,2235.0
Michigan,2020-04-12,24244,1479,433.0,22332.0,79437.0,3636.0
Minnesota,2020-04-12,1621,70,842.0,709.0,37421.0,361.0
Illinois,2020-04-12,20852,720,0.0,0.0,100735.0,3680.0
Mississippi,2020-04-12,2781,96,0.0,0.0,21413.0,548.0
Oregon,2020-04-13,1584,53,0.0,0.0,31121.0,369.0
Oklahoma,2020-04-13,2069,99,865.0,1105.0,22859.0,457.0
Ohio,2020-04-13,6975,399,0.0,0.0,65112.0,2033.0
North Dakota,2020-04-13,331,8,127.0,196.0,10781.0,40.0
Nevada,2020-04-13,2990,114,0.0,0.0,25464.0,0.0
New York,2020-04-13,195749,10026,23887.0,161836.0,478357.0,42712.0
New Mexico,2020-04-13,1262,26,295.0,941.0,30515.0,80.0
New Jersey,2020-04-13,64584,2443,0.0,0.0,129469.0,7781.0
New Hampshire,2020-04-13,985,23,239.0,723.0,11207.0,152.0
Pennsylvania,2020-04-13,24505,610,0.0,0.0,134868.0,2243.0
North Carolina,2020-04-13,4886,94,0.0,0.0,63388.0,313.0
Puerto Rico,2020-04-13,903,45,0.0,0.0,11165.0,0.0
Wyoming,2020-04-13,275,1,138.0,136.0,5964.0,41.0
South Carolina,2020-04-13,3391,82,0.0,0.0,31425.0,496.0
South Dakota,2020-04-13,868,6,207.0,655.0,9002.0,44.0
Tennessee,2020-04-13,5610,109,1671.0,3830.0,76195.0,579.0
Texas,2020-04-13,10404,337,2269.0,11722.0,133226.0,1176.0
Utah,2020-04-13,2363,13,218.0,2132.0,45787.0,201.0
Vermont,2020-04-13,748,28,15.0,705.0,10366.0,33.0
Virginia,2020-04-13,5747,149,0.0,0.0,41401.0,1238.0
Washington,2020-04-13,10635,582,0.0,0.0,93802.0,527.0
West Virginia,2020-04-13,611,8,85.0,518.0,16655.0,164.0
Wisconsin,2020-04-13,3428,154,0.0,0.0,40197.0,993.0
Nebraska,2020-04-13,814,17,0.0,0.0,10972.0,0.0
Rhode Island,2020-04-13,2665,100,135.0,2430.0,20661.0,331.0
Montana,2020-04-13,394,7,171.0,216.0,9098.0,47.0
Missouri,2020-04-13,4568,128,0.0,0.0,45428.0,988.0
Mississippi,2020-04-13,2942,98,0.0,0.0,30984.0,549.0
Alabama,2020-04-13,3870,99,0.0,0.0,64636.0,457.0
Alaska,2020-04-13,277,8,85.0,184.0,7830.0,32.0
Arizona,2020-04-13,3705,122,0.0,0.0,53187.0,525.0
Arkansas,2020-04-13,1410,29,391.0,990.0,20804.0,130.0
California,2020-04-13,23390,693,0.0,0.0,190882.0,3015.0
Colorado,2020-04-13,7691,306,0.0,0.0,37534.0,1472.0
Delaware,2020-04-13,1758,54,213.0,1491.0,11820.0,201.0
District of Columbia,2020-04-13,1955,52,507.0,1396.0,10934.0,295.0
Georgia,2020-04-13,13315,465,0.0,0.0,57021.0,2589.0
Guam,2020-04-13,133,5,58.0,70.0,905.0,12.0
Hawaii,2020-04-13,504,9,310.0,185.0,18844.0,44.0
Connecticut,2020-04-13,13381,602,0.0,0.0,44309.0,1760.0
Illinois,2020-04-13,22025,798,0.0,0.0,105768.0,3680.0
Idaho,2020-04-13,1426,27,0.0,0.0,14881.0,132.0
Michigan,2020-04-13,25635,1602,447.0,23586.0,82644.0,3986.0
Massachusetts,2020-04-13,26867,844,0.0,0.0,122049.0,2340.0
Maryland,2020-04-13,8936,262,603.0,8071.0,51751.0,1975.0
Maine,2020-04-13,698,19,273.0,406.0,12306.0,124.0
Minnesota,2020-04-13,1621,70,842.0,709.0,38427.0,361.0
Kentucky,2020-04-13,2018,113,607.0,1298.0,25866.0,667.0
Kansas,2020-04-13,1390,61,0.0,0.0,13864.0,309.0
Iowa,2020-04-13,1710,41,741.0,928.0,18696.0,142.0
Indiana,2020-04-13,8359,483,0.0,0.0,44539.0,0.0
Louisiana,2020-04-13,21016,884,0.0,0.0,108091.0,2134.0
Pennsylvania,2020-04-14,25612,716,0.0,0.0,139078.0,2317.0
Oregon,2020-04-14,1633,55,0.0,0.0,32363.0,381.0
Oklahoma,2020-04-14,2184,108,1060.0,1016.0,28269.0,488.0
Ohio,2020-04-14,7285,434,0.0,0.0,67874.0,2156.0
North Dakota,2020-04-14,341,8,138.0,195.0,10916.0,42.0
New Mexico,2020-04-14,1345,31,304.0,1010.0,31970.0,181.0
New York,2020-04-14,203020,10811,23887.0,168322.0,499143.0,46201.0
New Jersey,2020-04-14,68824,2805,0.0,0.0,139774.0,8185.0
New Hampshire,2020-04-14,922,25,249.0,648.0,11610.0,152.0
Nevada,2020-04-14,3134,126,0.0,0.0,26661.0,0.0
North Carolina,2020-04-14,5113,112,0.0,0.0,65039.0,418.0
Puerto Rico,2020-04-14,923,45,0.0,0.0,12040.0,0.0
Wyoming,2020-04-14,282,1,140.0,141.0,5964.0,43.0
South Carolina,2020-04-14,3553,97,0.0,0.0,33872.0,675.0
South Dakota,2020-04-14,988,6,261.0,721.0,9296.0,45.0
Tennessee,2020-04-14,5827,124,1969.0,3734.0,78831.0,633.0
Texas,2020-04-14,11108,363,2580.0,12145.0,146467.0,1409.0
Utah,2020-04-14,2417,18,218.0,2181.0,46476.0,213.0
Vermont,2020-04-14,752,29,15.0,708.0,10585.0,64.0
Virginia,2020-04-14,6182,154,721.0,5307.0,42763.0,1282.0
Washington,2020-04-14,10799,599,0.0,0.0,93929.0,387.0
West Virginia,2020-04-14,640,9,147.0,484.0,17038.0,164.0
Wisconsin,2020-04-14,3555,170,0.0,0.0,41552.0,1049.0
Nebraska,2020-04-14,897,20,0.0,0.0,11357.0,0.0
Rhode Island,2020-04-14,3251,108,135.0,3008.0,22900.0,331.0
Montana,2020-04-14,399,7,197.0,195.0,9234.0,50.0
Alabama,2020-04-14,4041,114,0.0,0.0,67557.0,493.0
Mississippi,2020-04-14,3087,111,0.0,0.0,37878.0,596.0
Missouri,2020-04-14,4815,151,0.0,0.0,47978.0,1041.0
Alaska,2020-04-14,285,9,98.0,178.0,8348.0,32.0
Arizona,2020-04-14,3809,131,249.0,3429.0,55491.0,580.0
Arkansas,2020-04-14,1498,32,427.0,1039.0,21131.0,130.0
California,2020-04-14,24527,780,0.0,0.0,202208.0,5163.0
Colorado,2020-04-14,7950,327,0.0,0.0,38742.0,1493.0
Connecticut,2020-04-14,13989,671,0.0,0.0,45841.0,1779.0
District of Columbia,2020-04-14,2058,67,518.0,1473.0,11518.0,295.0
Florida,2020-04-14,21628,571,0.0,0.0,353087.0,3060.0
Georgia,2020-04-14,14578,525,0.0,0.0,61795.0,2769.0
Guam,2020-04-14,133,5,66.0,62.0,946.0,13.0
Hawaii,2020-04-14,511,9,315.0,187.0,19420.0,44.0
Delaware,2020-04-14,1926,61,277.0,1588.0,12304.0,204.0
Illinois,2020-04-14,23248,868,0.0,0.0,110616.0,4283.0
Minnesota,2020-04-14,1695,79,909.0,707.0,39241.0,405.0
Idaho,2020-04-14,1464,33,0.0,0.0,15114.0,135.0
Michigan,2020-04-14,27001,1768,452.0,24781.0,86226.0,3910.0
Massachusetts,2020-04-14,28164,844,0.0,0.0,126551.0,2340.0
Maryland,2020-04-14,9472,302,607.0,8563.0,53733.0,2122.0
Maine,2020-04-14,735,20,292.0,423.0,12342.0,124.0
Florida,2020-04-14,21019,499,0.0,0.0,338466.0,2833.0
Kentucky,2020-04-14,2048,106,629.0,1313.0,26683.0,673.0
Kansas,2020-04-14,1441,77,0.0,0.0,14147.0,327.0
Iowa,2020-04-14,1899,49,741.0,1109.0,18885.0,163.0
Indiana,2020-04-14,8527,529,0.0,0.0,46017.0,0.0
Louisiana,2020-04-14,21518,1013,0.0,0.0,118422.0,1977.0
Pennsylvania,2020-04-15,26841,803,0.0,0.0,143470.0,2395.0
New Hampshire,2020-04-15,1139,32,365.0,742.0,12166.0,178.0
New Jersey,2020-04-15,71030,3156,0.0,0.0,144021.0,8270.0
New Mexico,2020-04-15,1484,36,340.0,1108.0,32850.0,181.0
New York,2020-04-15,214454,11569,23887.0,178998.0,526012.0,46201.0
North Carolina,2020-04-15,5340,130,0.0,0.0,67827.0,431.0
North Dakota,2020-04-15,365,9,142.0,214.0,11317.0,44.0
Ohio,2020-04-15,7794,470,0.0,0.0,71552.0,2237.0
Oklahoma,2020-04-15,2263,123,1115.0,1025.0,29219.0,510.0
Oregon,2020-04-15,1663,58,0.0,0.0,33351.0,401.0
Nevada,2020-04-15,3211,131,0.0,0.0,27655.0,0.0
Wyoming,2020-04-15,287,1,129.0,157.0,6329.0,43.0
Rhode Island,2020-04-15,3251,125,168.0,2958.0,25897.0,331.0
South Carolina,2020-04-15,3656,106,0.0,0.0,34733.0,675.0
South Dakota,2020-04-15,1168,6,329.0,833.0,9859.0,51.0
Tennessee,2020-04-15,5827,124,2196.0,3507.0,80896.0,663.0
Texas,2020-04-15,11798,406,3150.0,12488.0,151810.0,1538.0
Utah,2020-04-15,2548,20,218.0,2310.0,47614.0,221.0
Vermont,2020-04-15,759,29,15.0,715.0,11081.0,63.0
Virginia,2020-04-15,6500,195,752.0,5553.0,44169.0,1298.0
Washington,2020-04-15,10942,609,0.0,0.0,122854.0,645.0
West Virginia,2020-04-15,702,10,211.0,481.0,17656.0,164.0
Wisconsin,2020-04-15,3721,183,0.0,0.0,43047.0,1091.0
Nebraska,2020-04-15,901,20,0.0,0.0,11729.0,0.0
Puerto Rico,2020-04-15,974,51,0.0,0.0,13090.0,0.0
Montana,2020-04-15,404,7,209.0,188.0,9583.0,51.0
Idaho,2020-04-15,1473,39,0.0,0.0,15398.0,141.0
Mississippi,2020-04-15,3360,122,0.0,0.0,38151.0,645.0
Missouri,2020-04-15,4876,154,0.0,0.0,49012.0,1024.0
Alaska,2020-04-15,293,9,106.0,178.0,8664.0,34.0
Arizona,2020-04-15,3964,142,385.0,3437.0,57662.0,590.0
Arkansas,2020-04-15,1569,33,489.0,1047.0,21834.0,130.0
California,2020-04-15,26339,872,0.0,0.0,216486.0,5163.0
Colorado,2020-04-15,7956,328,0.0,0.0,39580.0,1556.0
Connecticut,2020-04-15,14755,868,0.0,0.0,50143.0,1908.0
Delaware,2020-04-15,2014,68,354.0,1592.0,13102.0,208.0
District of Columbia,2020-04-15,2197,72,530.0,1595.0,11525.0,313.0
Florida,2020-04-15,22511,596,0.0,0.0,369927.0,3344.0
Georgia,2020-04-15,14987,552,0.0,0.0,64090.0,2922.0
Guam,2020-04-15,135,5,73.0,57.0,978.0,9.0
Alabama,2020-04-15,4307,118,0.0,0.0,70823.0,525.0
Illinois,2020-04-15,24593,949,0.0,0.0,116929.0,4283.0
Hawaii,2020-04-15,524,9,333.0,182.0,19803.0,45.0
Michigan,2020-04-15,28059,1921,452.0,25686.0,89697.0,3918.0
Massachusetts,2020-04-15,29918,1108,0.0,0.0,132023.0,3454.0
Maryland,2020-04-15,10032,311,607.0,9114.0,55763.0,2231.0
Maine,2020-04-15,770,24,305.0,441.0,14846.0,126.0
Minnesota,2020-04-15,1809,87,940.0,782.0,40242.0,445.0
Kentucky,2020-04-15,2210,115,653.0,1442.0,27697.0,687.0
Kansas,2020-04-15,1504,73,0.0,0.0,14668.0,342.0
Iowa,2020-04-15,1995,53,908.0,1034.0,19869.0,171.0
Indiana,2020-04-15,8960,567,0.0,0.0,48396.0,0.0
Louisiana,2020-04-15,21951,1103,0.0,0.0,121928.0,1943.0
Nebraska,2020-04-16,952,21,0.0,0.0,12294.0,0.0
Oregon,2020-04-16,1736,64,0.0,0.0,34938.0,414.0
New Hampshire,2020-04-16,1139,32,365.0,742.0,12166.0,178.0
New Jersey,2020-04-16,75317,3518,0.0,0.0,151830.0,8224.0
New Mexico,2020-04-16,1484,36,353.0,1095.0,33394.0,215.0
New York,2020-04-16,223691,14832,23887.0,184972.0,550579.0,50450.0
North Carolina,2020-04-16,5639,150,0.0,0.0,70917.0,452.0
North Dakota,2020-04-16,393,9,163.0,221.0,11704.0,45.0
Ohio,2020-04-16,8414,504,0.0,0.0,74840.0,2331.0
Oklahoma,2020-04-16,2357,131,1240.0,986.0,30899.0,528.0
Nevada,2020-04-16,3214,137,0.0,0.0,28451.0,0.0
Tennessee,2020-04-16,6375,136,2786.0,3453.0,85049.0,691.0
Rhode Island,2020-04-16,3529,139,182.0,3208.0,28064.0,331.0
South Carolina,2020-04-16,3931,111,0.0,0.0,34733.0,675.0
South Dakota,2020-04-16,1311,7,373.0,931.0,10550.0,55.0
Montana,2020-04-16,415,7,218.0,190.0,9936.0,52.0
Texas,2020-04-16,12450,440,3677.0,12868.0,158547.0,1459.0
Utah,2020-04-16,2683,20,357.0,2306.0,49678.0,238.0
Virginia,2020-04-16,6889,208,951.0,5730.0,46444.0,1337.0
Washington,2020-04-16,11057,630,0.0,0.0,124283.0,595.0
West Virginia,2020-04-16,728,12,223.0,493.0,18306.0,85.0
Wisconsin,2020-04-16,3875,197,0.0,0.0,44849.0,1121.0
Wyoming,2020-04-16,296,2,148.0,146.0,6427.0,43.0
Pennsylvania,2020-04-16,28033,877,0.0,0.0,147831.0,2512.0
Missouri,2020-04-16,5265,170,0.0,0.0,50648.0,1043.0
Vermont,2020-04-16,774,33,15.0,726.0,11507.0,58.0
Minnesota,2020-04-16,1809,87,1020.0,702.0,41675.0,475.0
Mississippi,2020-04-16,3624,129,0.0,0.0,38415.0,682.0
Alabama,2020-04-16,4465,133,0.0,0.0,73878.0,553.0
