Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming,AmericanSamoa,NorthernMarianaIslands,VirginIslands
13-04-2020,6,0,7,2,66,17,48,5,2,38,32,0,0,0,78,35,0,-2,16,44,0,26,88,123,0,2,8,1,0,2,0,93,0,644,5,1,36,3,1,38,1,9,0,0,3,31,-5,1,8,20,2,10,1,0,0,0
14-04-2020,15,1,9,3,65,21,69,7,15,72,60,0,0,6,70,46,8,16,-7,129,1,40,0,166,9,13,23,0,3,12,2,362,5,785,18,0,35,9,2,106,0,8,15,0,15,26,5,1,5,17,1,16,0,0,0,0
15-04-2020,4,0,11,1,96,1,197,7,5,25,27,0,0,6,81,38,4,-4,9,90,4,9,264,153,8,11,3,0,0,5,7,351,5,758,18,1,36,15,3,87,6,17,9,0,0,43,2,0,41,10,1,13,0,0,0,0
16-04-2020,15,0,8,4,91,27,103,3,9,72,35,0,0,2,123,34,7,7,14,53,3,8,0,75,0,7,16,0,1,6,0,362,0,3263,20,0,34,8,6,74,5,14,5,1,12,34,0,4,13,21,2,14,1,0,0,0
17-04-2020,15,0,19,0,82,17,65,6,5,57,63,0,0,0,60,36,4,4,8,57,2,15,137,231,24,11,16,1,3,5,5,322,8,2299,27,0,48,5,6,83,2,21,5,0,5,39,3,2,23,19,4,9,0,0,0,1
18-04-2020,5,0,11,1,100,17,50,10,5,23,23,0,0,2,127,28,10,2,7,54,3,87,159,81,10,12,11,2,0,9,1,230,9,503,10,0,35,0,2,121,2,15,3,0,1,22,2,3,27,17,0,6,0,0,0,1
19-04-2020,4,0,4,1,40,31,41,4,5,26,14,0,1,1,31,37,1,7,2,29,2,40,302,83,13,7,2,0,4,7,0,292,2,637,13,0,31,4,2,239,2,11,1,0,6,20,2,0,19,24,2,8,0,0,0,0
20-04-2020,6,0,7,2,39,0,204,10,9,48,88,0,0,1,59,38,4,9,8,32,1,121,0,77,9,10,11,0,5,1,4,134,3,327,18,0,43,3,1,77,1,10,3,0,4,21,1,0,23,19,6,10,0,0,0,0
21-04-2020,20,0,17,1,65,63,92,5,7,45,23,0,0,3,119,50,4,7,17,77,1,70,255,107,17,14,16,2,0,4,0,257,0,439,27,4,38,21,3,254,1,18,1,1,5,32,4,2,24,16,2,14,0,0,0,0
22-04-2020,13,0,23,0,140,23,121,13,15,26,50,0,2,3,97,51,7,3,14,68,3,46,221,238,19,10,15,2,5,9,6,397,13,324,20,1,43,6,0,64,-1,18,16,1,0,22,0,0,25,9,1,4,4,0,0,0
