date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,weekly_hosp_admissions,new_tests,total_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed
1/22/2020,1,,,,,,,,,,,,,,,,,,,,
1/23/2020,1,0,,,,,,,,,,,,,,,,,,,
1/24/2020,2,1,,,,,,,,,,,,,,,,,,,
1/25/2020,2,0,,,,,,,,,,,,,,,,,,,
1/26/2020,5,3,,,,,,,,,,,,,,,,,,,
1/27/2020,5,0,,,,,,,,,,,,,,,,,,,
1/28/2020,5,0,0.571,,,,,,,,,,,,,,,,,,
1/29/2020,6,1,0.714,,,,,,,,,,,,,,,,,,
1/30/2020,6,0,0.714,,,,,,,,,,,,,,,,,,
1/31/2020,8,2,0.857,,,,,,,,,,,,,,,,,,
2/1/2020,8,0,0.857,,,,,,,,,,,,,,,,,,
2/2/2020,8,0,0.429,,,,,,,,,,,,,,,,,,
2/3/2020,11,3,0.857,,,,,,,,,,,,,,,,,,
2/4/2020,11,0,0.857,,,,,,,,,,,,,,,,,,
2/5/2020,11,0,0.714,,,,,,,,,,,,,,,,,,
2/6/2020,12,1,0.857,,,,,,,,,,,,,,,,,,
2/7/2020,12,0,0.571,,,,,,,,,,,,,,,,,,
2/8/2020,12,0,0.571,,,,,,,,,,,,,,,,,,
2/9/2020,12,0,0.571,,,,,,,,,,,,,,,,,,
2/10/2020,12,0,0.143,,,,,,,,,,,,,,,,,,
2/11/2020,13,1,0.286,,,,,,,,,,,,,,,,,,
2/12/2020,13,0,0.286,,,,,,,,,,,,,,,,,,
2/13/2020,14,1,0.286,,,,,,,,,,,,,,,,,,
2/14/2020,14,0,0.286,,,,,,,,,,,,,,,,,,
2/15/2020,14,0,0.286,,,,,,,,,,,,,,,,,,
2/16/2020,14,0,0.286,,,,,,,,,,,,,,,,,,
2/17/2020,14,0,0.286,,,,,,,,,,,,,,,,,,
2/18/2020,14,0,0.143,,,,,,,,,,,,,,,,,,
2/19/2020,14,0,0.143,,,,,,,,,,,,,,,,,,
2/20/2020,14,0,0,,,,,,,,,,,,,,,,,,
2/21/2020,16,2,0.286,,,,,,,,,,,,,,,,,,
2/22/2020,16,0,0.286,,,,,,,,,,,,,,,,,,
2/23/2020,16,0,0.286,,,,,,,,,,,,,,,,,,
2/24/2020,16,0,0.286,,,,,,,,,,,,,,,,,,
2/25/2020,16,0,0.286,,,,,,,,,,,,,,,,,,
2/26/2020,16,0,0.286,,,,,,,,,,,,,,,,,,
2/27/2020,17,1,0.429,,,,,,,,,,,,,,,,,,
2/28/2020,17,0,0.143,,,,,,,,,,,,,,,,,,
2/29/2020,25,8,1.286,1,1,0.143,,,,,,,,,,,,,,,
3/1/2020,32,7,2.286,1,0,0.143,,,,,348,348,,,,,,,,,
3/2/2020,55,23,5.571,6,5,0.857,,,,,514,862,,,,,,,,,
3/3/2020,74,19,8.286,7,1,1,,,,,618,1480,,,,,,,,,
3/4/2020,107,33,13,11,4,1.571,,,,,888,2368,,,,,,,,,
3/5/2020,184,77,23.857,12,1,1.714,3.61,,,,1201,3569,,,,,,,,,
3/6/2020,237,53,31.429,14,2,2,3.55,,,,1522,5091,,,,,,,,,
3/7/2020,403,166,54,17,3,2.286,3.57,,,,1771,6862,,,,,,,,,
3/8/2020,519,116,69.571,21,4,2.857,3.45,,,,1638,8500,1165,0.0597,16.7,,,,,,
3/9/2020,594,75,77,22,1,2.286,3.32,,,,2397,10897,1434,0.0537,18.6,,,,,,
3/10/2020,782,188,101.143,28,6,3,3.36,,,,3467,14364,1841,0.0549,18.2,,,,,,
3/11/2020,1147,365,148.571,33,5,3.143,3.43,,,,4826,19190,2403,0.0618,16.2,,,,,,
3/12/2020,1586,439,200.286,43,10,4.429,3.41,,,,8868,28058,3498,0.0573,17.5,,,,,,
3/13/2020,2219,633,283.143,51,8,5.286,3.42,,,,11715,39773,4955,0.0571,17.5,,,,,,
3/14/2020,2978,759,367.857,58,7,5.857,3.37,,,,13009,52782,6560,0.0561,17.8,,,,,,
3/15/2020,3212,234,384.714,70,12,7,3.41,,,,14433,67215,8388,0.0459,21.8,,,,,,
3/16/2020,4679,1467,583.571,97,27,10.714,3.6,,,,27290,94505,11944,0.0489,20.5,,,,,,
3/17/2020,6512,1833,818.571,134,37,15.143,3.64,,,,39802,134307,17135,0.0478,20.9,,,,,,
3/18/2020,9169,2657,1146,194,60,23,3.63,,,,50383,184690,23643,0.0485,20.6,,,,,,
3/19/2020,13663,4494,1725.286,266,72,31.857,3.6,,,,60565,245255,31028,0.0556,18,,,,,,
3/20/2020,20030,6367,2544.429,372,106,45.857,3.5,,,,76249,321504,40247,0.0632,15.8,,,,,,
3/21/2020,26025,5995,3292.429,475,103,59.571,3.32,,,,75781,397285,49215,0.0669,14.9,,,,,,
3/22/2020,34944,8919,4533.143,603,128,76.143,3.2,,,,73930,471215,57714,0.0785,12.7,,,,,,
3/23/2020,46096,11152,5916.714,790,187,99,2.98,,,,79710,550925,65203,0.0907,11,,,,,,
3/24/2020,56714,10618,7171.714,1033,243,128.429,2.75,,,,104543,655468,74452,0.0963,10.4,,,,,,
3/25/2020,68841,12127,8524.571,1366,333,167.429,2.56,,,,114686,770154,83638,0.1019,9.8,,,,,,
3/26/2020,86662,17821,10428.429,1783,417,216.714,2.42,,,,129258,899412,93451,0.1116,9,,,,,,
3/27/2020,105253,18591,12174.714,2305,522,276.143,2.3,,,,135808,1035220,101959,0.1194,8.4,,,,,,
3/28/2020,127417,22164,14484.571,3018,713,363.286,2.21,,,,121722,1156942,108522,0.1335,7.5,,,,,,
3/29/2020,143544,16127,15514.286,3573,555,424.286,2.1,,,,110242,1267184,113710,0.1364,7.3,,,,,,
3/30/2020,165698,22154,17086,4280,707,498.571,2.01,,,,123477,1390661,119962,0.1424,7,,,,,,
3/31/2020,192079,26381,19337.857,5359,1079,618,1.92,,,,142267,1532928,125351,0.1543,6.5,,,,,,
4/1/2020,224317,32238,22210.857,6635,1276,752.714,1.83,,,,153119,1686047,130842,0.1698,5.9,,,,,,
4/2/2020,256547,32230,24269.286,8146,1511,909,1.71,,,,161782,1847829,135488,0.1791,5.6,,,,,,
4/3/2020,289029,32482,26253.714,9566,1420,1037.286,1.63,,,,169281,2017110,140270,0.1872,5.3,,,,,,
4/4/2020,321205,32176,27684,11172,1606,1164.857,1.56,,,,147743,2164853,143987,0.1923,5.2,,,,,,
4/5/2020,350809,29604,29609.286,12790,1618,1316.714,1.5,,,,138643,2303496,148045,0.2,5,,,,,,
4/6/2020,382667,31858,30995.571,14523,1733,1463.286,1.42,,,,143074,2446570,150844,0.2055,4.9,,,,,,
4/7/2020,413010,30343,31561.571,17099,2576,1677.143,1.34,,,,179944,2626514,156227,0.202,4.9,,,,,,
4/8/2020,444160,31150,31406.143,19250,2151,1802.143,1.26,,,,168281,2794795,158393,0.1983,5,,,,,,
4/9/2020,480603,36443,32008,21463,2213,1902.429,1.2,,,,174009,2968804,160139,0.1999,5,,,,,,
4/10/2020,514950,34347,32274.429,23649,2186,2011.857,1.16,,,,172060,3140864,160536,0.201,5,,,,,,
4/11/2020,544228,29278,31860.429,25790,2141,2088.286,1.13,,,,210482,3351346,169499,0.188,5.3,,,,,,
4/12/2020,571100,26872,31470.143,27679,1889,2127,1.11,,,,111544,3462890,165628,0.19,5.3,,,,,,
4/13/2020,598024,26924,30765.286,29657,1978,2162,1.08,,,,114182,3577072,161500,0.1905,5.2,,,,,,
4/14/2020,626419,28395,30487,32132,2475,2147.571,1.05,,,,162534,3739606,159013,0.1917,5.2,,,,,,
4/15/2020,652319,25900,29737,34719,2587,2209.857,1.02,,,,172365,3911971,159597,0.1863,5.4,,,,,,
4/16/2020,682275,29956,28810.286,36908,2189,2206.429,1,,,,184570,4096541,161105,0.1788,5.6,,,,,,
4/17/2020,715432,33157,28640.286,39007,2099,2194,1.01,,,,198809,4295350,164927,0.1737,5.8,,,,,,
4/18/2020,743426,27994,28456.857,40951,1944,2165.857,1.02,,,,167400,4462750,158772,0.1792,5.6,,,,,,
4/19/2020,769349,25923,28321.286,42934,1983,2179.286,1.03,,,,134494,4597244,162051,0.1748,5.7,,,,,,
4/20/2020,799029,29680,28715,45179,2245,2217.429,1.03,,,,160743,4757987,168702,0.1702,5.9,,,,,,
4/21/2020,825199,26170,28397.143,47662,2483,2218.571,1.02,,,,221504,4979491,177126,0.1603,6.2,,,,,,
4/22/2020,854618,29419,28899.857,50119,2457,2200,1.01,,,,236186,5215677,186244,0.1552,6.4,,,,,,
4/23/2020,887386,32768,29301.571,52543,2424,2233.571,1,,,,233586,5449263,193246,0.1516,6.6,,,,,,
4/24/2020,919538,32152,29158,54712,2169,2243.571,1,,,,259960,5709223,201982,0.1444,6.9,,,,,,
4/25/2020,950532,30994,29586.571,56444,1732,2213.286,1,,,,219978,5929201,209493,0.1412,7.1,,,,,,
4/26/2020,977079,26547,29675.714,57850,1406,2130.857,0.99,,,,171858,6101059,214831,0.1381,7.2,,,,,,
4/27/2020,1000829,23750,28828.571,59330,1480,2021.571,0.98,,,,226457,6327516,224218,0.1286,7.8,,,,,,
4/28/2020,1025519,24690,28617.143,61571,2241,1987,0.97,,,,270276,6597792,231186,0.1238,8.1,,,,,,
4/29/2020,1051739,26220,28160.143,63962,2391,1977.571,0.96,,,,295391,6893183,239644,0.1175,8.5,,,,,,
4/30/2020,1080981,29242,27656.429,66154,2192,1944.429,0.96,,,,323374,7216557,252471,0.1095,9.1,,,,,,
5/1/2020,1116002,35021,28066.286,68063,1909,1907.286,0.97,,,,337413,7553970,263535,0.1065,9.4,,,,,,
5/2/2020,1143826,27824,27613.429,69804,1741,1908.571,0.97,,,,268752,7822722,270503,0.1021,9.8,,,,,,
