date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,weekly_hosp_admissions,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed
1/22/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2020,6,1,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2020,6,0,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2020,8,2,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2020,8,0,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2020,8,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2020,11,3,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2020,11,0,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,11,0,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2020,12,1,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/2020,12,0,0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2020,12,0,0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2020,12,0,0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/2020,12,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2020,13,1,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/2020,13,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/2020,14,1,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
