date,new_cases,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,tests_per_case,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
1/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,-2336,-3.72,-3.72,-6.953581
1/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,-4750.6,-3.77,-3.82,-14.141131
1/25/2020,6,0,0,0,0,0,0,0,0,0,0,0,-7020.4004,-3.74,-3.68,-20.897655
2/1/2020,2,0,0,0,0,0,0,0,0,0,0,0,-8615,-3.47,-2.62,-25.644306
2/8/2020,11,0,0,0,0,0,0,0,0,0,0,0,-10206,-3.31,-2.63,-30.380243
2/15/2020,4,0,0,0,0,0,0,0,0,0,0,0,-11297.8,-3.06,-1.8,-33.630207
2/22/2020,12,0,0,0,0,0,0,0,0,0,0,0,-12720.399,-2.96,-2.36,-37.864864
2/29/2020,34,1,0,0,0,0,0,0,0,0,0,0,-13342.999,-2.73,-1.05,-39.718163
3/7/2020,265,15,10.7,0,0,6867,0.107,9.3,0,0,0,0,-13282.599,-2.42,0.1,-39.53837
3/14/2020,2627,42,23.81,0,0,46013,0.745,65.9,0,0,0,0,-13012.198,-2.14,0.46,-38.733463
3/21/2020,20895,224,24.54,0,0,344810,0.772,64.2,0,0,0,0,-12735.398,-1.91,0.47,-37.909515
3/28/2020,82109,1337,18.45,0,0,760008,1.119,44.1,0,0,0,0,-11557.198,-1.6,2.03,-34.40236
4/4/2020,164438,5753,12.85,0,0,1008036,1.384,35.4,0,0,0,0,-5827.7983,-0.75,10,-17.347631
4/11/2020,218050,13024,8.99,0,0,1186777,1.445,34,0,0,0,0,9270.602,1.11,26.4,27.595839
4/18/2020,199013,15803,7.3,0,0,1111062,1.364,36,0,0,0,0,31563.402,3.52,39.25,93.95491
4/25/2020,200703,15132,7.08,0,0,1464945,1.175,41.9,0,0,0,0,52700,5.54,37.97,156.87231
