SEQNUM,date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease,,
1,1/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2,1/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
3,1/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
4,1/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
5,1/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
6,1/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
7,1/19/2020,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,
8,1/20/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,
9,1/21/2020,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,
10,1/22/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,
11,1/23/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,,
12,1/24/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,,
13,1/25/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,,
14,1/26/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,,
15,1/27/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,,
16,1/28/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,,
17,1/29/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,2,,
18,1/30/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,,
19,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,3,,
20,2/1/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,,
21,2/2/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,,
22,2/3/2020,0,0,0,0,0,0,0,0,0,0,0,3,1,4,11,3,,
23,2/4/2020,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,4,,
24,2/5/2020,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,0,,
25,2/6/2020,0,0,0,0,0,0,0,0,0,0,0,5,2,4,16,1,,
26,2/7/2020,0,0,0,0,0,0,0,0,0,0,0,5,0,4,16,0,,
27,2/8/2020,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,2,,
28,2/9/2020,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,0,,
29,2/10/2020,0,0,0,0,0,0,0,0,0,0,0,5,0,5,19,1,,
30,2/11/2020,0,0,0,0,0,0,0,0,0,0,0,5,0,5,20,1,,
31,2/12/2020,0,0,0,0,0,0,0,0,0,0,0,5,0,5,21,1,,
32,2/13/2020,0,0,0,0,0,0,0,0,0,0,0,6,1,5,22,1,,
33,2/14/2020,0,0,0,0,0,0,0,0,0,0,0,7,1,5,22,0,,
34,2/15/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,26,4,,
35,2/16/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,28,2,,
36,2/17/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,29,1,,
37,2/18/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,29,0,,
38,2/19/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,35,6,,
39,2/20/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,36,1,,
40,2/21/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,37,1,,
41,2/22/2020,0,0,0,0,0,0,0,0,0,0,0,7,0,6,38,1,,
42,2/23/2020,0,0,0,0,0,0,0,0,0,0,0,8,1,6,38,0,,
43,2/24/2020,0,0,0,0,0,0,0,0,0,0,0,9,1,6,40,2,,
44,2/25/2020,0,0,0,0,0,0,0,0,0,0,0,10,1,6,41,1,,
45,2/26/2020,2,2,0,0,0,0,0,0,0,0,0,12,2,6,41,0,,
46,2/27/2020,2,0,0,0,0,0,0,0,0,0,0,13,1,7,6487,6446,,
47,2/28/2020,4,2,0,0,0,0,0,0,0,0,0,15,2,7,6490,3,,
48,2/29/2020,5,1,0,0,0,0,0,0,0,0,0,18,3,7,6552,62,,
49,3/1/2020,8,3,0,0,0,0,0,2,2,0,0,42,24,10,6661,109,,
50,3/2/2020,11,3,0,0,0,0,0,3,1,0,0,72,30,11,6873,212,,
51,3/3/2020,14,3,0,0,0,0,0,5,2,0,0,114,42,15,7171,298,,
52,3/4/2020,16,2,0,0,4,0,4,705,700,0,0,240,126,25,8202,1031,,
53,3/5/2020,20,4,0,0,1,0,5,892,187,0,0,305,65,31,9798,1596,,
54,3/6/2020,26,6,0,0,1,0,6,1101,209,0,0,437,132,39,12039,2241,,
55,3/7/2020,27,1,0,0,0,0,6,1362,261,0,0,574,137,51,13034,995,,
56,3/8/2020,31,4,0,0,0,0,6,1593,231,0,0,744,170,51,14217,1183,,
57,3/9/2020,35,4,0,0,3,0,9,2074,481,0,0,1020,276,51,16387,2170,,
58,3/10/2020,37,2,0,0,0,0,9,2639,565,0,0,1408,388,51,19622,3235,,
59,3/11/2020,43,6,0,0,3,0,12,3798,1159,0,0,1828,420,51,24312,4690,,
60,3/12/2020,51,8,0,0,5,0,17,4972,1174,0,0,2511,683,51,31320,7008,,
61,3/13/2020,56,5,0,0,6,0,23,6277,1305,0,0,3354,843,51,41434,10114,,
62,3/14/2020,64,8,0,0,4,0,27,8087,1810,0,0,4379,1025,51,51593,10159,,
63,3/15/2020,79,15,0,0,10,0,37,10920,2833,0,0,5668,1289,51,61821,10228,,
64,3/16/2020,100,21,0,0,6,0,43,23829,12909,0,0,7383,1715,56,86927,25106,,
65,3/17/2020,124,24,0,0,33,325,76,31277,7448,0,0,9471,2088,56,113627,26700,,
66,3/18/2020,152,28,0,0,18,416,94,39299,8022,0,0,12828,3357,56,146344,32717,,
67,3/19/2020,203,51,0,0,34,617,128,51221,11922,0,0,17442,4614,56,185985,39641,,
68,3/20/2020,273,70,0,0,44,1042,172,65115,13894,0,0,23544,6102,56,233803,47818,,
69,3/21/2020,335,62,0,0,1849,1492,2021,91419,26304,0,0,30476,6932,56,289848,56045,,
70,3/22/2020,480,145,0,0,962,2173,2983,108251,16832,0,0,39699,9223,56,340603,50755,,
71,3/23/2020,581,101,0,0,950,2812,3933,135694,27443,0,0,50891,11192,56,400377,59774,,
