date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedIncrease_alt,hospitalizedCurrently,hospitalizedCumulative,hospitalizedCumulative_alt,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease,recovered
1/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0
1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0
1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
1/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
1/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,0
1/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0
1/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,2,0
1/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,0
1/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,3,0
2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,0
2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,0
2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,11,3,0
2/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,4,0
2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,0,0
2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,16,1,0
2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,16,0,0
2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,2,0
2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,0,0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,19,1,0
2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,20,1,0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,21,1,0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,22,1,0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,22,0,0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,26,4,0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,28,2,0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,29,1,0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,29,0,0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,35,6,0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,36,1,0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,37,1,0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,38,1,0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,38,0,0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,6,40,2,0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6,41,1,0
2/26/20,2,2,0,0,0,0,0,0,0,0,0,0,0,12,2,6,41,0,0
2/27/20,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,6487,6446,0
2/28/20,4,2,0,0,0,0,0,0,0,0,0,0,0,15,2,7,6490,3,0
2/29/20,5,1,0,0,0,0,0,0,0,24,24,0,0,18,3,7,6552,62,0
3/1/20,8,3,0,0,0,0,0,0,0,85,61,0,0,42,24,10,6661,109,0
3/2/20,11,3,0,0,0,0,0,0,0,243,158,0,0,72,30,11,6873,212,0
3/3/20,14,3,0,0,0,0,0,0,0,452,209,0,0,114,42,14,7171,298,0
3/4/20,16,2,0,0,4,4,0,0,0,1388,936,0,0,240,126,24,8197,1026,0
3/5/20,20,4,0,0,1,1,0,4,4,2877,1489,0,0,305,65,30,9791,1594,0
3/6/20,26,6,0,0,1,1,0,5,5,4930,2053,0,0,437,132,39,12030,2239,0
3/7/20,27,1,0,0,0,0,0,6,6,5674,744,0,0,574,137,51,13011,981,0
3/8/20,31,4,0,0,0,0,0,6,6,6582,908,0,0,744,170,51,14184,1173,0
3/9/20,35,4,0,0,3,3,0,6,6,8353,1771,0,0,1020,276,51,16341,2157,0
3/10/20,37,2,0,0,0,0,0,9,9,11038,2685,0,0,1408,388,51,19562,3221,0
3/11/20,43,6,0,0,3,3,0,9,9,14953,3915,0,0,1828,420,51,24311,4749,0
3/12/20,51,8,0,0,5,5,0,12,12,20631,5678,0,0,2511,683,51,31313,7002,0
3/13/20,56,5,0,0,6,6,0,17,17,27445,6814,0,0,3354,843,51,41397,10084,0
3/14/20,64,8,0,0,4,4,0,23,23,33706,6261,0,0,4379,1025,51,51452,10055,0
3/15/20,79,15,0,0,10,10,0,27,27,40197,6491,0,0,5668,1289,51,61536,10084,0
3/16/20,100,21,0,0,6,6,0,37,37,60207,20010,0,0,7383,1715,56,86922,25386,0
3/17/20,124,24,0,0,33,33,325,43,43,78062,17855,0,0,9471,2088,56,113611,26689,0
3/18/20,152,28,0,0,18,18,416,76,76,99159,21097,0,0,12828,3357,56,146317,32706,0
3/19/20,203,51,0,0,34,34,617,94,94,126166,27007,0,0,17442,4614,56,185964,39647,0
3/20/20,273,70,0,0,44,44,1042,128,128,157496,31330,0,0,23544,6102,56,233760,47796,0
3/21/20,335,62,0,0,1849,1849,1492,172,172,201710,44214,0,0,30476,6932,56,289715,55955,0
3/22/20,480,145,0,0,962,962,2173,2021,2021,236453,34743,0,0,39699,9223,56,340462,50747,0
3/23/20,581,101,0,0,950,950,2812,2983,2983,283492,47039,0,0,50891,11192,56,400173,59711,0
3/24/20,817,236,0,0,1186,1186,3938,3933,3933,347736,64244,0,0,61773,10882,56,480215,80042,0
3/25/20,1058,241,74,0,1954,1954,5140,5119,5119,424012,76276,0,167,74404,12631,56,562847,82632,146
3/26/20,1371,313,91,1299,2449,2449,7805,7073,7073,506769,82757,0,258,92020,17616,56,668507,105660,97
3/27/20,1781,410,124,1792,2589,2589,10887,9522,9522,590051,83282,0,293,111274,19254,56,768256,99749,2418
3/28/20,2332,551,140,2174,2406,2406,12393,12111,12111,674056,78730,0,390,131045,19771,56,879193,110937,3145
3/29/20,2837,505,156,2456,2797,2797,14055,14517,14517,759965,82139,0,433,150709,19664,56,963465,84272,4076
3/30/20,3422,585,187,3087,2473,2473,15892,17314,17314,848073,88108,0,449,171911,21202,56,1065997,102532,4560
3/31/20,4330,908,230,3487,3995,3995,18155,19787,19787,936855,88782,0,506,196848,24937,56,1181328,115331,5666
4/1/20,5336,1006,256,3937,4148,4148,20906,23782,23782,1024407,87552,32,561,223119,26271,56,1300869,119541,7084
4/2/20,6511,1175,305,4513,4164,4164,22995,27930,27930,1121556,97149,32,576,251182,28063,56,1427708,126839,8586
4/3/20,7798,1287,335,4928,4621,4621,25723,32094,32094,1226939,105383,39,623,283072,31890,56,1567434,139726,10861
4/4/20,9276,1478,403,5500,4993,4993,30456,36715,36715,1320072,101606,39,656,316130,33058,56,1799831,232397,12844
4/5/20,10618,1342,609,5811,3953,3953,32180,41708,41708,1409414,89342,39,650,342040,25910,56,1922157,122326,14589
4/6/20,11932,1314,663,7079,2962,2962,36159,45661,45661,1525499,116085,39,2961,370283,28243,56,2060620,138463,16557
4/7/20,13970,2038,738,9978,2931,2931,43849,48623,48623,1654664,129165,43,4047,400759,30476,56,2226071,165451,18481
4/8/20,15973,2003,862,10276,4387,4387,45359,51554,51554,1776619,121955,39,4142,431718,30959,56,2389599,163528,21132
4/9/20,18024,2051,918,12445,3829,3829,51323,55941,55941,1896646,115015,39,5798,466834,35116,56,2564727,175128,24835
4/10/20,20107,2083,1179,12693,4911,4911,53167,59770,59770,2016271,119625,39,5937,500442,33608,56,2723715,158988,29015
4/11/20,22182,2075,1399,13293,3735,3735,55563,64681,64681,2130385,114114,152,5986,531705,31263,56,2871593,147878,31567
4/12/20,23882,1700,1449,13597,3322,3322,55294,68416,68416,2241060,110675,158,5962,559820,28115,56,3010708,139115,34081
4/13/20,25515,1633,1622,13605,4491,4491,56211,71738,71738,2343096,102036,208,6170,584101,24281,56,3135874,125166,35381
