x,h1
1,1
2,1
3,5
4,1
5,4
6,1
7,2
8,3
9,4
10,1
11,6
12,5
13,10
14,8
15,7
16,12
17,27
18,37
19,60
20,72
21,106
22,103
23,128
24,189
25,241
26,336
27,416
28,519
29,673
30,592
31,711
32,1082
33,1150.973392
34,1311.857324
35,1222.111857
36,1574.588717
37,1510.360765
38,1571.89456
39,1799.870839
40,2099.432455
41,2196.957866
42,2134.466044
43,2108.651233
44,1821.804682
45,1873.245084
46,2337.133547
47,2486.116424
48,1946.606085
49,1908.837626
50,1690.560826
51,1947.018137
52,2082.063615
53,2455.057125
54,2443.93365
55,2346.920832
56,2131.593392
57,1400.852727
58,1114.340791
59,1245.713368
60,1941.28027
61,2035.842218
62,1996.52178
63,1819.173404
64,1629.47677
65,1001.353051
66,1354.817702
67,1713.110236
68,1839.09316
69,1768.105284
70,1578.247049
71,1429.107001
72,833.3017691
73,905.4707911
74,1515.087912
75,1587.907845
76,1453.214113
77,1377.710523
78,1163.582403
79,734.0261357
80,963.5792458
81,1440.784723
82,1476.831371
83,1038.361943
84,1195.107604
85,994.5755321
86,531.8649949
87,426.8506413
88,436.3007219
89,993.8412296
90,1040.413047
91,968.2512434
92,819.8262928
93,581.4755521
94,631.5867178
95,872.707683
96,917.7492756
97,902.8607879
98,880.3124967
99,551.9596834
100,445.1714795
101,463.2016646
102,705.4852012
103,827.7405576
104,792.594768
105,760.5499092
106,624.5525717
107,270.7419195
108,343.2922708
109,615.5940168
110,676.0752794
111,679.8961164
112,591.9287022
113,545.3164448
114,305.8697745
115,377.371435
116,586.6184519
117,705.7517669
118,463.3030529
119,565.9752144
120,494.9452192
121,300.2660491
122,356.0543161
123,515.1639836
124,607.2006495
125,554.6650535
126,594.644595
127,198.6923464
128,257.7577766
129,342.8652131
130,584.6309519
131,753.163896
132,671.8038543
133,716.0414486
134,538.4382961
135,383.1499678
136,404.4371708
137,908.8958218
138,921.6150616
139,920.6972079
140,912.6027285
141,698.7471952
142,450.9734053
143,555.3336031
144,1015.056545
145,1148.918165
146,970.7159199
147,1093.296998
148,889.6593219
149,461.2485048
150,670.6160775
151,1108.713218
152,1317.06692
153,1073.123872
154,1122.161474
155,1048.258473
156,266.1640728
157,418.8955363
158,1170.139763
159,1430.146063
160,1079.722609
161,1189.175783
162,1063.223014
163,450.9138593
164,534.0291508
165,784.8856591
166,1322.064914
167,886.951047
168,1174.322857
169,977.4302375
170,535.4984851
171,338.5232655
172,1115.712088
173,1326.605081
174,1066.33918
175,1028.074436
176,878.1166552
177,485.9040508
178,369.5535397
179,1035.105821
180,1058.876541
181,1010.243447
182,886.3132625
183,852.9820666
184,415.0014144
185,496.4956962
186,1006.286465
187,999.5120666
188,945.8710675
189,931.5119372
190,702.002942
191,423.3263312
192,208.5410538
193,244.0468155
194,800.8063836
195,839.0273047
196,836.4463429
197,684.2762153
198,394.4740388
199,362.3884819
200,739.3476142
201,829.0433752
202,836.8792511
203,882.2013416
204,708.9079005
205,177.793524
206,345.0131913
207,793.4658436
208,1025.934371
209,864.4818005
210,909.3422139
211,706.8259721
212,264.5515995
213,337.301969
214,820.0135606
215,927.2947811
216,857.8210977
217,815.4768346
218,668.5291415
219,334.9299865
220,377.5077282
221,528.5083709
222,886.1320291
223,811.0801211
224,980.6147976
225,672.5181218
226,347.19104
227,455.9173502
228,837.7456135
229,972.0403021
230,972.7795146
231,872.751209
232,741.9109158
233,378.886049
234,441.5049144
235,965.3656149
236,1053.216576
237,1012.682612
238,1079.511109
239,806.4734438
240,513.2309128
241,492.8776741
242,973.0184031
243,1293.87734
244,978.7203375
245,1112.156724
246,920.1522597
247,493.7333086
248,559.8872147
249,1027.57582
250,1398.15436
251,1078.184681
252,1088.413827
253,1061.189801
254,523.4236961
255,638.1266299
256,1276.502573
257,1353.04859
258,1378.504792
259,1437.884515
260,1031.193994
261,636.6118567
262,781.384576
263,1524.596693
264,1619.304508
265,1678.293824
266,1824.044237
267,1634.675249
268,905.6946807
269,1094.364606
270,2304.146208
271,2388.832459
272,2287.756753
273,2042.807353
274,1822.826449
275,1091.835572
276,1135.465351
277,2525.198231
278,2329.17406
279,2213.224255
280,2686.204733
281,2234.221152
282,1309.349932
283,1633.204902
284,3123.316458
285,2966.808521
286,2645.927859
287,2958.031574
288,2721.135473
289,1534.989897
290,1800.569356
291,3395.54024
292,3446.588926
293,3238.412367
294,3426.261872
295,2684.247227
296,1640.177803
297,1897.735853
298,3580.99183
299,3801.227582
300,3284.032318
301,3341.887749
302,2213.435124
303,1381.80714
304,1735.656208
305,3239.62436
306,4001.585976
307,3248.36679
308,3203.694057
309,2368.337221
310,1616.893506
311,1914.260208
312,3499.669351
313,4437.846452
314,3329.195384
315,3258.527948
316,3206.208702
317,1930.196672
318,2213.537099
