date,h1
2/26/2020,2
2/27/2020,0
2/28/2020,2
2/29/2020,1
3/1/2020,3
3/2/2020,3
3/3/2020,3
3/4/2020,2
3/5/2020,4
3/6/2020,6
3/7/2020,1
3/8/2020,4
3/9/2020,4
3/10/2020,2
3/11/2020,6
3/12/2020,8
3/13/2020,5
3/14/2020,8
3/15/2020,15
3/16/2020,21
3/17/2020,24
3/18/2020,28
3/19/2020,51
3/20/2020,70
3/21/2020,62
3/22/2020,145
3/23/2020,101
3/24/2020,236
3/25/2020,165.5739601
3/26/2020,178.7323923
3/27/2020,233.6510338
3/28/2020,290.4968163
3/29/2020,424.7252933
3/30/2020,363.7694476
3/31/2020,483.398868
4/1/2020,683.8562351
4/2/2020,782.1533832
4/3/2020,930.7301619
4/4/2020,1056.262584
4/5/2020,1153.376099
4/6/2020,1094.696046
4/7/2020,1230.090504
4/8/2020,1705.5818
4/9/2020,1756.020764
4/10/2020,1821.748156
4/11/2020,1916.944883
4/12/2020,1820.974201
4/13/2020,1574.535408
4/14/2020,1897.79137
4/15/2020,2243.981268
4/16/2020,2405.938356
4/17/2020,2179.46634
4/18/2020,2126.544432
4/19/2020,1772.789918
4/20/2020,1707.290725
4/21/2020,2165.123106
4/22/2020,2143.0906
4/23/2020,2095.66723
4/24/2020,1912.863763
4/25/2020,1930.938783
4/26/2020,1611.139649
4/27/2020,1418.390847
4/28/2020,1640.684169
4/29/2020,2102.445535
4/30/2020,2323.507423
5/1/2020,2114.202856
5/2/2020,1699.994946
5/3/2020,1316.76817
5/4/2020,1256.182467
5/5/2020,1603.745366
5/6/2020,2658.517155
5/7/2020,1912.127633
5/8/2020,2405.110364
5/9/2020,1629.559654
5/10/2020,1280.009679
5/11/2020,1012.657256
5/12/2020,1776.727152
5/13/2020,1647.690681
5/14/2020,2092.288647
5/15/2020,1709.017963
5/16/2020,1418.651768
5/17/2020,1028.154666
5/18/2020,848.0952542
5/19/2020,1405.797223
5/20/2020,1498.642853
5/21/2020,1553.85452
5/22/2020,1295.377925
5/23/2020,1160.875185
5/24/2020,829.2947518
5/25/2020,717.9033633
5/26/2020,1161.699376
5/27/2020,953.101705
5/28/2020,1365.882499
5/29/2020,1130.10367
5/30/2020,1010.122339
5/31/2020,676.0975598
6/1/2020,580.3181034
6/2/2020,964.7464209
6/3/2020,1205.43657
6/4/2020,1069.891109
6/5/2020,875.1120411
6/6/2020,740.8078071
6/7/2020,528.4571648
6/8/2020,709.7778579
6/9/2020,1068.616391
6/10/2020,1003.29595
6/11/2020,880.4463357
6/12/2020,776.7893015
6/13/2020,629.9364258
6/14/2020,585.1379447
6/15/2020,431.1964674
6/16/2020,811.8337083
6/17/2020,859.0679041
6/18/2020,819.7045638
6/19/2020,620.4802936
6/20/2020,563.5425461
6/21/2020,370.959423
6/22/2020,296.559053
6/23/2020,686.5830313
6/24/2020,814.8061368
6/25/2020,680.7294517
6/26/2020,568.9177788
6/27/2020,525.3177878
6/28/2020,278.8069419
6/29/2020,259.4373405
6/30/2020,728.861893
7/1/2020,680.4344618
7/2/2020,666.1023237
7/3/2020,602.6086553
7/4/2020,482.197047
7/5/2020,131.5657723
7/6/2020,244.9842487
7/7/2020,594.5879577
7/8/2020,897.3230557
7/9/2020,766.1449698
7/10/2020,706.3454985
7/11/2020,545.4018901
7/12/2020,427.4980998
7/13/2020,385.5845817
7/14/2020,807.2927529
7/15/2020,812.4547108
7/16/2020,858.8964979
7/17/2020,850.4536639
7/18/2020,787.5875524
7/19/2020,594.6811712
7/20/2020,442.54868
7/21/2020,770.0482408
7/22/2020,1028.740588
7/23/2020,1080.673688
7/24/2020,974.538717
7/25/2020,982.3445279
7/26/2020,684.6196868
7/27/2020,465.4791165
7/28/2020,1364.3187
7/29/2020,1179.995259
7/30/2020,1349.767884
7/31/2020,1194.451395
8/1/2020,1129.304005
8/2/2020,797.7081365
8/3/2020,727.7950598
8/4/2020,973.8127299
8/5/2020,1418.653258
8/6/2020,1286.405562
8/7/2020,1252.874753
8/8/2020,1191.376893
8/9/2020,652.3439862
8/10/2020,595.0107003
8/11/2020,1000.108067
8/12/2020,1409.302527
8/13/2020,1380.146586
8/14/2020,1209.320258
8/15/2020,1072.169533
8/16/2020,779.1433553
8/17/2020,555.4240946
8/18/2020,1061.366184
8/19/2020,1387.923582
8/20/2020,1252.294873
8/21/2020,1161.503798
8/22/2020,1073.03509
8/23/2020,621.6634111
8/24/2020,498.7176383
8/25/2020,991.2580546
8/26/2020,1329.841569
8/27/2020,1150.441346
8/28/2020,1123.939474
8/29/2020,940.2491195
8/30/2020,591.20295
8/31/2020,385.9072321
9/1/2020,1025.65979
9/2/2020,1179.723449
9/3/2020,940.585884
9/4/2020,1028.208501
9/5/2020,915.0305269
9/6/2020,452.2126103
9/7/2020,381.0260863
9/8/2020,882.8457362
9/9/2020,602.6650694
9/10/2020,989.7796255
9/11/2020,1088.16826
9/12/2020,909.6394665
9/13/2020,382.8105744
9/14/2020,262.6943642
9/15/2020,676.2233397
9/16/2020,1218.365849
9/17/2020,1127.470189
9/18/2020,891.5817525
9/19/2020,782.7935048
9/20/2020,322.9956921
9/21/2020,305.292195
9/22/2020,936.4316683
9/23/2020,1149.227504
9/24/2020,963.3321789
9/25/2020,898.7629438
9/26/2020,730.8212472
