date,state,death,deathIncrease,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
1/19/20,WA,,0,,,0,,,,0,,,1,1,,,0
1/20/20,WA,,0,,,0,,,,0,,,1,0,,,0
1/21/20,WA,,0,,,0,,,,0,,,2,1,,,0
1/22/20,MA,,0,,,0,,,,0,,,,0,,1,0
1/22/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/23/20,MA,,0,,,0,,,,0,,,,0,,2,1
1/23/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/24/20,MA,,0,,,0,,,,0,,,,0,,2,0
1/24/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/25/20,MA,,0,,,0,,,,0,,,,0,,2,0
1/25/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/26/20,MA,,0,,,0,,,,0,,,,0,,2,0
1/26/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/27/20,MA,,0,,,0,,,,0,,,,0,,3,1
1/27/20,VA,,0,,,0,,,,0,,,,0,,,0
1/27/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/28/20,MA,,0,,,0,,,,0,,,,0,,3,0
1/28/20,VA,,0,,,0,,,,0,,,,0,,,0
1/28/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/29/20,FL,,0,,,0,,,,0,,,0,0,,1,0
1/29/20,MA,,0,,,0,,,,0,,,,0,,4,1
1/29/20,VA,,0,,,0,,,,0,,,,0,,,0
1/29/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/30/20,FL,,0,,,0,,,,0,,,0,0,,1,0
1/30/20,MA,,0,,,0,,,,0,,,,0,,4,0
1/30/20,VA,,0,,,0,,,,0,,,,0,,,0
1/30/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
1/31/20,FL,,0,,,0,,,,0,,,0,0,,4,3
1/31/20,MA,,0,,,0,,,,0,,,,0,,4,0
1/31/20,VA,,0,,,0,,,,0,,,,0,,,0
1/31/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
2/1/20,FL,,0,,,0,,,,0,,,0,0,,4,0
2/1/20,MA,,0,,,0,,,,0,,,,0,,4,0
2/1/20,VA,,0,,,0,,,,0,,,,0,,,0
2/1/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
2/2/20,FL,,0,,,0,,,,0,,,0,0,,4,0
2/2/20,MA,,0,,,0,,,,0,,,,0,,4,0
2/2/20,VA,,0,,,0,,,,0,,,,0,,,0
2/2/20,WA,,0,,,0,,,0,0,,,2,0,,0,0
2/3/20,FL,,0,,,0,,,,0,,,0,0,,4,0
2/3/20,MA,,0,,,0,,,,0,,,,0,,7,3
2/3/20,VA,,0,,,0,,,,0,,,,0,,,0
2/3/20,WA,,0,,,0,,,0,0,,,3,1,,0,0
2/4/20,FL,,0,,,0,,,,0,,,0,0,,6,2
2/4/20,MA,,0,,,0,,,,0,,,,0,,9,2
2/4/20,VA,,0,,,0,,,,0,,,,0,,,0
2/4/20,WA,,0,,,0,,,0,0,,,3,0,,0,0
2/5/20,FL,,0,,,0,,,,0,,,0,0,,6,0
2/5/20,MA,,0,,,0,,,,0,,,,0,,9,0
2/5/20,VA,,0,,,0,,,,0,,,,0,,,0
2/5/20,WA,,0,,,0,,,0,0,,,3,0,,0,0
2/6/20,FL,,0,,,0,,,,0,,,0,0,,6,0
2/6/20,MA,,0,,,0,,,,0,,,,0,,10,1
2/6/20,VA,,0,,,0,,,,0,,,,0,,,0
2/6/20,WA,,0,,,0,,,0,0,,,5,2,,0,0
2/7/20,FL,,0,,,0,,,,0,,,0,0,,6,0
2/7/20,MA,,0,,,0,,,,0,,,,0,,10,0
2/7/20,VA,,0,,,0,,,,0,,,,0,,,0
2/7/20,WA,,0,,,0,,,0,0,,,5,0,,0,0
2/8/20,FL,,0,,,0,,,,0,,,0,0,,7,1
2/8/20,MA,,0,,,0,,,,0,,,,0,,11,1
2/8/20,VA,,0,,,0,,,,0,,,,0,,,0
2/8/20,WA,,0,,,0,,,0,0,,,5,0,,0,0
2/9/20,FL,,0,,,0,,,,0,,,0,0,,7,0
2/9/20,MA,,0,,,0,,,,0,,,,0,,11,0
2/9/20,VA,,0,,,0,,,,0,,,,0,,,0
2/9/20,WA,,0,,,0,,,0,0,,,5,0,,0,0
2/10/20,FL,,0,,,0,,,,0,,,0,0,,7,0
2/10/20,MA,,0,,,0,,,,0,,,,0,,12,1
2/10/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/10/20,VA,,0,,,0,,,,0,,,,0,,,0
2/10/20,WA,,0,,,0,,,0,0,,,5,0,,0,0
2/11/20,FL,,0,,,0,,,,0,,,0,0,,8,1
2/11/20,MA,,0,,,0,,,,0,,,,0,,12,0
2/11/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/11/20,VA,,0,,,0,,,,0,,,,0,,,0
2/11/20,WA,,0,,,0,,,0,0,,,5,0,,0,0
2/12/20,FL,,0,,,0,,,,0,,,0,0,,8,0
2/12/20,MA,,0,,,0,,,,0,,,,0,,13,1
2/12/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/12/20,VA,,0,,,0,,,,0,,,,0,,,0
2/12/20,WA,,0,,,0,,,0,0,,,5,0,,0,0
2/13/20,FL,,0,,,0,,,,0,,,0,0,,9,1
2/13/20,MA,,0,,,0,,,,0,,,,0,,13,0
2/13/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/13/20,VA,,0,,,0,,,,0,,,,0,,,0
2/13/20,WA,,0,,,0,,,0,0,,,6,1,,0,0
2/14/20,FL,,0,,,0,,,,0,,,0,0,,9,0
2/14/20,MA,,0,,,0,,,,0,,,,0,,13,0
2/14/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/14/20,VA,,0,,,0,,,,0,,,,0,,,0
2/14/20,WA,,0,,,0,,,0,0,,,7,1,,0,0
2/15/20,FL,,0,,,0,,,,0,,,0,0,,12,3
2/15/20,MA,,0,,,0,,,,0,,,,0,,13,0
2/15/20,NE,,0,,,0,,,,0,,,,0,,1,0
2/15/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/15/20,VA,,0,,,0,,,,0,,,,0,,,0
2/15/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/16/20,FL,,0,,,0,,,,0,,,0,0,,12,0
2/16/20,MA,,0,,,0,,,,0,,,,0,,13,0
2/16/20,NE,,0,,,0,,,,0,,,,0,,3,2
2/16/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/16/20,VA,,0,,,0,,,,0,,,,0,,,0
2/16/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/17/20,FL,,0,,,0,,,,0,,,0,0,,13,1
2/17/20,MA,,0,,,0,,,,0,,,,0,,13,0
2/17/20,NE,,0,,,0,,,,0,,,,0,,3,0
2/17/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/17/20,VA,,0,,,0,,,,0,,,,0,,,0
2/17/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/18/20,FL,,0,,,0,,,,0,,,0,0,,13,0
2/18/20,MA,,0,,,0,,,,0,,,,0,,13,0
2/18/20,NE,,0,,,0,,,,0,,,,0,,3,0
2/18/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/18/20,VA,,0,,,0,,,,0,,,,0,,,0
2/18/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/19/20,FL,,0,,,0,,,,0,,,0,0,,13,0
2/19/20,MA,,0,,,0,,,,0,,,,0,,13,0
2/19/20,NE,,0,,,0,,,,0,,,,0,,9,6
2/19/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/19/20,VA,,0,,,0,,,,0,,,,0,,,0
2/19/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/20/20,FL,,0,,,0,,,,0,,,0,0,,13,0
2/20/20,MA,,0,,,0,,,,0,,,,0,,14,1
2/20/20,NE,,0,,,0,,,,0,,,,0,,9,0
2/20/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/20/20,VA,,0,,,0,,,,0,,,,0,,,0
2/20/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/21/20,FL,,0,,,0,,,,0,,,0,0,,13,0
2/21/20,MA,,0,,,0,,,,0,,,,0,,14,0
2/21/20,NE,,0,,,0,,,,0,,,,0,,10,1
2/21/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/21/20,VA,,0,,,0,,,,0,,,,0,,,0
2/21/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/22/20,FL,,0,,,0,,,,0,,,0,0,,14,1
2/22/20,MA,,0,,,0,,,,0,,,,0,,14,0
2/22/20,NE,,0,,,0,,,,0,,,,0,,10,0
2/22/20,NJ,0,0,,,0,,,,0,,,,0,,0,0
2/22/20,VA,,0,,,0,,,,0,,,,0,,,0
2/22/20,WA,,0,,,0,,,0,0,,,7,0,,0,0
2/23/20,FL,,0,,,0,,,,0,,,0,0,,14,0
2/23/20,MA,,0,,,0,,,,0,,,,0,,14,0
2/23/20,NE,,0,,,0,,,,0,,,,0,,10,0
