date,time,positiveCumulative,hospitalizedCumulative,recoveredCumulative,deathCumulative,positiveDaily,hospitalizedDaily
1/19/20,0,1,0,0,0,1,0
1/20/20,1,1,0,0,0,0,0
1/21/20,2,2,0,0,0,1,0
1/22/20,3,2,0,0,0,0,0
1/23/20,4,2,0,0,0,0,0
1/24/20,5,2,0,0,0,0,0
1/25/20,6,2,0,0,0,0,0
1/26/20,7,2,0,0,0,0,0
1/27/20,8,2,0,0,0,0,0
1/28/20,9,2,0,0,0,0,0
1/29/20,10,2,0,0,0,0,0
1/30/20,11,2,0,0,0,0,0
1/31/20,12,2,0,0,0,0,0
2/1/20,13,2,0,0,0,0,0
2/2/20,14,2,0,0,0,0,0
2/3/20,15,3,0,0,0,1,0
2/4/20,16,3,0,0,0,0,0
2/5/20,17,3,0,0,0,0,0
2/6/20,18,5,0,0,0,2,0
2/7/20,19,5,0,0,0,0,0
2/8/20,20,5,0,0,0,0,0
2/9/20,21,5,0,0,0,0,0
2/10/20,22,5,0,0,0,0,0
2/11/20,23,5,0,0,0,0,0
2/12/20,24,5,0,0,0,0,0
2/13/20,25,6,0,0,0,1,0
2/14/20,26,7,0,0,0,1,0
2/15/20,27,7,0,0,0,0,0
2/16/20,28,7,0,0,0,0,0
2/17/20,29,7,0,0,0,0,0
2/18/20,30,7,0,0,0,0,0
2/19/20,31,7,0,0,0,0,0
2/20/20,32,7,0,0,0,0,0
2/21/20,33,7,0,0,0,0,0
2/22/20,34,7,0,0,0,0,0
2/23/20,35,8,0,0,0,1,0
2/24/20,36,9,0,0,0,1,0
2/25/20,37,10,0,0,0,1,0
2/26/20,38,12,0,0,2,2,0
2/27/20,39,13,0,0,2,1,0
2/28/20,40,15,0,0,4,2,0
2/29/20,41,18,0,0,5,3,0
3/1/20,42,42,0,0,8,24,0
3/2/20,43,72,0,0,11,30,0
3/3/20,44,114,0,0,14,42,0
3/4/20,45,243,4,0,16,125,4
3/5/20,46,305,5,0,20,61,1
3/6/20,47,437,6,0,26,131,1
3/7/20,48,578,6,0,27,141,0
3/8/20,49,751,6,0,31,173,0
3/9/20,50,1020,9,0,35,266,3
3/10/20,51,1409,9,0,37,389,0
3/11/20,52,1832,12,0,43,420,3
3/12/20,53,2511,17,0,51,674,5
3/13/20,54,3365,23,0,56,848,6
3/14/20,55,4379,27,0,64,1010,4
3/15/20,56,5674,37,0,79,1285,10
3/16/20,57,7386,43,0,100,1706,6
3/17/20,58,9479,76,0,124,2060,33
3/18/20,59,12856,94,0,155,3359,18
3/19/20,60,17455,128,0,203,4565,34
3/20/20,61,23570,172,0,273,6071,44
3/21/20,62,30476,2021,0,335,5057,1849
3/22/20,63,39746,3026,0,481,8265,1005
3/23/20,64,50921,3946,0,582,10255,920
3/24/20,65,61791,5124,0,820,9692,1178
3/25/20,66,74404,7073,146,1058,10664,1949
3/26/20,67,92138,9551,97,1374,15256,2478
3/27/20,68,111361,12123,2418,1782,16651,2572
3/28/20,69,131110,14532,3145,2333,17340,2409
3/29/20,70,150778,17326,4076,2837,16874,2794
3/30/20,71,171969,19798,4560,3425,18719,2472
3/31/20,72,196932,23796,5666,4332,20965,3998
4/1/20,73,223165,27930,7084,5336,22099,4134
4/2/20,74,251272,32128,8586,6514,23909,4198
4/3/20,75,283145,36731,10861,7799,27270,4603
4/4/20,76,316230,41743,12844,9280,28073,5012
4/5/20,77,342109,45680,14589,10619,21942,3937
4/6/20,78,370347,48623,16557,11932,25295,2943
4/7/20,79,400808,51620,18481,13976,27464,2997
