date,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,new_vaccinations,new_cases
2/29/2020,1,0,0,0,0,0,34
3/7/2020,15,10.7,0,0,6867,0,265
3/14/2020,42,23.81,0,0,46013,0,2627
3/21/2020,224,24.54,0,0,344810,0,20895
3/28/2020,1337,18.45,0,0,760008,0,82109
4/4/2020,5753,12.85,0,0,1008036,0,164438
4/11/2020,13024,8.99,0,0,1186777,0,218050
4/18/2020,15803,7.3,0,0,1111062,0,199013
4/25/2020,15132,7.08,0,0,1464945,0,200703
5/2/2020,13785,6.8,0,0,1890326,0,200132
5/9/2020,13053,6.48,0,0,2239981,0,186495
5/16/2020,10239,6.45,0,0,2703744,0,171237
5/23/2020,8297,6.63,0,0,2897522,0,166990
5/30/2020,7569,6.67,0,0,3229596,0,148658
6/6/2020,6162,7.01,0,0,3574758,0,149030
6/13/2020,5511,7.21,0,0,3808428,0,148034
6/20/2020,4435,8.09,0,0,4290259,0,175249
6/27/2020,6130,8.96,0,0,4713566,0,244843
7/4/2020,4347,8.79,0,0,5254262,0,328340
7/11/2020,5375,8.39,0,0,6007438,0,383992
7/18/2020,6549,7.92,40705,152737,6596245,0,457894
7/25/2020,7523,7.35,87448,313752,6815014,0,471701
8/1/2020,8061,6.83,98888,327394,6308248,0,436218
8/8/2020,7851,6.62,97485,314020,6075323,0,381587
8/15/2020,7674,6.56,89705,286937,6061026,0,368907
8/22/2020,6717,6.09,80552,262962,5908890,0,324868
8/29/2020,6315,6.4,71900,233864,5961302,0,295581
9/5/2020,5836,6.54,65443,213435,6063336,0,290882
9/12/2020,5018,6.63,61170,196629,5661575,0,252456
9/19/2020,5236,7.27,56585,183823,6774035,0,276932
9/26/2020,4801,7.19,54858,183432,6885584,0,303286
10/3/2020,4558,7.26,56021,190321,6847985,0,297028
10/10/2020,4730,7.66,59736,210572,8036308,0,326390
10/17/2020,4713,7.96,65123,235010,7617740,0,377349
10/24/2020,5684,8.24,72525,264237,8587663,0,436177
10/31/2020,6107,8.43,80626,301371,8805496,0,544216
11/7/2020,6852,8.85,90700,351943,9747572,0,754275
11/14/2020,8706,8.82,106066,437507,10926635,0,961193
11/21/2020,10132,8.25,127514,533384,12783138,0,1159103
11/28/2020,12251,7.5,145072,603412,11664329,0,1191736
12/5/2020,13866,7.78,159587,675308,12521963,0,1221160
12/12/2020,17119,7.69,170153,722416,12839573,0,1446449
12/19/2020,19105,7.27,180063,775680,12558263,1093383,1527892
12/26/2020,19045,6.69,186153,807975,11042299,1878155,1434655
1/2/2021,18838,7.31,192894,854068,10642038,3105966,1313791
1/9/2021,20835,7.59,198451,894803,12913804,5613572,1603592
1/16/2021,23639,6.73,199796,886002,12602016,7179128,1644742
1/23/2021,22200,6.02,188191,811801,11902464,8371239,1313760
