"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2021-02-06",452660,2983,42730,17093,2443,84233,824763,119493872,492928,4078,5475,26700702,113927,56,322331939,1847899
"2021-02-05",449677,3543,42626,17284,2940,86373,822320,119000944,595505,4060,5596,26586775,131146,56,320484040,1879114
"2021-02-04",446134,5212,42472,17918,3402,88668,819380,118405439,518526,4059,5732,26455629,123907,56,318604926,1678444
"2021-02-03",440922,3685,42323,18147,3975,91440,815978,117886913,487679,4044,5920,26331722,116960,56,316926482,1442998
"2021-02-02",437237,3486,42148,18388,3285,92880,812003,117399234,361311,4035,6047,26214762,117616,56,315483484,1402996
"2021-02-01",433751,1562,41998,18572,1766,93536,808718,117037923,649106,4025,6086,26097146,120200,56,314080488,1633780
"2021-01-31",432189,2059,41934,18968,2171,95013,806952,116388817,421100,4019,6291,25976946,119367,56,312446708,1716062
"2021-01-30",430130,2982,41872,19130,3147,97561,804781,115967717,529064,4016,6329,25857579,148824,56,310730646,2157704
"2021-01-29",427148,3503,41758,19609,2835,101003,801634,115438653,605845,4011,6483,25708755,167111,56,308572942,1952298
"2021-01-28",423645,4011,41588,20113,3500,104303,798799,114832808,578279,4000,6642,25541644,157306,56,306620644,1951285
"2021-01-27",419634,4077,41402,20497,4134,107444,795299,114254529,518507,3985,6806,25384338,153985,56,304669359,1654456
"2021-01-26",415557,3734,41205,20573,3705,108960,791165,113736022,565751,3976,6832,25230353,146448,56,303014903,1725082
"2021-01-25",411823,1593,41028,20875,2515,109936,787460,113170271,535497,3949,6857,25083905,133454,56,301289821,1720880
"2021-01-24",410230,1944,40931,21168,1909,110628,784945,112634774,412763,3943,6989,24950451,144234,56,299568941,1764476
"2021-01-23",408286,3591,40853,21657,6652,113609,783036,112222011,559167,3941,7110,24806217,177118,56,297804465,1968395
"2021-01-22",404695,3980,40687,22008,4325,116264,776384,111662844,627979,3919,7236,24629099,190915,56,295836070,2032714
"2021-01-21",400715,3878,40481,22309,4053,119949,772059,111034865,574713,3910,7370,24438184,186275,56,293803356,1935268
"2021-01-20",396837,4409,40340,22809,5105,122700,768006,110460152,558282,3897,7564,24251909,189203,56,291868088,1823829
"2021-01-19",392428,2141,40103,23029,3206,123820,762901,109901870,646314,3883,7688,24062706,146626,56,290044259,1727996
"2021-01-18",390287,1395,39973,23226,2839,123848,759695,109255556,766315,3865,7772,23916080,150792,56,288316263,2115985
"2021-01-17",388892,2053,39864,23432,2167,124387,756856,108489241,490957,3860,7797,23765288,187218,56,286200278,1892881
"2021-01-16",386839,3709,39797,23524,4039,126139,754689,107998284,507306,3858,7755,23578070,218085,56,284307397,2078818
"2021-01-15",383130,3679,39626,23593,4000,127235,750650,107490978,713021,3845,7772,23359985,246454,56,282228579,2322266
"2021-01-14",379451,3915,39418,23891,3792,128947,746650,106777957,621766,3829,7878,23113531,225616,56,279906313,2043945
"2021-01-13",375536,4087,39248,23857,5312,130391,742858,106156191,485436,3811,7902,22887915,224491,56,277862368,1839630
"2021-01-12",371449,4064,39049,23881,4657,131326,737546,105670755,677831,3796,7879,22663424,218020,56,276022738,1958786
"2021-01-11",367385,1733,38823,23501,3045,129793,732889,104992924,633776,3773,7786,22445404,195255,56,274063952,1867076
"2021-01-10",365652,2068,38706,23640,2413,129223,729844,104359148,464420,3771,7878,22250149,228732,56,272196876,2024548
"2021-01-09",363584,3537,38607,23718,6683,130781,727431,103894728,569537,3767,7791,22021417,269368,56,270172328,2111681
"2021-01-08",360047,3780,38432,23912,4705,131921,720748,103325191,675322,3756,7908,21752049,295121,56,268060647,2163546
"2021-01-07",356267,4079,38236,23821,5312,132370,716043,102649869,573875,3748,7900,21456928,272043,56,265897101,1946262
"2021-01-06",352188,3902,38064,23708,6607,132474,710731,102075994,493339,3739,7946,21184885,250184,56,263950839,1638284
"2021-01-05",348286,3484,37841,23509,4290,131195,704124,101582655,677123,3718,7976,20934701,219075,56,262312555,1714814
"2021-01-04",344802,1547,37586,23435,3892,128210,699834,100905532,527737,3692,7930,20715626,179571,56,260597741,1581745
"2021-01-03",343255,1455,37433,23243,2226,125562,695942,100377795,334242,3688,7939,20536055,208457,56,259015996,1429565
"2021-01-02",341800,2406,37309,23133,3051,123614,693716,100043553,537726,3684,7910,20327598,280318,56,257586431,2104010
"2021-01-01",339394,2592,37196,23255,4550,125047,690665,99505827,312567,3681,7990,20047280,182906,56,255482421,1395406
"2020-12-31",336802,3297,37066,23097,4348,125423,686115,99193260,496939,3672,8004,19864374,226246,56,254087015,1785816
"2020-12-30",333505,3900,36855,23069,5514,125220,681767,98696321,418642,3653,7930,19638128,229496,56,252301199,1568065
"2020-12-29",329605,3289,36583,22838,5261,124686,676253,98277679,349252,3635,7885,19408632,199679,56,250733134,1322227
"2020-12-28",326316,1490,36308,22579,3723,121202,670992,97928427,623308,3612,7948,19208953,164127,56,249410907,1493296
"2020-12-27",324826,1397,36164,22447,2302,118720,667269,97305119,297044,3604,7878,19044826,153540,56,247917611,1370750
"2020-12-26",323429,1426,36038,22373,2292,117344,664967,97008075,659398,3593,7809,18891286,190594,56,246546861,2157580
"2020-12-25",322003,1553,35945,22418,2047,118948,662675,96348677,310214,3592,7831,18700692,126796,56,244389281,1416144
"2020-12-24",320450,2958,35899,22623,4289,120200,660628,96038463,506039,3587,7792,18573896,206684,56,242973137,1972862
"2020-12-23",317492,3393,35695,22489,4795,119463,656339,95532424,527370,3579,7819,18367212,224526,56,241000275,1780319
"2020-12-22",314099,3137,35428,22213,4567,117777,651544,95005054,478685,3554,7830,18142686,193008,56,239219956,1758089
"2020-12-21",310962,1480,35178,21884,3111,115358,646977,94526369,814028,3539,7783,17949678,179406,56,237461867,2055232
"2020-12-20",309482,1668,35030,21763,2382,113601,643866,93712341,455908,3530,7695,17770272,197494,56,235406635,1822941
"2020-12-19",307814,2708,34949,21692,3429,113914,641484,93256433,445160,3529,7786,17572778,204873,56,233583694,1804785
"2020-12-18",305106,2866,34716,21745,5214,113955,638055,92811273,805210,3519,7786,17367905,241786,56,231778909,2239938
"2020-12-17",302240,3465,34485,21912,5167,114492,632841,92006063,531036,3504,7848,17126119,242970,56,229538971,1901868
"2020-12-16",298775,3453,34237,21943,4776,113257,627674,91475027,582624,3488,7782,16883149,234288,56,227637103,1840315
"2020-12-15",295322,2924,33958,21897,4430,112816,622898,90892403,588741,3460,7702,16648861,193218,56,225796788,1832328
"2020-12-14",292398,1357,33693,21458,3461,110573,618468,90303662,862069,3442,7699,16455643,193286,56,223964460,2127481
"2020-12-13",291041,1501,33494,21230,2314,109298,615007,89441593,513763,3432,7535,16262357,187251,56,221836979,1812446
"2020-12-12",289540,2497,33419,21198,3789,108461,612693,88927830,484998,3430,7515,16075106,226904,56,220024533,1874905
"2020-12-11",287043,2747,33237,21012,5411,108101,608904,88442832,737772,3424,7488,15848202,236933,56,218149628,2022167
"2020-12-10",284296,3132,32919,21024,4450,107300,603493,87705060,588528,3394,7444,15611269,220846,56,216127461,1928971
"2020-12-09",281164,3169,32720,20903,5300,106671,599043,87116532,639996,3376,7621,15390423,216728,56,214198490,1837404
"2020-12-08",277995,2680,32406,20475,4410,104637,593743,86476536,556192,3359,7251,15173695,217844,56,212361086,1689076
"2020-12-07",275315,1291,32120,20097,3461,102122,589333,85920344,659561,3328,7067,14955851,181897,56,210672010,1772859
"2020-12-06",274024,1163,31946,20145,2311,101501,585872,85260783,465520,3322,7095,14773954,182580,56,208899151,1659236
"2020-12-05",272861,2486,31831,19947,3513,101192,583561,84795263,626881,3321,7006,14591374,219070,56,207239915,2268978
"2020-12-04",270375,2563,31608,19853,4654,101309,580048,84168382,612167,3305,6992,14372304,230313,56,204970937,1908337
"2020-12-03",267812,2822,31276,19714,5369,100746,575394,83556215,626608,3280,6871,14141991,216271,56,203062600,1933565
"2020-12-02",264990,2811,31038,19687,5238,100327,570025,82929607,-425204,3252,6855,13925720,203429,56,201129035,1595759
"2020-12-01",262179,2489,30749,19292,4916,98736,564787,83354811,518053,3223,6643,13722291,181183,56,199533276,1486246
"2020-11-30",259690,1037,30469,18807,3394,96134,559871,82836758,731023,3205,6520,13541108,150031,56,198047030,1634111
"2020-11-29",258653,825,30274,18437,2429,93357,556477,82105735,362709,3184,6245,13391077,137254,56,196412919,1314942
"2020-11-28",257828,1243,30109,18249,3485,91762,554048,81743026,559770,3179,6148,13253823,151469,56,195097977,1655753
"2020-11-27",256585,1404,29858,18056,3418,89913,550563,81183256,798256,3171,6028,13102354,198874,56,193442224,2079892
