,X1,X2,X4,X5,X6,X8,X9,X10,X11,X12,X13,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X44,X45,X46,X47,X48,X49,X50,X51,X53,X54,X55,X56
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106600358,0,0,0,0,0,0,0,0,0,0,0.133630621,0,0,0,0,0
2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.051639778,0,0,0.051639778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031622777,0,0,0,0,0,0,0.089442719,0,0,0,0.036514837
3,0,0,0.333333333,0.086066297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072739297,0,0,0,0,0
4,0,0,0,0.2,0.063245553,0,0.063245553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.026967994,0,0,0,0,0.031622777,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.5,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0.106600358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0.03928371,0,0.068041382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048112522,0,0,0,0,0,0,0,0.025717225,0.025717225,0,0,0,0.030429031,0
9,0,0.019764235,0,0.019764235,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019764235,0,0.025515518,0,0.025515518,0,0,0.025515518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016703828,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301511345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.088388348,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0,0.072168784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051031036
13,0,0,0,0,0,0,0.063245553,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.04472136,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089442719,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.176776695,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0.07856742,0,0,0.19245009,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.063245553,0,0,0,0,0,0.063245553,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063245553,0,0,0,0,0,0,0,0,0,0,0,0.051639778,0,0.04,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.096225045,0.111111111,0,0,0,0,0,0,0,0,0,0,0.068041382,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136082763,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060858062,0,0
20,0.048112522,0,0,0.030429031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034020691,0,0,0,0,0,0,0.025717225,0,0,0,0.021516574,0,0.027777778
21,0,0,0,0,0,0,0,0,0,0,0,0,0.158113883,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0
22,0,0.086066297,0,0.086066297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.086066297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0.086066297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.111111111,0,0,0,0.136082763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051639778,0,0.063245553,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.051639778,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.204124145,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.072739297,0,0.19245009,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051031036,0.088388348,0,0,0,0,0,0,0.25,0,0,0,0.072168784,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.068041382,0.111111111,0,0,0,0,0,0.136082763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0.019764235,0.03125,0,0,0.044194174,0,0,0,0,0,0.044194174,0.025515518,0,0,0,0,0,0.125,0,0.025515518,0,0,0.013325045,0,0,0,0,0,0,0,0,0.044194174,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0.086066297,0,0,0.086066297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.333333333,0,0.136082763,0.058025885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.089442719,0,0,0,0,0,0,0,0,0,0,0.04472136,0,0,0,0.051639778,0.2,0,0,0,0,0.04472136,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0.158113883,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.019381883,0,0,0.012258179,0,0,0.019381883,0,0,0,0,0,0,0,0,0,0,0,0.015825241,0,0,0,0,0,0,0.019381883,0,0,0,0,0,0,0,0,0.090909091,0,0,0.013705061,0,0.009690942,0.015825241,0,0,0,0,0.010360052,0.027410122,0,0.008667842,0,0
