"","X1","X2","X4","X5","X6","X8","X9","X10","X11","X12","X13","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X44","X45","X46","X47","X48","X49","X50","X51","X53","X54","X55","X56"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071886425,0,0,0,0,0,0,0,0,0,0,-0.014861839,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008652417,0,0,-0.003296671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045126863,0,0,0,0,0,0,-0.000239925,0,0,0,-0.021745794
"4",0,0,1,-0.044227828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007063325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006498366,0,0,0,0,0
"5",0,0,0,1,-0.033777191,0,-0.003441178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029208554,0,-0.03566042,0,0,0,0,0.000977585,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,0,0,0,0,0,-0.013366637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057808092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029938998,0,0,0,0,0,0,0,0,0,0,0,0.005781935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.028808588,0,-0.001485443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858734,0,0,0,0,0,0,0,-0.024763842,0.013902109,0,0,0,0.012685685,0
"11",0,-0.010552987,0,0.010564455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000383514,0,-0.003126194,0,-0.122303372,0,0,-0.001195184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007957807,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000884071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0.042932175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.007997331,0,-0.000645793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030419753
"16",0,0,0,0,0,0,0.041225378,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.063071116,0,0,0.09364005,0,0,0,0,0.009336176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006795585,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013809225,0,-0.018540062,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0.034796715,0,0,-0.033534983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063459951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",-0.046160087,0,0,0,0,0,-0.024124437,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065333505,0,0,0,0,0,0,0,0,0,0,0,0.00000931973,0,0.0000527884,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.014035153,-0.002248652,0,0,0,0,0,0,0,0,0,0,-0.028217552,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0.016458938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024002541,0,0
"23",0.00000702837,0,0,0.008979837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00512966,0,0,0,0,0,0,-0.029718729,0,0,0,0.000273983,0,-0.027982723
"24",0,0,0,0,0,0,0,0,0,0,0,0,0.007390134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021398602,0,0,0,0,0,0,0
"25",0,0.001135892,0,0.009035423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.007276096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.006698708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,-0.033002118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.000483477,0,0,0,0.016433787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007186602,0,0.020331465,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022937292,0.036435386,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.021748769,0,0,0,0,0,0,0,0,0,0.001511786,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.019457458,0,0,0,0,0,0,0,0,0,0,0,0,-0.005226771,0,0.01234752,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008913917,-0.007370318,0,0,0,0,0,0,1,0,0,0,-0.042940197,0,0,0,0,0,-0.003440205,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.010808359,-0.066599604,0,0,0,0,0,-0.015231279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0.041039157,-0.008099634,0,0,-0.000923392,0,0,0,0,0,-0.020679185,-0.037849982,0,0,0,0,0,1,0,-0.026774194,0,0,-0.015395642,0,0,0,0,0,0,0,0,-0.054871794,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0.034420494,0,0,-0.044995932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03863437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050407964,0,0,1,0,-0.009780774,-0.01433824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0.066088229,0,0,0,0,0,0,0,0,0,0,0,0,-0.030059704,0,0,0,0,0,0,0,0,0,0,0.027739546,0,0,0,0.021837335,1,0,0,0,0,-0.000746444,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0.016467294,0,0,0,0,0,0,0,0,0,0,0,0,-0.023772761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0.002089471,0,0,-0.006391445,0,0,-0.052824043,0,0,0,0,0,0,0,0,0,0,0,-0.012316321,0,0,0,0,0,0,-0.003732797,0,0,0,0,0,0,0,0,1,0,0,0.036625462,0,0.034111756,0.018754407,0,0,0,0,0.007498436,0.000197674,0,0.015585135,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019988573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.018508056,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044811191,1,0,0,0,0,0,0,0,0,-0.000104189,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,-0.034527782,0,0,0,0,0,0,0,0,0,-0.013175772,0,0,0,0,-0.02122914,0,0,0,0,0,-0.033926725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005852562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"44",0.034852164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015328713,-0.014266739,0,0,0,-0.04303836,0,0.002947861,0,0,0,0,0,0,0,0,0,-0.018177761,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.00455463,-0.04469548,0
"45",0,0,0,0.014349106,0,0,0,0.002984118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.027740789,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010144619,0,0,0,0,0,0,0,0,0,-0.042491213,0,0,0,0,0,0.087791845,0,0,0.021201824,0,0,1,0,0,0,0,0,-0.019293355,0,0,0
"47",0,0,0,0,0,0,0,0,0,-0.061963366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004404936,0,0,0,0,0,0,0.068396275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"49",0,0,0,0.014137746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007602766,0,0,0,0,0,-0.008989674,0.003265927,0,0,0,0,0,0,0.041584443,0,0,0,0,0,0,0,0,0,0,0,0.000125735,1,0,0,0,0,0,0
"50",0,0.035642093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007153182,0,-0.012835082,0,0,0,0,0,0,0,0,0,0,0,0,-0.000825039,0,0,0,0,1,0,0.004924299,-0.012939715,0,0.008082706
