,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72
1,801317,22,246,804,740,356,101,37,39,8772,12526,45,80,1388,1030,508,336,990,2541,60,214,190,987,290,6869,990,27,225,113,43.0,131,128,552,1405,51,1148,478,83,461,34,940,55,6663,3560,119,18,919,226,121,584,38,23.0
2,41,52881,200,16,429,125,17,3,14,249,84,85,96,68,32,28,16,10,44,7,29,67,41,18,23,32,87,21,59,10.0,16,22,86,42,29,24,51,164,43,5,40,11,69,248,101,6,72,537,4,53,8,1.0
4,426,244,735008,492,20230,3531,261,93,127,1903,1302,449,1567,3354,1158,1484,1018,429,528,84,369,412,1755,2190,388,1330,496,1109,2655,90.0,570,2685,1292,922,703,1308,1009,1396,791,70,509,508,766,6575,2760,32,923,3036,76,1227,744,43.0
5,723,55,238,440316,838,338,55,39,13,864,1040,17,63,876,423,256,940,439,2243,21,97,76,311,164,1587,4352,34,177,80,23.0,123,146,251,470,68,349,5605,78,280,5,356,61,2840,7223,77,11,331,149,73,175,34,12.0
6,1908,586,19874,1428,3519170,6520,1185,236,648,8926,4241,3669,2856,7281,2495,1305,2733,918,1712,269,2139,3276,3471,2631,1015,4227,864,1236,13888,379.0,3066,2010,8798,3838,397,3407,2634,9422,3189,412,1346,334,3408,21244,7673,149,3457,10457,236,3705,426,190.0
8,1186,143,2733,1408,6570,565321,299,62,144,7227,2689,291,466,3413,1105,1222,2826,630,1537,86,548,493,1425,1394,704,2991,691,2614,629,99.0,672,2873,1365,1267,387,1435,2735,551,1071,65,679,455,1406,20134,1184,41,1683,1268,105,927,2555,200.0
9,116,16,118,45,660,174,306883,77,114,1853,435,32,26,251,343,69,61,63,101,395,431,6270,242,76,35,141,26,17,54,794.0,2110,8,8549,609,16,442,101,64,1162,2076,400,11,230,521,45,476,708,158,63,82,23,86.0
10,63,1,63,73,228,65,193,86467,159,473,141,6,10,70,59,65,30,34,20,39,5166,221,81,37,31,33,3,12,22,177.0,2120,30,798,459,2,356,20,15,5555,44,186,9,103,170,27,30,1321,51,148,20,2,17.0
11,114,21,68,50,461,76,94,193,34122,1282,437,30,35,216,84,23,30,44,121,18,13030,206,162,44,62,68,8,14,26,27.0,533,22,866,641,3,198,52,26,1087,46,223,9,134,560,29,18,6970,89,189,51,5,42.0
12,19806,299,2052,2625,10252,4114,4740,1088,1012,2742862,35596,403,393,27257,16206,3895,2413,7811,5073,1167,7357,8403,22691,6492,3984,7038,292,1508,883,1658.0,14628,587,30953,17122,539,23075,2377,818,13088,1249,9492,478,15800,20722,906,412,13542,2139,1599,5600,259,4122.0
