date,ILITOTAL,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,NUM. OF PROVIDERS,TOTAL PATIENTS
9/30/2002,2060,1.22262,1.16668,582,805,754,176569
10/7/2002,2267,1.33344,1.2165,683,872,785,186355
10/14/2002,2176,1.31929,1.13057,642,878,831,192469
10/21/2002,2599,1.49484,1.25246,728,1045,863,207512
10/28/2002,2907,1.47195,1.30237,823,1189,909,223208
11/4/2002,3225,1.58094,1.40551,887,1272,930,229454
11/11/2002,3097,1.49426,1.38437,851,1173,923,223712
11/18/2002,2967,1.40569,1.32563,802,1166,922,223818
11/25/2002,2709,1.6141,1.43475,834,978,918,188814
12/2/2002,3049,1.45967,1.25433,857,1117,937,243078
12/9/2002,2957,1.59896,1.25757,804,1179,928,235136
12/16/2002,3416,2.16697,1.58017,951,1404,908,216179
12/23/2002,2857,2.57842,1.98008,915,937,865,144287
12/30/2002,3260,2.38636,1.90428,1028,1019,879,171193
1/6/2003,3729,1.73621,1.5901,1068,1296,926,234513
1/13/2003,4204,2.06296,1.81559,1154,1798,902,231550
1/20/2003,5696,2.58113,2.41801,1373,2998,927,235566
1/27/2003,7079,2.93909,2.86635,1411,4064,884,246969
2/3/2003,7782,3.22539,3.16662,1606,4447,889,245751
2/10/2003,7649,3.06982,3.0155,1568,4224,903,253656
2/17/2003,7228,3.20044,2.9978,1694,3689,871,241110
2/24/2003,5606,2.44888,2.31957,1336,2583,857,241683
3/3/2003,4450,2.1344,1.94707,1015,2103,839,228549
3/10/2003,3810,1.99866,1.72985,880,1669,835,220250
3/17/2003,2987,1.93849,1.51837,737,1321,795,196724
3/24/2003,2439,1.41293,1.22616,624,1016,775,198913
3/31/2003,2028,1.23472,1.05433,506,846,741,192349
4/7/2003,2082,1.20005,1.07108,569,799,735,194383
4/14/2003,1467,0.910135,0.82612,440,539,669,177577
4/21/2003,1445,0.932265,0.820505,429,508,682,176111
4/28/2003,1075,0.692175,0.630846,275,444,655,170406
5/5/2003,1005,0.669406,0.63935,215,471,613,157191
5/12/2003,836,0.727705,0.586609,248,283,547,142514
5/19/2003,740,0.717701,0.773024,264,262,406,95728
5/26/2003,641,0.789394,0.790743,213,205,393,81063
6/2/2003,563,0.722129,0.711847,201,195,344,79090
6/9/2003,620,0.591326,0.794637,198,187,341,78023
6/16/2003,423,0.52307,0.586604,139,123,322,72110
6/23/2003,441,0.450236,0.615982,122,124,322,71593
6/30/2003,318,0.397421,0.491507,109,91,310,64699
7/7/2003,441,0.448002,0.604341,137,141,308,72972
7/14/2003,365,0.474767,0.524478,98,98,301,69593
7/21/2003,420,0.453251,0.590692,112,139,302,71103
7/28/2003,361,0.352158,0.505135,100,120,290,71466
8/4/2003,443,0.525322,0.634271,136,125,295,69844
8/11/2003,421,0.492991,0.610118,120,131,283,69003
8/18/2003,450,0.542728,0.641227,159,144,277,70178
8/25/2003,463,0.490347,0.661429,166,155,276,70000
9/1/2003,519,0.735914,0.792681,177,182,271,65474
9/8/2003,475,0.581771,0.639059,145,184,267,74328
9/15/2003,461,0.654162,0.636732,136,183,264,72401
9/22/2003,533,0.749504,0.747829,135,221,268,71273
9/29/2003,2442,0.884021,0.960873,808,881,830,254144
10/6/2003,2932,1.02773,1.04325,913,1132,931,281045
10/13/2003,3031,1.28296,1.0545,878,1147,974,287436
10/20/2003,3475,1.32661,1.11231,1006,1369,1007,312412
10/27/2003,4690,1.77304,1.41274,1207,2080,1074,331980
11/3/2003,5790,2.43814,1.72703,1542,2735,1111,335258
11/10/2003,8385,2.72605,2.407,2185,4133,1141,348359
11/17/2003,11141,3.73192,3.10962,2561,5684,1129,358275
11/24/2003,11742,4.54894,4.30779,3247,4933,1118,272576
12/1/2003,18948,5.39906,4.8303,4734,7817,1189,392274
12/8/2003,24962,7.38735,6.42905,6620,11550,1173,388269
12/15/2003,23699,7.48097,6.86734,6434,9851,1148,345097
12/22/2003,16415,7.62797,7.06496,5336,5231,1122,232344
12/29/2003,11332,5.14051,4.55115,3391,2894,1139,248992
12/29/2003,7602,2.89129,2.41833,1930,2299,1160,314349
1/5/2004,5583,2.10429,1.80906,1679,1857,1141,308614
1/12/2004,4961,1.88696,1.71202,1721,1604,1084,289774
1/19/2004,4436,1.7766,1.5425,1487,1543,1071,287586
1/26/2004,4251,1.46001,1.43787,1454,1448,1054,295646
2/2/2004,3824,1.37787,1.32427,1420,1297,986,288762
2/9/2004,3691,1.30532,1.30726,1301,1255,1004,282347
2/16/2004,2916,1.08691,1.03698,956,1038,948,281202
2/23/2004,2744,0.991888,1.01032,925,910,894,271597
3/1/2004,2708,1.02765,1.05249,878,888,897,257294
3/8/2004,2487,1.0579,1.02009,730,826,849,243802
3/15/2004,2300,0.849361,0.924419,760,733,859,248805
3/22/2004,1858,0.747127,0.790645,610,611,828,234998
3/29/2004,1705,0.661708,0.80261,583,566,774,212432
4/5/2004,1749,0.679514,0.83613,545,573,755,209178
4/12/2004,1615,0.633071,0.792436,501,511,679,203802
4/19/2004,1331,0.569894,0.683588,470,404,658,194708
4/26/2004,1394,0.591357,0.757452,435,491,629,184038
5/3/2004,1327,0.589044,0.788585,449,443,599,168276
5/10/2004,1262,0.67864,0.812171,451,380,553,155386
5/17/2004,1070,0.637558,0.804463,375,349,463,133008
5/24/2004,1061,0.813309,0.877701,391,308,452,120884
5/31/2004,987,0.834551,0.741453,355,309,443,133117
6/7/2004,851,0.616174,0.661022,307,240,426,128740
6/14/2004,887,0.513286,0.715109,277,284,423,124037
6/21/2004,698,0.351881,0.562241,238,183,408,124146
6/28/2004,710,0.542621,0.786808,233,205,381,90238
7/5/2004,836,0.581036,0.860658,249,280,378,97135
