,id,name,code,parentId,geonameId,latitude,longitude,population,elevation
3596,US.AR,Arkansas,AR,US,4099753,34.75037,-92.50044,2757631.0,185.0
3597,US.DC,District of Columbia,DC,US,4138106,38.91706,-77.00025,552433.0,27.0
3598,US.DE,Delaware,DE,US,4142224,39.00039,-75.49992,838549.0,9.0
3599,US.FL,Florida,FL,US,4155751,28.75054,-82.5001,17671452.0,26.0
3600,US.GA,Georgia,GA,US,4197000,32.75042,-83.50018,8975842.0,155.0
3601,US.KS,Kansas,KS,US,4273857,38.50029,-98.50063,274759.0,545.0
3602,US.LA,Louisiana,LA,US,4331987,31.00047,-92.0004,4515939.0,14.0
3603,US.MD,Maryland,MD,US,4361885,39.00039,-76.74997,5624246.0,42.0
3604,US.MO,Missouri,MO,US,4398678,38.25031,-92.50046,5768151.0,238.0
3605,US.MS,Mississippi,MS,US,4436296,32.75041,-89.75036,291371.0,110.0
3606,US.NC,North Carolina,NC,US,4482348,35.50069,-80.00032,148884.0,137.0
3607,US.OK,Oklahoma,OK,US,4544379,35.49209,-97.50328,354749.0,369.0
3608,US.SC,South Carolina,SC,US,4597040,34.00043,-81.00009,4229842.0,92.0
3609,US.TN,Tennessee,TN,US,4662168,35.75035,-86.25027,593599.0,325.0
3610,US.TX,Texas,TX,US,4736286,31.25044,-99.25061,22875689.0,559.0
3611,US.WV,West Virginia,WV,US,4826850,38.50038,-80.50009,1817871.0,705.0
3612,US.AL,Alabama,AL,US,4829764,32.75041,-86.75026,453315.0,141.0
3613,US.CT,Connecticut,CT,US,4831725,41.66704,-72.66648,3527249.0,45.0
3614,US.IA,Iowa,IA,US,4862182,42.00027,-93.50049,29551.0,292.0
3615,US.IL,Illinois,IL,US,4896861,40.00032,-89.25037,12772888.0,191.0
3616,US.IN,Indiana,IN,US,4921868,40.00032,-86.25027,6265933.0,272.0
3617,US.ME,Maine,ME,US,4971068,45.50032,-69.24977,1325518.0,362.0
3618,US.MI,Michigan,MI,US,5001836,44.25029,-85.50033,988336.0,394.0
3619,US.MN,Minnesota,MN,US,5037779,46.25024,-94.25055,5141953.0,367.0
3620,US.NE,Nebraska,NE,US,5073708,41.50028,-99.75067,1757399.0,817.0
3621,US.NH,New Hampshire,NH,US,5090174,43.66702,-71.4998,1316216.0,164.0
3622,US.NJ,New Jersey,NJ,US,5101760,40.16706,-74.49987,8751436.0,42.0
3623,US.NY,New York,NY,US,5128638,43.00035,-75.4999,19274244.0,281.0
3624,US.OH,Ohio,OH,US,5165418,40.25034,-83.00018,11467123.0,290.0
3625,US.RI,Rhode Island,RI,US,5224323,41.75038,-71.49978,15292.0,69.0
3626,US.VT,Vermont,VT,US,5242283,44.00034,-72.74983,62451.0,271.0
3627,US.WI,Wisconsin,WI,US,5279468,44.50024,-90.00041,5535168.0,340.0
3628,US.CA,California,CA,US,5332921,37.25022,-119.75126,39512223.0,469.0
3629,US.CO,Colorado,CO,US,5417618,39.00027,-105.50083,467863.0,3049.0
3630,US.NM,New Mexico,NM,US,5481136,34.50034,-106.00085,1912684.0,1889.0
3631,US.NV,Nevada,NV,US,5509151,39.25021,-116.75119,2399532.0,2260.0
3632,US.UT,Utah,UT,US,5549030,39.25024,-111.75103,242734.0,1808.0
3633,US.AZ,Arizona,AZ,US,5551752,34.5003,-111.50098,586389.0,1927.0
3634,US.ID,Idaho,ID,US,5596512,44.5002,-114.25118,1416564.0,1681.0
3635,US.MT,Montana,MT,US,5667009,47.00025,-109.75102,93698.0,1202.0
3636,US.ND,North Dakota,ND,US,5690763,47.50027,-100.00068,63529.0,582.0
3637,US.OR,Oregon,OR,US,5744337,44.00013,-120.50139,3642919.0,1460.0
3638,US.SD,South Dakota,SD,US,5769223,44.50026,-100.25069,77184.0,548.0
3639,US.WA,Washington,WA,US,5815135,47.50012,-120.50147,6271775.0,555.0
3640,US.WY,Wyoming,WY,US,5843591,43.00024,-107.5009,5597.0,1889.0
3641,US.HI,Hawaii,HI,US,5855797,20.78785,-156.38612,128422.0,0.0
3642,US.AK,Alaska,AK,US,5879092,64.00028,-150.00028,66633.0,421.0
3643,US.KY,Kentucky,KY,US,6254925,38.20042,-84.87762,42674.0,
3644,US.MA,Massachusetts,MA,US,6254926,42.36565,-71.10832,6433422.0,
3645,US.PA,Pennsylvania,PA,US,6254927,40.8,-77.7,1244621.0,
3646,US.VA,Virginia,VA,US,6254928,37.54812,-77.44675,7642884.0,
