stateFips,totalHouseholds,withComputer,withComputerPct,withBroadbandInternet,withBroadbandInternetPct
1,1860269,1551296,83.39095045,1364318,73.33982343
2,253462,236598,93.34653715,213702,84.31323039
4,2524300,2269063,89.88880086,2064391,81.78073129
5,1152175,969432,84.13930176,804635,69.8361794
6,12965435,11886064,91.67501129,10981568,84.69880108
8,2113387,1962259,92.8490144,1811158,85.69930637
9,1367374,1224654,89.56247523,1145904,83.80326085
10,357765,321643,89.90342823,294927,82.43595656
11,281322,252564,89.77755028,225082,80.00867334
12,7621760,6844107,89.79693667,6156029,80.76912682
13,3709488,3287853,88.63360658,2932021,79.04112373
15,456782,411022,89.98209211,380544,83.30976264
16,618331,557848,90.21834584,492955,79.72348144
17,4830038,4264785,88.29713141,3891212,80.56276162
18,2553818,2226068,87.16627418,1980710,77.5587767
19,1256855,1101435,87.63421397,990436,78.80272585
20,1124549,994601,88.44443417,895587,79.63965999
21,1728681,1458107,84.34795084,1305631,75.52758433
22,1736021,1449635,83.50331016,1263254,72.76720731
23,556955,492145,88.36351231,445402,79.97091327
24,2192518,2001671,91.29553326,1855650,84.63556514
25,2601914,2345531,90.14636917,2203519,84.68838709
26,3909509,3442305,88.04954791,3086579,78.95055364
27,2167801,1958599,90.34957545,1796704,82.88140839
28,1105576,901172,81.51153788,751652,67.98736586
29,2396271,2091864,87.29663715,1859089,77.58258561
30,423240,369326,87.26160098,330716,78.13911729
31,754063,667596,88.53318622,610746,80.99402835
32,1075930,980878,91.16559627,874995,81.32452855
33,528078,486930,92.20796928,455443,86.24540314
34,3213362,2896471,90.13833487,2702008,84.08663574
35,775651,649937,83.79245305,561080,72.33665656
36,7316537,6456229,88.24159572,5916342,80.86259934
37,3918597,3424443,87.38951722,3066435,78.25339018
38,314903,278839,88.54758449,248698,78.97606565
39,4654075,4068830,87.42510596,3710252,79.720503
40,1474620,1278772,86.71874788,1117207,75.7623659
41,1591835,1461755,91.82829879,1335692,83.90894785
42,5025132,4344824,86.46188797,3981019,79.22217765
44,410885,360113,87.64325785,336100,81.79904353
45,1894711,1633709,86.22470656,1427627,75.34800822
46,341565,296335,86.75801092,266437,78.00477215
47,2567061,2185963,85.15430681,1934899,75.37409512
48,9553046,8525218,89.24083481,7574167,79.28536092
49,957619,903951,94.39568346,820364,85.66705548
50,259589,230736,88.88512225,208082,80.15825016
51,3128415,2811441,89.86790435,2565161,81.99554727
53,2800423,2595537,92.68374813,2421575,86.47175802
54,734676,601224,81.83525799,535799,72.92997185
55,2343129,2061845,87.99536859,1883025,80.36369316
56,230630,209397,90.79347873,187003,81.08355374
