stateFips,population25YearsAndOver,lessThan9thGrade,lessThan9thGradePct,grade9thTo12thNoDiploma,grade9thTo12thNoDiplomaPct,highSchoolGraduate,highSchoolGraduatePct,someCollegeNoDegree,someCollegeNoDegreePct,associatesDegree,associatesDegreePct,bachelorsDegree,bachelorsDegreePct,graduateOrProfessionalDegree,graduateOrProfessionalDegreePct,highSchoolGraduateOrHigher,highSchoolGraduateOrHigherPct,bachelorsDegreeOrHigher,bachelorsDegreeOrHigherPct
1,3299958,149392,4.527087921,320651,9.716820638,1020172,30.91469649,713655,21.62618433,273493,8.287772147,515443,15.61968364,307152,9.307754826,2829915,85.75609144,822595,24.92743847
2,477727,12245,2.563179389,22515,4.712942748,133851,28.01830334,129419,27.09057684,40052,8.383867774,88053,18.43165657,51592,10.79947334,442967,92.72387786,139645,29.23112991
4,4633932,266283,5.746372627,346719,7.482177123,1112551,24.00878994,1172161,25.29517049,398147,8.59199056,835120,18.02184408,502951,10.85365517,4020930,86.77145025,1338071,28.87549925
5,1999307,100384,5.020939756,175645,8.785294104,681223,34.07295628,451364,22.57602259,139070,6.955910223,288720,14.44100381,162901,8.147873238,1723278,86.19376614,451621,22.58887705
6,26218885,2471189,9.425225367,2004376,7.644779707,5391120,20.56197279,5582150,21.29056976,2051313,7.823799525,5445781,20.77045229,3272956,12.48320056,21743320,82.92999493,8718737,33.25365285
8,3748592,133605,3.564138215,189113,5.044907528,803431,21.432874,803337,21.43036639,314214,8.382187232,944470,25.19532667,560422,14.95019997,3425874,91.39095426,1504892,40.14552664
9,2478708,101068,4.077446799,134758,5.436622628,670519,27.05114923,416267,16.79370866,190869,7.700342275,538924,21.7421334,426303,17.19859701,2242882,90.48593057,965227,38.94073041
10,659979,22874,3.465867853,44608,6.759002938,208557,31.60055093,125186,18.96817929,51522,7.806612029,120794,18.30270357,86438,13.09708339,592497,89.77512921,207232,31.39978696
11,486981,18986,3.898714734,26819,5.507196379,83572,17.16124448,62618,12.85840721,14637,3.005661412,118817,24.39869317,161532,33.17008261,441176,90.59408889,280349,57.56877578
12,14686727,723824,4.928422786,1045665,7.11979599,4231678,28.8129411,2963473,20.17789941,1438630,9.795443192,2721635,18.53125615,1561822,10.63424138,12917238,87.95178122,4283457,29.16549753
13,6786547,324756,4.785290664,579158,8.533912754,1890132,27.85115907,1394241,20.54418838,518144,7.634869397,1282947,18.90426752,797169,11.74631223,5882633,86.68079658,2080116,30.65057974
15,988367,37398,3.783817145,43298,4.380761397,273633,27.68536384,207856,21.03024484,105186,10.64240307,212053,21.45488467,108943,11.02252503,907671,91.83542146,320996,32.47740971
16,1089266,38173,3.504469983,64518,5.923071132,301860,27.71223925,287113,26.3583918,104333,9.578284827,198648,18.23686776,94621,8.686675247,986575,90.57245889,293269,26.92354301
17,8682343,432496,4.981328197,532091,6.128426394,2267535,26.11662543,1799808,20.72951967,692622,7.977362793,1801833,20.75284287,1155958,13.31389465,7717756,88.89024541,2957791,34.06673752
18,4399815,164640,3.741975515,337984,7.681777529,1475931,33.54529679,898842,20.42908622,382510,8.693774625,727108,16.52587666,412800,9.382212661,3897191,88.57624696,1139908,25.90808932
19,2081373,65482,3.146096351,101227,4.863472333,648137,31.13987738,441087,21.19211693,238423,11.45508277,395820,19.01725448,191197,9.186099752,1914664,91.99043132,587017,28.20335423
20,1894675,69212,3.652974785,106507,5.621386254,492819,26.01074063,442045,23.33091427,161016,8.498344043,394462,20.8195073,228614,12.06613271,1718956,90.72563896,623076,32.88564002
21,3004004,174998,5.825491577,254575,8.47452267,991791,33.01563513,628235,20.91325444,244802,8.149190214,415937,13.84608676,293666,9.775819207,2574431,85.69998575,709603,23.62190596
22,3107941,158218,5.09076588,313742,10.09485058,1055768,33.97001423,656172,21.112756,186448,5.999084281,483170,15.54630542,254423,8.186223612,2635981,84.81438354,737593,23.73252903
23,967897,26431,2.730765774,47995,4.958688786,308013,31.82291091,189609,19.58979106,96570,9.977301304,190172,19.64795841,109107,11.27258376,893471,92.31054544,299279,30.92054217
24,4114858,164123,3.988545899,245634,5.969440501,1021847,24.83310481,779171,18.93555015,273518,6.647082354,877641,21.32858534,752924,18.29769095,3705101,90.0420136,1630565,39.62627629
25,4748795,214205,4.510723247,240155,5.057177663,1150846,24.23448475,740784,15.59940996,365103,7.688329355,1128877,23.77186213,908825,19.13801291,4294435,90.43209909,2037702,42.90987503
26,6772215,200210,2.956344416,441326,6.516715727,1966809,29.04232958,1590065,23.47924571,636753,9.402433325,1179677,17.41936722,757375,11.18356402,6130679,90.52693986,1937052,28.60293124
27,3731762,109242,2.927357104,153159,4.104200643,930058,24.92275767,792097,21.22581772,424424,11.37328694,871363,23.34990817,451419,12.09667176,3469361,92.96844225,1322782,35.44657993
28,1967314,105815,5.378653331,210530,10.70139286,596564,30.32378156,440894,22.41096236,184334,9.36983115,266274,13.53490089,162903,8.280477849,1650969,83.91995381,429177,21.81537873
29,4124838,134369,3.257558236,296160,7.179918339,1266430,30.70253911,923045,22.37772732,323751,7.848817335,729543,17.68658551,451540,10.94685416,3694309,89.56252343,1181083,28.63343966
30,714267,14320,2.004852527,34288,4.800445772,208896,29.24620625,169796,23.77206283,64097,8.973815114,148624,20.80790517,74246,10.39471234,665659,93.1947017,222870,31.20261751
31,1242463,49228,3.962130059,61511,4.950730927,326549,26.28239231,285916,23.01203336,130043,10.4665491,258291,20.78862711,130925,10.53753713,1131724,91.08713901,389216,31.32616424
32,2001450,113903,5.691024008,160260,8.007194784,563229,28.14104774,515011,25.73189438,163699,8.17902021,317510,15.8639986,167838,8.38582028,1727287,86.30178121,485348,24.24981888
33,952115,21176,2.22410108,46431,4.876616795,263005,27.62323879,177691,18.66276658,96387,10.12346198,213277,22.4003403,134148,14.08947449,884508,92.89928212,347425,36.48981478
34,6129542,303217,4.946813318,337896,5.512581527,1683568,27.46645671,1019736,16.63641427,401069,6.54321318,1457910,23.78497447,926146,15.10954652,5488429,89.54060515,2384056,38.89452099
35,1394280,86723,6.219912787,118835,8.52303698,368487,26.42847922,327375,23.47986057,114664,8.223886163,213129,15.28595404,165067,11.83887024,1188722,85.25705023,378196,27.12482428
36,13606342,857177,6.299834298,982672,7.222161548,3556251,26.13671625,2137839,15.7120775,1184265,8.703772109,2748577,20.20070494,2139561,15.72473336,11766493,86.47800415,4888138,35.9254383
37,6881774,322916,4.692336598,546950,7.947805319,1780253,25.86910003,1479791,21.50304558,652658,9.483862737,1345846,19.55667245,753360,10.94717728,6011908,87.35985808,2099206,30.50384973
38,490233,15703,3.203170737,21091,4.302239955,131264,26.77583924,110567,22.55396924,67212,13.71021535,105552,21.53098629,38844,7.923579196,453439,92.49458931,144396,29.45456548
39,7937085,223320,2.813627421,562840,7.091268394,2639478,33.25500483,1624247,20.46402426,681630,8.587913573,1370810,17.27095023,834760,10.51721129,7150925,90.09510418,2205570,27.78816152
40,2574001,105753,4.108506562,208035,8.082164692,806407,31.32893111,606833,23.57547647,198903,7.727386275,428829,16.66001684,219241,8.517518058,2260213,87.80932875,648070,25.1775349
41,2850693,105456,3.69931101,168726,5.91877133,656365,23.02475223,732477,25.6946995,249852,8.764605659,583144,20.45621889,354673,12.44164138,2576511,90.38191766,937817,32.89786027
42,8921363,291164,3.263671706,582854,6.533239372,3133655,35.1252942,1426783,15.99288136,741590,8.312519062,1661705,18.6261337,1083612,12.14626061,8047345,90.20308892,2745317,30.77239431
44,733188,38156,5.204122272,49838,6.797438038,207007,28.2338227,133087,18.15182463,61136,8.338379788,145595,19.85779909,98369,13.41661347,645194,87.99843969,243964,33.27441257
45,3385002,141638,4.184281132,294132,8.689271085,998459,29.49655569,698504,20.63526107,324446,9.584809699,588965,17.39925117,338858,10.01057016,2949232,87.12644778,927823,27.40982132
46,567083,17892,3.155093699,29052,5.123059587,173262,30.55319944,120325,21.21823437,65075,11.47539249,112426,19.82531658,49051,8.649703835,520139,91.72184671,161477,28.47502041
47,4530706,219600,4.846926726,370670,8.181285654,1467848,32.39777642,942609,20.80490325,323928,7.14961421,762299,16.82517029,443752,9.794323445,3940436,86.97178762,1206051,26.61949374
48,17815359,1506111,8.454003088,1487321,8.348532297,4448881,24.97216587,3892527,21.84927623,1261050,7.07844282,3409836,19.1398669,1809633,10.15771279,14821927,83.19746461,5219469,29.29757969
49,1782065,49534,2.779584359,93826,5.265015586,407324,22.85685427,464955,26.09079916,173766,9.750822781,391237,21.95413748,201423,11.30278637,1638705,91.95540006,592660,33.25692385
50,439695,10187,2.316833259,22520,5.12173211,128172,29.15020639,77197,17.55694288,37513,8.531595765,97034,22.06847929,67072,15.2542103,406988,92.56143463,164106,37.32268959
51,5730352,248375,4.334375969,364445,6.359905988,1381080,24.10113724,1112619,19.41624179,436970,7.625535046,1244489,21.71749659,942374,16.44530737,5117532,89.30571804,2186863,38.16280396
