stateFips,workers16YearsAndOver,droveAloneToWorkInCarTruckOrVan,droveAloneToWorkInCarTruckOrVanPct,carpooledToWorkInCarTruckOrVan,carpooledToWorkInCarTruckOrVanPct,publicTransportToWork,publicTransportToWorkPct,walkedToWork,walkedToWorkPct,otherMeansOfCommutingToWork,otherMeansOfCommutingToWorkPct,workedAtHome,workedAtHomePct
1,2051445,1760032,85.79474468,174391,8.500885961,6959,0.339224303,22977,1.120039777,20205,0.984915511,66881,3.260189769
2,358627,246808,68.82025057,43758,12.2015353,4981,1.388908253,27575,7.689047395,18774,5.234965577,16731,4.665292909
4,3008707,2306027,76.64511699,326774,10.86094459,57302,1.904539059,57910,1.924747076,77966,2.591345718,182728,6.073306573
5,1274750,1055112,82.77011179,133980,10.51029614,4631,0.363286919,22089,1.732810355,15481,1.214434203,43457,3.4090606
6,17904213,13203972,73.74784918,1835455,10.25152572,910567,5.085769478,474721,2.651448572,458688,2.561899817,1020810,5.701507237
8,2822072,2125477,75.31618612,249461,8.839639811,86516,3.065690741,80354,2.847340536,62050,2.198739082,218214,7.732403709
9,1780653,1391925,78.16935697,143527,8.060357633,84347,4.736857771,49525,2.781283046,20763,1.16603291,90566,5.086111668
10,444908,360365,80.99764446,36601,8.22664461,11739,2.63852302,9518,2.139318691,5052,1.135515657,21633,4.862353565
11,366168,125462,34.26350746,19531,5.333890455,127530,34.82827555,48047,13.12157261,23193,6.333977846,22405,6.118776081
12,9140393,7255390,79.37722153,841097,9.201978514,176146,1.927116263,129987,1.422116095,203254,2.223689944,534519,5.847877657
13,4667378,3708394,79.45347473,456908,9.789393531,99181,2.124983235,69380,1.486487703,79013,1.692877671,254502,5.452783126
15,700228,468932,66.96847313,97951,13.98844376,45326,6.473034497,31742,4.533094935,22925,3.273933633,33352,4.763020045
16,757408,595426,78.6136402,75430,9.958965313,5418,0.715334404,19434,2.565856183,15694,2.072066838,46006,6.074137057
17,6124144,4476231,73.09153736,486708,7.947363746,578636,9.448438835,182578,2.981281955,109262,1.784118727,290729,4.747259372
18,3107072,2578594,82.99112476,272480,8.769671253,31522,1.014524285,64980,2.091358037,42893,1.380495849,116603,3.752825812
19,1583271,1285034,81.16323737,131548,8.308621834,17435,1.101201247,51801,3.27177091,22181,1.400960417,75272,4.754208218
20,1422992,1169866,82.21170604,129959,9.13279906,6898,0.484753252,33452,2.350821368,19435,1.365784207,63382,4.454136074
21,1929677,1584648,82.11985736,184705,9.571809168,20400,1.057171744,42943,2.225398344,27279,1.413656275,69702,3.612107104
22,2007599,1660274,82.69948331,187105,9.319839271,25582,1.274258455,36198,1.803049314,38150,1.900279887,60290,3.00308976
23,651799,511466,78.46989639,62978,9.662181133,4159,0.638080144,25602,3.927898018,10069,1.544801388,37525,5.757142923
24,3021967,2233034,73.8933946,273373,9.046194085,258397,8.550622823,70350,2.327953945,44388,1.46884463,142425,4.712989917
25,3500223,2458064,70.22592561,262975,7.513092737,358143,10.23200522,171603,4.90263049,73404,2.097123526,176034,5.029222424
26,4504994,3714050,82.44295109,396427,8.799723152,61568,1.366661088,101150,2.245286009,56802,1.260867384,174997,3.884511278
27,2879806,2243581,77.90736598,244564,8.492377612,103390,3.590172394,78319,2.719592917,47012,1.632471076,162940,5.658020019
28,1215697,1037238,85.32043758,111401,9.163549799,3393,0.279099151,17028,1.400677965,18858,1.551208895,27779,2.285026614
29,2855663,2338107,81.87615275,250024,8.755374846,40311,1.411616147,55495,1.943331549,33976,1.189776245,137750,4.823748461
30,499849,378154,75.6536474,48075,9.617904607,3852,0.770632731,25889,5.179364168,11376,2.275887318,32503,6.502563774
31,980914,803715,81.93531747,88467,9.018833455,6531,0.665807604,26141,2.664963493,12516,1.275952836,43544,4.439125142
32,1351950,1056958,78.18025815,139518,10.31976035,46574,3.444949887,25750,1.904656237,29612,2.190317689,53538,3.960057694
33,707037,571653,80.85192147,55820,7.894919219,5806,0.821173432,19003,2.687695269,9493,1.342645434,45262,6.401645176
34,4303118,3071526,71.37907908,344699,8.010447308,494549,11.49280591,125663,2.920277808,78251,1.818472094,188430,4.378917799
35,-888021698,-888193809,100.0193814,-888801741,100.0878405,-888879073,100.0965489,-888870965,100.0956358,-888873741,100.0959484,-888846809,100.0929156
