stateFips,population16YearsAndOver,population16YearsAndOverInLaborForce,population16YearsAndOverInLaborForcePct,population16YearsAndOverInCivilianLaborForce,population16YearsAndOverInCivilianLaborForcePct,population16YearsAndOverInArmedForces,population16YearsAndOverInArmedForcesPct,population16YearsAndOverNotInLaborForce,population16YearsAndOverNotInLaborForcePct
1,3894696,2237164,57.44129965,2224606,57.11886114,12558,0.322438516,1657532,42.55870035
2,571528,396353,69.34970815,379219,66.35177979,17134,2.99792836,175175,30.65029185
4,5498826,3274526,59.54954749,3256192,59.21613086,18334,0.333416624,2224300,40.45045251
5,2364108,1372359,58.04975915,1368037,57.86694178,4322,0.182817367,991749,41.95024085
6,31109195,19758291,63.5127042,19630514,63.10196712,127777,0.410737083,11350904,36.4872958
8,4409148,3012312,68.31959372,2978700,67.55726957,33612,0.76232415,1396836,31.68040628
9,2924591,1944843,66.49965756,1936354,66.20939475,8489,0.290262809,979748,33.50034244
10,769793,482623,62.6951661,479447,62.28258766,3176,0.412578446,287170,37.3048339
11,573275,401740,70.07806027,398567,69.52457372,3173,0.553486547,171535,29.92193973
12,16932309,9931799,58.65590452,9876910,58.33173727,54889,0.324167247,7000510,41.34409548
13,8082220,5091132,62.99175227,5043919,62.40759346,47213,0.584158808,2991088,37.00824773
15,1147445,749527,65.32138795,709482,61.83146033,40045,3.489927622,397918,34.67861205
16,1298537,810430,62.41100562,806373,62.09857709,4057,0.312428525,488107,37.58899438
17,10234674,6679997,65.26829286,6663103,65.10322654,16894,0.165066323,3554677,34.73170714
18,5243518,3348477,63.85935931,3345383,63.80035312,3094,0.059006186,1895041,36.14064069
19,2484354,1676339,67.47585087,1674697,67.40975722,1642,0.06609364,808015,32.52414913
20,2272565,1511705,66.51976951,1493698,65.72740494,18007,0.792364575,760860,33.48023049
21,3542792,2101888,59.32857475,2087800,58.93092228,14088,0.397652473,1440904,40.67142525
22,3677980,2197041,59.7349904,2180965,59.29790265,16076,0.437087749,1480939,40.2650096
23,1109357,699180,63.02569867,697391,62.86443408,1789,0.161264588,410177,36.97430133
24,4809210,3261655,67.82101426,3232422,67.21315975,29233,0.607854512,1547555,32.17898574
25,5619991,3778642,67.23573045,3773721,67.14816803,4921,0.087562418,1841349,32.76426955
26,8027949,4923316,61.32719578,4919495,61.27959956,3821,0.047596217,3104633,38.67280422
27,4379008,3053005,69.71910076,3050676,69.6659152,2329,0.053185562,1326003,30.28089924
28,2350291,1349340,57.41161414,1338573,56.95350065,10767,0.458113485,1000951,42.58838586
29,4864065,3062496,62.96165861,3044052,62.5824696,18444,0.379189012,1801569,37.03834139
30,838808,532854,63.52514521,529682,63.14698954,3172,0.378155669,305954,36.47485479
31,1483161,1035610,69.82451669,1030381,69.47195888,5229,0.352557814,447551,30.17548331
32,2322826,1480282,63.72763177,1472351,63.38619423,7931,0.341437542,842544,36.27236823
33,1114817,756239,67.83525906,754409,67.67110656,1830,0.164152502,358578,32.16474094
34,7142175,4684112,65.58383126,4675686,65.46585599,8426,0.117975267,2458063,34.41616874
35,-887264300,-887942645,100.0764535,-887952098,100.077519,-888879435,100.1820354,-888210543,100.1066473
36,15951997,10070138,63.12775761,10047659,62.98684108,22479,0.140916526,5881859,36.87224239
37,8124899,5071505,62.419299,4978432,61.27377091,93073,1.145528086,3053394,37.580701
38,595742,418604,70.26598763,412530,69.24641875,6074,1.019568874,177138,29.73401237
39,9332790,5901307,63.23197029,5892809,63.14091499,8498,0.091055301,3431483,36.76802971
40,3063396,1878306,61.31450194,1860415,60.7304769,17891,0.584025049,1185090,38.68549806
41,3313374,2061035,62.20351219,2058128,62.11577685,2907,0.087735342,1252339,37.79648781
42,10432506,6536846,62.65844467,6531763,62.60972196,5083,0.048722713,3895660,37.34155533
44,873369,565997,64.80617013,562451,64.40015618,3546,0.406013953,307372,35.19382987
45,3985183,2411983,60.52377018,2380549,59.73499837,31434,0.788771808,1573200,39.47622982
46,673638,461750,68.54571743,459025,68.1411975,2725,0.404519935,211888,31.45428257
47,5321857,3257398,61.20792047,3239353,60.8688471,18045,0.339073372,2064459,38.79207953
48,21394120,13818331,64.58938718,13728630,64.17010842,89701,0.419278755,7575789,35.41061282
49,2224253,1514938,68.10996771,1510998,67.93282958,3940,0.177138122,709315,31.89003229
50,521723,343168,65.77590024,342620,65.67086366,548,0.105036581,178555,34.22409976
51,6756219,4450906,65.87865195,4336393,64.18372465,114513,1.694927296,2305313,34.12134805
53,5843155,3761036,64.36652801,3712186,63.53050706,48850,0.836020951,2082119,35.63347199
54,1499244,797423,53.18834026,796365,53.11777136,1058,0.0705689,701821,46.81165974
55,4639447,3092330,66.65298688,3089332,66.5883671,2998,0.06461977,1547117,33.34701312
56,458979,307485,66.99326113,304648,66.37515006,2837,0.618111068,151494,33.00673887
