stateFips,totalHouseholds,householdIncomeLessThan10000USD,householdIncomeLessThan10000USDPct,householdIncome10000To14999USD,householdIncome10000To14999USDPct,householdIncome15000To24999USD,householdIncome15000To24999USDPct,householdIncome25000To34999USD,householdIncome25000To34999USDPct,householdIncome35000To49999USD,householdIncome35000To49999USDPct,householdIncome50000To74999USD,householdIncome50000To74999USDPct,householdIncome75000To99999USD,householdIncome75000To99999USDPct,householdIncome100000To149999USD,householdIncome100000To149999USDPct,householdIncome150000To199999USD,householdIncome150000To199999USDPct,householdIncomeMoreThan200000USD,householdIncomeMoreThan200000USDPct
1,1860269,163312,8.778945411,117629,6.323225297,222824,11.97805264,198652,10.67867067,250209,13.45015156,324321,17.43409152,213319,11.46710503,222047,11.93628448,78452,4.21723955,69504,3.736233846
2,253462,10230,4.036107977,7609,3.002027917,16529,6.521293133,17727,6.993947811,26561,10.47928289,45311,17.8768415,36073,14.23211369,49596,19.56743023,23692,9.347357789,20134,7.943597068
4,2524300,170434,6.751733154,111075,4.400229767,244220,9.67476132,250765,9.93404112,349631,13.85061205,472904,18.73406489,315900,12.51436042,342507,13.5683952,133172,5.275601157,133692,5.296200927
5,1152175,93423,8.108403671,74534,6.468982576,144193,12.51485234,135231,11.73701912,173187,15.03131035,206581,17.92965478,124254,10.78429926,123154,10.68882765,39928,3.465445787,37690,3.271204461
6,12965435,656515,5.063578661,573531,4.423538431,1035971,7.990252545,1023222,7.891921868,1415573,10.9180525,2065373,15.92983961,1589511,12.25960409,2102239,16.21418024,1082448,8.348721042,1421052,10.96031101
8,2113387,107807,5.101148062,73311,3.468886673,154785,7.324025368,171712,8.124967174,256378,12.13114304,376682,17.82361678,288416,13.64709824,358101,16.94441198,159913,7.566669048,166282,7.868033635
9,1367374,70710,5.171226014,48894,3.575759083,100769,7.369527284,97565,7.135209533,145513,10.64178491,212056,15.50826621,170246,12.45058046,235539,17.22564565,123672,9.044489657,162410,11.8775112
10,357765,19901,5.562589968,12769,3.569102623,27906,7.800092239,32208,9.002557545,43958,12.28683633,64668,18.07555239,50512,14.11876511,56761,15.8654424,25568,7.146590639,23514,6.572470756
11,281322,25944,9.222172457,12630,4.48951735,17757,6.311984132,17881,6.356061737,22066,7.843680907,34887,12.40109199,30248,10.75209191,45761,16.26641358,26806,9.528582905,47342,16.82840304
12,7621760,520876,6.834064573,360160,4.725417751,800015,10.49646014,813777,10.67702211,1091976,14.32708456,1401435,18.3872885,907315,11.90427145,948979,12.45091685,368189,4.830760874,409038,5.3667132
13,3709488,269435,7.26340131,178646,4.815920688,367346,9.902876084,366826,9.888857977,496060,13.372735,659327,17.77407017,453876,12.23554302,500979,13.5053409,201822,5.440696937,215171,5.800557921
15,456782,24195,5.296837441,13813,3.023980805,28398,6.216970021,30277,6.628325985,46589,10.1993949,75914,16.61930636,64472,14.11439155,88306,19.33219785,42240,9.247299587,42578,9.321295498
16,618331,38492,6.225144785,29568,4.781904837,63500,10.26958053,66256,10.7152965,91959,14.87213159,124971,20.21101966,76641,12.39481766,79368,12.83584359,25253,4.084058538,22323,3.610202303
17,4830038,314802,6.517588474,194284,4.022411418,431405,8.931710268,415960,8.611940527,577213,11.95048569,828597,17.15508242,613917,12.7103969,751099,15.55058159,335066,6.937129687,367695,7.612673027
18,2553818,161937,6.34097653,117149,4.587210208,262226,10.26799874,268144,10.49973021,366345,14.34499248,492893,19.30023988,335317,13.13002728,339806,13.30580331,113344,4.438217602,96657,3.784803772
19,1256855,68502,5.450270715,55656,4.428195774,119673,9.521623417,121157,9.639695908,171819,13.6705507,242888,19.32506136,178095,14.16989231,184270,14.66119799,61585,4.899928791,53210,4.233583031
20,1124549,65369,5.812908108,49481,4.400075052,105405,9.373090901,114342,10.1678095,157498,14.00543685,212681,18.91255961,147236,13.09289324,159129,14.15047277,58781,5.227073253,54627,4.857680724
21,1728681,152774,8.837605087,105004,6.074226535,198366,11.47499163,187991,10.87482306,243417,14.08108263,306863,17.75127973,199666,11.55019347,205995,11.91631076,67534,3.906677982,61071,3.532809119
