stateFips,civilianEmployedPopulation16YearsAndOver,managementBusinessScienceAndArtsOccupations,managementBusinessScienceAndArtsOccupationsPct,serviceOccupations,serviceOccupationsPct,salesAndOfficeOccupations,salesAndOfficeOccupationsPct,naturalResourcesConstructionAndMaintenanceOccupations,naturalResourcesConstructionAndMaintenanceOccupationsPct,productionTransportationAndMaterialMovingOccupations,productionTransportationAndMaterialMovingOccupationsPct
1,2076708,715206,34.43941084,339706,16.35790877,458464,22.07647873,200403,9.650032648,362929,17.47616901
2,351152,130498,37.16282408,62342,17.75356541,72150,20.54665786,42571,12.12324008,43591,12.41371258
4,3045978,1094402,35.92941249,597400,19.61274835,743623,24.41327547,276848,9.088969126,333705,10.95559456
5,1292263,431719,33.40798274,219582,16.99205193,281867,21.81189123,134572,10.41366966,224523,17.37440444
6,18309012,7076526,38.65050719,3393502,18.53459925,3968498,21.67510732,1653964,9.033605964,2216522,12.10618028
8,2839374,1186757,41.79643119,483668,17.03431813,620318,21.84699867,266469,9.384779885,282162,9.937472133
9,1810445,782135,43.20125715,317535,17.53905808,391417,21.61993322,132514,7.319415945,186844,10.32033561
10,450946,179939,39.9025604,79843,17.70566764,99715,22.1124037,38827,8.610121833,52622,11.66924643
11,369194,230061,62.31439297,55237,14.96151075,58084,15.73265004,9825,2.661202511,15987,4.33024372
12,9253932,3247478,35.09295292,1864640,20.14970501,2316975,25.03773531,859156,9.284226424,965683,10.43538033
13,4721065,1750896,37.08688612,777382,16.46624226,1072605,22.71955586,426130,9.026141347,694052,14.70117442
15,677446,231882,34.22885367,157186,23.20273498,158702,23.42651665,64180,9.473817839,65496,9.668076865
16,768701,266331,34.64689131,135975,17.68893237,170836,22.22398566,92272,12.0036269,103287,13.43656376
17,6225964,2370095,38.06792008,1072423,17.22501126,1393893,22.38838837,448917,7.210401474,940636,15.10827881
18,3164414,1066465,33.70181651,523048,16.52906352,671079,21.20705445,277436,8.767373675,626386,19.79469184
19,1609481,574880,35.71834647,264097,16.40882993,339553,21.0970493,153472,9.535496225,277479,17.24027808
20,1428660,543697,38.0564305,237349,16.61339997,300794,21.05427463,137536,9.626923131,209284,14.64897176
21,1959442,662310,33.80094945,326445,16.66010017,426842,21.78385479,179662,9.169038941,364183,18.58605664
22,2031115,681589,33.55738104,391761,19.28797729,450431,22.1765385,236260,11.63203462,271074,13.34606854
23,665188,247467,37.20256529,120974,18.18643752,146416,22.01122089,70257,10.56197646,80074,12.03779984
24,3051333,1392767,45.64454289,523719,17.16361341,623723,20.4410007,236722,7.757986428,274402,8.992856565
25,3570257,1643529,46.03391296,624434,17.48988938,726280,20.34251316,241808,6.772845764,334206,9.36083873
26,4598487,1659703,36.09237125,815617,17.73663816,981395,21.34169347,363017,7.894270442,778755,16.93502667
27,2931458,1194621,40.75176926,477398,16.28534333,621782,21.21067401,234661,8.004924512,402996,13.74728889
28,1228537,392309,31.93302277,220474,17.94606105,264557,21.53431276,131077,10.66935713,220120,17.91724629
29,2888094,1053667,36.48312693,501463,17.36311214,656813,22.74209219,254642,8.816956789,421509,14.59471194
30,507249,186543,36.77542982,96615,19.04685864,106780,21.05080542,63152,12.44990133,54159,10.67700478
31,993836,370034,37.23290362,163680,16.46951811,218233,21.95865314,98724,9.933630901,143165,14.40529423
32,1370603,398596,29.0817983,360907,26.33198672,330455,24.11019092,120118,8.76387984,160527,11.71214422
33,724017,294175,40.63095204,116752,16.12558821,163856,22.6315128,61592,8.506982571,87642,12.10496439
34,4390602,1860424,42.37286823,714830,16.28091091,999943,22.77462179,313388,7.137700024,502017,11.43389904
35,-888019337,-888576723,100.0627673,-888708922,100.0776543,-888693859,100.075958,-888793112,100.0871349,-888802273,100.0881665
36,9445023,3850124,40.7635217,1893645,20.04913064,2068342,21.89875027,677181,7.169712557,955731,10.11888483
37,4665822,1746690,37.43584732,804288,17.23786291,1004157,21.5215454,429622,9.207852336,681065,14.59689204
38,400841,147326,36.75422424,69746,17.39991668,81273,20.27562051,49201,12.27444298,53295,13.29579559
39,5549577,2026041,36.50802575,954101,17.19231934,1209670,21.79751718,416148,7.498733687,943617,17.00340404
40,1761328,606210,34.41778022,305982,17.37223277,396349,22.50285012,199324,11.31668832,253463,14.39044857
41,1934643,748718,38.7005768,351967,18.19286556,413993,21.3989351,173847,8.985998967,246118,12.72162358
42,6151998,2349748,38.19487588,1071092,17.4104738,1336980,21.7324518,503095,8.177749733,891083,14.48444879
44,527972,203264,38.49901131,102905,19.49061693,118189,22.38546741,38351,7.263832173,65263,12.36107218
45,2227307,758815,34.06872066,398666,17.89901437,510970,22.94115719,204307,9.172826198,354549,15.91828158
46,442773,158390,35.7722806,76049,17.17561821,97730,22.07225825,48575,10.97063281,62029,14.00921014
47,3047809,1059099,34.74952007,517862,16.99128784,687380,22.55325055,267582,8.779487166,515886,16.92645438
48,12985624,4705124,36.23333003,2262117,17.42016402,2925929,22.53206315,1407656,10.84011057,1684798,12.97433223
49,1452040,553507,38.11926669,221902,15.28208589,354315,24.4011873,127485,8.779716812,194831,13.41774331
50,328742,137010,41.67705982,56285,17.12132919,65406,19.89584537,32386,9.851494485,37655,11.45427113
51,4118723,1804637,43.81544959,684289,16.61410588,847431,20.57509087,344374,8.361183794,437992,10.63416986
53,3513856,1441782,41.03133424,592947,16.87453897,714608,20.3368607,337733,9.611463873,426786,12.14580222
54,742615,248704,33.49030117,144274,19.42783273,164768,22.18753998,81401,10.96139992,103468,13.93292621
55,2964540,1068930,36.05719606,494858,16.69257288,622193,20.98784297,253223,8.541729914,525336,17.72065818
56,290963,97929,33.65685671,50927,17.50291274,57764,19.85269605,45071,15.49028571,39272,13.49724879
