stateFips,totalPopulation,male,female,age0_4,age5_9,age10_14,age15_19,age20_24,age25_34,age35_44,age45_54,age55_59,age60_64,age65_74,age75_84,age85_,white,blackOrAfricanAmerican,americanIndianAndAlaskaNative,asian,nativeHawaiianAndOtherPacificIslander,otherRace,twoOrMoreRaces,hispanicOrLatino,notHispanicOrLatino
1,4864680,2355799,2508881,292125,302174,312093,323914,334416,632660,599382,641069,334011,309004,463057,237339,83436,3317453,1293186,25576,64609,2182,70055,91619,203146,4661534
2,738516,385579,352937,54240,52628,49721,47451,56749,118519,92679,93344,50904,43853,53366,18815,6247,478834,24129,106660,46556,8849,11027,62461,51186,687330
4,6946685,3453439,3493246,436102,452832,467267,468197,488355,945811,855220,845263,420490,408828,674235,355536,128549,5364141,305259,309580,228887,14112,471823,252883,2163312,4783373
5,2990671,1468412,1522259,190311,197784,197795,201068,204406,389419,368584,376480,195360,181928,284024,147254,56258,2302874,460970,20037,43988,7969,78981,75852,219052,2771619
6,39148760,19453769,19694991,2480679,2499319,2556669,2583578,2809630,5904012,5185165,5155853,2465921,2192477,3061431,1552456,701570,23529068,2267875,296475,5604339,153366,5415410,1882227,15221577,23927183
8,5531141,2780831,2750310,335199,355399,359334,354630,377987,849157,749277,715354,363001,331165,455831,201744,83063,4655584,227938,54483,172695,8296,214817,197328,1184794,4346347
9,3581504,1747131,1834373,184983,201006,224135,247182,245490,439848,427023,522138,266170,235949,327414,170979,89187,2734880,378262,9698,158817,1173,185244,113430,561791,3019713
10,949495,459570,489925,54854,55166,58676,59798,61022,126358,110238,126453,68175,61626,99666,49025,18438,654905,209892,3455,36723,477,18034,26009,86315,863180
11,684498,324881,359617,44692,33728,27563,37417,54117,159716,99176,76460,36453,33464,46920,23836,10956,280469,321317,1993,26718,340,33518,20143,74776,609722
12,20598139,10071925,10526214,1117420,1131739,1176979,1201106,1284168,2665948,2493759,2748837,1399430,1314377,2247594,1280841,535941,15529098,3316376,58118,559168,12887,580152,542340,5184720,15413419
13,10297484,5012229,5285255,655810,697132,718143,721206,718646,1419784,1372551,1407255,656064,578604,835224,383686,133379,6079976,3239300,33484,402501,6095,283680,252448,968463,9329021
15,1422029,713772,708257,90388,85114,83667,77674,96819,205135,177944,176625,92789,89919,139078,68144,38733,355612,26266,2987,536842,143274,15292,341756,147962,1274067
16,1687809,845564,842245,114164,123365,126996,120633,113385,220206,209204,199059,105507,101489,153600,72416,27785,1527262,11536,22790,23758,2761,53110,46592,209073,1478736
17,12821497,6295915,6525582,776957,802346,836956,847578,875317,1779301,1652053,1706539,868764,780783,1079625,561726,253552,9189185,1824125,31864,690822,4582,762506,318413,2174842,10646655
18,6637426,3271068,3366358,418299,437254,446006,458348,477704,856932,821714,864555,448932,411619,577695,291994,126374,5548277,619472,14925,144991,2818,144648,162295,450267,6187159
19,3132499,1554481,1578018,197430,204026,206158,214740,228772,393533,371017,389588,213388,200535,279689,156706,76917,2827889,109911,11549,75083,3129,39168,65770,183296,2949203
20,2908776,1449413,1459363,194202,201400,200793,200544,217162,383220,350391,353237,192663,177387,245020,130787,61970,2460619,169801,24050,83531,2143,67588,101044,340616,2568160
21,4440204,2186715,2253489,274440,280088,284645,290396,306631,574635,554481,594104,309964,279311,411700,202345,77464,3866676,354112,9888,62802,2814,44086,99826,158744,4281460
22,4663616,2279968,2383648,309339,309094,306416,301500,329326,669892,576197,586706,310932,287507,402615,198533,75559,2901106,1502916,26272,79872,1468,60419,91563,234920,4428696
23,1332813,652299,680514,64437,70701,72678,79747,77353,155846,152717,190734,108271,101153,152428,73415,33333,1259217,17881,8302,14917,318,2970,29208,21421,1311392
24,6003435,2910323,3093112,366174,372643,375912,384501,389347,828071,766281,851925,421695,371549,513610,253229,108498,3373181,1788090,15644,374277,3059,249815,199369,588912,5414523
25,6830193,3313979,3516214,362681,369390,397457,459381,492489,963642,834706,956776,481780,433667,611755,311380,155089,5360006,510558,14493,442574,2329,284740,215493,789127,6041066
26,9957488,4899118,5058370,572374,596594,630042,669114,717149,1245849,1170300,1345271,722076,667775,943253,471583,206108,7818588,1375424,53235,304403,2979,119141,283718,497897,9459591
27,5527358,2751748,2775610,351740,363928,361496,356498,361934,752944,685568,725714,393455,343969,470691,243085,116336,4606044,342186,58982,262359,2187,97833,157767,292764,5234594
28,2988762,1450379,1538383,188575,200574,207354,212886,212059,388763,370914,378273,197536,182350,265521,135296,48661,1751193,1125834,13689,28313,707,28833,40193,90493,2898269
29,6090062,2988772,3101290,372932,381583,392635,396819,421255,809024,733520,787960,425339,387303,561486,295894,124312,5008342,704896,26952,116720,6662,71162,155328,249105,5840957
30,1041732,524220,517512,61810,63541,64227,64452,73435,131959,120909,125902,75255,76419,109771,52951,21101,925642,4630,67289,7947,757,6032,29435,39019,1002713
31,1904760,949910,954850,131812,132290,131959,129350,136886,254377,232659,229048,125370,114929,159053,85697,41330,1666463,90860,17282,44105,1392,36058,48600,203281,1701479
32,2922849,1467165,1455684,182311,188965,190632,177213,182278,424495,389966,388646,186207,174085,273123,125259,39669,1935103,261123,35845,234693,19352,296234,140499,831597,2091252
33,1343622,664983,678639,64079,72003,76609,88652,90164,161541,155671,200920,110487,95512,135715,62907,29362,1250014,20516,2090,36124,359,6629,27890,48356,1295266
34,8881845,4335930,4545915,521684,540335,562668,565170,562446,1135665,1143224,1286245,636206,551339,772545,406646,197672,6031747,1196764,18649,832403,3357,567976,230949,1768020,7113825
35,2092434,1035850,1056584,128357,137860,143893,140188,147856,280659,247254,252403,139817,132632,202928,101037,37550,1558886,43006,199896,31513,1514,190111,67508,1015751,1076683
36,19618453,9519555,10098898,1163606,1121174,1146521,1224760,1356050,2860842,2446070,2675646,1342368,1212727,1719566,910812,438311,12514949,3068099,79644,1630341,8017,1718220,599183,3705588,15912865
37,10155624,4944759,5210865,603193,635346,658696,676295,700320,1339485,1299245,1376634,676977,618435,941889,458679,170430,6994240,2179622,121352,282264,6939,307906,263301,935950,9219674
38,752201,386183,366018,52820,50637,44289,47651,66571,113506,85901,85986,49869,45061,58728,33322,17860,655268,20445,39462,10814,378,7528,18306,26529,725672
39,11641879,5703967,5937912,695933,713523,747709,772199,775430,1505481,1393553,1544429,834920,765841,1080641,560148,252072,9489832,1438271,23563,249741,3591,109792,327089,431327,11210552
40,3918137,1941576,1976561,263992,267805,269193,262995,280151,541781,481374,475698,255043,230875,341463,179516,68251,2837772,287959,294676,83392,4471,106757,303110,407521,3510616
41,4081943,2023021,2058922,231927,242619,245569,246092,265043,572453,537769,514110,266912,276903,411976,187308,83262,3445933,77789,46961,174510,16006,127084,193660,523956,3557987
42,12791181,6263189,6527992,709250,727174,764823,826326,842245,1667748,1495222,1731294,934674,862564,1236019,669591,324251,10341442,1423319,24847,427892,4107,258694,310880,905156,11886025
44,1056611,513332,543279,54587,57535,58943,73378,78980,142877,123411,146645,76732,69313,96800,50433,26977,854502,69254,5484,35663,863,58136,32709,158858,897753
45,4955925,2405726,2550199,290090,307410,312273,323640,337510,649462,603276,647833,334313,321035,510667,233843,84573,3332986,1339360,16686,75084,3004,78597,110208,275685,4680240
46,864289,435761,428528,60407,59990,59016,57056,60737,114289,99603,101703,59203,55477,76582,39962,20264,730062,16241,75331,12660,293,6613,23089,31995,832294
