,State,Population
0,Alabama,5039877
1,Alaska,732673
2,Arizona,7276316
3,Arkansas,3025891
4,California,39237836
5,Colorado,5812069
6,Connecticut,3605597
7,Delaware,1003384
8,District of Columbia,670050
9,Florida,21781128
10,Georgia,10799566
11,Hawaii,1441553
12,Idaho,1900923
13,Illinois,12671469
14,Indiana,6805985
15,Iowa,3193079
16,Kansas,2934582
17,Kentucky,4509394
18,Louisiana,4624047
19,Maine,1372247
20,Maryland,6165129
21,Massachusetts,6984723
22,Michigan,10050811
23,Minnesota,5707390
24,Mississippi,2949965
25,Missouri,6168187
26,Montana,1104271
27,Nebraska,1963692
28,Nevada,3143991
29,New Hampshire,1388992
30,New Jersey,9267130
31,New Mexico,2115877
32,New York,19835913
33,North Carolina,10551162
34,North Dakota,774948
35,Ohio,11780017
36,Oklahoma,3986639
37,Oregon,4246155
38,Pennsylvania,12964056
39,Rhode Island,1095610
40,South Carolina,5190705
41,South Dakota,895376
42,Tennessee,6975218
43,Texas,29527941
44,Utah,3337975
45,Vermont,645570
46,Virginia,8642274
47,Washington,7738692
48,West Virginia,1782959
49,Wisconsin,5895908
50,Wyoming,578803
51,Puerto Rico,3263584
