date,total_cases,new_cases,total_deaths,new_deaths,total_hosp,new_hosp
1/22/2020,1,1,0,0,0,0
1/23/2020,1,0,0,0,0,0
1/24/2020,2,1,0,0,0,0
1/25/2020,2,0,0,0,0,0
1/26/2020,5,3,0,0,0,0
1/27/2020,5,0,0,0,0,0
1/28/2020,5,0,0,0,0,0
1/29/2020,6,1,0,0,0,0
1/30/2020,6,0,0,0,0,0
1/31/2020,8,2,0,0,0,0
2/1/2020,8,0,0,0,0,0
2/2/2020,8,0,0,0,0,0
2/3/2020,11,3,0,0,0,0
2/4/2020,11,0,0,0,0,0
2/5/2020,11,0,0,0,0,0
2/6/2020,12,1,0,0,0,0
2/7/2020,12,0,0,0,0,0
2/8/2020,12,0,0,0,0,0
2/9/2020,12,0,0,0,0,0
2/10/2020,12,0,0,0,0,0
2/11/2020,13,1,0,0,0,0
2/12/2020,13,0,0,0,0,0
2/13/2020,14,1,0,0,0,0
2/14/2020,14,0,0,0,0,0
2/15/2020,14,0,0,0,0,0
2/16/2020,14,0,0,0,0,0
2/17/2020,14,0,0,0,0,0
2/18/2020,14,0,0,0,0,0
2/19/2020,14,0,0,0,0,0
2/20/2020,14,0,0,0,0,0
2/21/2020,16,2,0,0,0,0
2/22/2020,16,0,0,0,0,0
2/23/2020,16,0,0,0,0,0
2/24/2020,16,0,0,0,0,0
2/25/2020,16,0,0,0,0,0
2/26/2020,16,0,0,0,0,0
2/27/2020,17,1,0,0,0,0
2/28/2020,17,0,0,0,0,0
2/29/2020,25,8,1,1,0,0
3/1/2020,32,7,1,0,0,0
3/2/2020,55,23,6,5,0,0
3/3/2020,74,19,7,1,0,0
3/4/2020,107,33,11,4,0,0
3/5/2020,184,77,12,1,0,0
3/6/2020,237,53,14,2,0,0
3/7/2020,403,166,17,3,0,0
3/8/2020,519,116,21,4,0,0
3/9/2020,594,75,22,1,0,0
3/10/2020,782,188,28,6,0,0
3/11/2020,1147,365,33,5,0,0
3/12/2020,1586,439,43,10,0,0
3/13/2020,2219,633,51,8,0,0
3/14/2020,2978,759,58,7,0,0
3/15/2020,3212,234,70,12,0,0
3/16/2020,4679,1467,97,27,0,0
3/17/2020,6512,1833,133,36,325,325
3/18/2020,9169,2657,192,59,741,416
3/19/2020,13663,4494,264,72,1358,617
3/20/2020,20030,6367,367,103,2400,1042
3/21/2020,26025,5995,466,99,3892,1492
3/22/2020,34855,8830,576,110,6065,2173
3/23/2020,46086,11231,763,187,8877,2812
3/24/2020,56698,10612,1004,241,12815,3938
3/25/2020,68773,12075,1330,326,17955,5140
3/26/2020,86613,17840,1742,412,25760,7805
3/27/2020,105293,18680,2263,521,36738,10978
3/28/2020,124900,19607,2898,635,49147,12409
3/29/2020,143779,18879,3490,592,63202,14055
3/30/2020,165861,22082,4187,697,79119,15917
3/31/2020,192177,26316,5278,1091,97274,18155
4/1/2020,224489,32312,6535,1257,118180,20906
4/2/2020,256721,32232,8031,1496,141177,22997
4/3/2020,288885,32164,9436,1405,166954,25777
4/4/2020,321304,32419,10982,1546,197222,30268
4/5/2020,351169,29865,12562,1580,229402,32180
4/6/2020,382548,31379,14318,1756,265561,36159
4/7/2020,413311,30763,16895,2577,309410,43849
4/8/2020,444531,31220,19037,2142,354925,45515
4/9/2020,480466,35935,21244,2207,406238,51313
4/10/2020,514855,34389,23461,2217,459405,53167
4/11/2020,544018,29163,25597,2136,514962,55557
4/12/2020,571311,27293,27415,1818,570411,55449
4/13/2020,598257,26946,29372,1957,626648,56237
4/14/2020,627021,28764,31819,2447,686248,59600
4/15/2020,652410,25389,34415,2596,746172,59924
4/16/2020,682463,30053,36576,2161,805670,59498
4/17/2020,715212,32749,38662,2086,864556,58886
4/18/2020,743210,27998,40636,1974,922344,57788
4/19/2020,769395,26185,42572,1936,978841,56497
4/20/2020,799121,29726,44769,2197,1035575,56734
4/21/2020,824949,25828,47308,2539,1095348,59773
