Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
30-Jul-22,VOC,smoothed,USA,BA.1.1,0.0-0.0%,6.30E-09
6-Aug-22,VOC,smoothed,USA,BA.1.1,0.0-0.0%,1.30E-09
13-Aug-22,VOC,smoothed,USA,BA.1.1,0.0-0.0%,2.64E-10
30-Jul-22,VOC,smoothed,USA,B.1.1.529,0.0-0.0%,1.55E-05
6-Aug-22,VOC,smoothed,USA,B.1.1.529,0.0-0.0%,5.94E-06
13-Aug-22,VOC,smoothed,USA,B.1.1.529,0.0-0.0%,2.24E-06
30-Jul-22,VOC,smoothed,USA,BA.2,0.1-0.2%,0.001613561
6-Aug-22,VOC,smoothed,USA,BA.2,0.1-0.1%,0.000683038
13-Aug-22,VOC,smoothed,USA,BA.2,0.0-0.0%,0.000288283
30-Jul-22,VOC,smoothed,USA,BA.2.12.1,2.8-3.2%,0.02976675
6-Aug-22,VOC,smoothed,USA,BA.2.12.1,1.4-1.7%,0.01560657
13-Aug-22,VOC,smoothed,USA,BA.2.12.1,0.7-0.9%,0.008040856
30-Jul-22,VOC,smoothed,USA,BA.4,7.9-8.8%,0.082910255
6-Aug-22,VOC,smoothed,USA,BA.4,6.2-7.1%,0.066584677
13-Aug-22,VOC,smoothed,USA,BA.4,4.9-5.7%,0.052566312
30-Jul-22,VOC,smoothed,USA,BA.4.6,3.4-5.0%,0.041114252
6-Aug-22,VOC,smoothed,USA,BA.4.6,3.8-5.7%,0.046362776
13-Aug-22,VOC,smoothed,USA,BA.4.6,4.1-6.4%,0.051376581
30-Jul-22,VOC,smoothed,USA,BA.5,83.5-85.4%,0.844566584
6-Aug-22,VOC,smoothed,USA,BA.5,85.9-88.1%,0.8707515
13-Aug-22,VOC,smoothed,USA,BA.5,87.5-90.0%,0.887723446
30-Jul-22,VOC,smoothed,1,B.1.1.529,0.0-0.0%,6.09E-06
6-Aug-22,VOC,smoothed,1,B.1.1.529,0.0-0.0%,2.28E-06
13-Aug-22,VOC,smoothed,1,B.1.1.529,0.0-0.0%,8.42E-07
30-Jul-22,VOC,smoothed,1,BA.2,0.1-0.2%,0.001261224
6-Aug-22,VOC,smoothed,1,BA.2,0.0-0.1%,0.000512989
13-Aug-22,VOC,smoothed,1,BA.2,0.0-0.0%,0.000207347
30-Jul-22,VOC,smoothed,1,BA.2.12.1,2.9-3.7%,0.033095405
6-Aug-22,VOC,smoothed,1,BA.2.12.1,1.5-2.0%,0.017159022
13-Aug-22,VOC,smoothed,1,BA.2.12.1,0.8-1.0%,0.008748107
30-Jul-22,VOC,smoothed,1,BA.4,6.7-8.0%,0.073297866
6-Aug-22,VOC,smoothed,1,BA.4,5.2-6.4%,0.057942729
13-Aug-22,VOC,smoothed,1,BA.4,4.0-5.0%,0.045056205
30-Jul-22,VOC,smoothed,1,BA.4.6,2.9-4.1%,0.03442746
6-Aug-22,VOC,smoothed,1,BA.4.6,3.1-4.6%,0.037824184
13-Aug-22,VOC,smoothed,1,BA.4.6,3.3-5.1%,0.040863059
30-Jul-22,VOC,smoothed,1,BA.5,84.6-86.9%,0.857905805
6-Aug-22,VOC,smoothed,1,BA.5,87.5-89.8%,0.886556327
13-Aug-22,VOC,smoothed,1,BA.5,89.2-91.6%,0.905123472
30-Jul-22,VOC,smoothed,2,B.1.1.529,0.0-0.0%,5.41E-06
