date,new_cases,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,tests_per_case,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2/29/2020,34,1,0,0,0,0,0,0,0,0,0,0,-13646.999,-2.79,-1.05,-40.623077
3/7/2020,265,15,10.7,0,0,6867,0.107,9.3,0,0,0,0,-13586.599,-2.48,0.1,-40.443283
3/14/2020,2627,42,23.81,0,0,46013,0.745,65.9,0,0,0,0,-13316.198,-2.19,0.46,-39.638382
3/21/2020,20895,224,24.54,0,0,344810,0.772,64.2,0,0,0,0,-13039.398,-1.96,0.47,-38.81443
3/28/2020,82109,1337,18.45,0,0,760008,1.119,44.1,0,0,0,0,-11861.198,-1.64,2.03,-35.307278
4/4/2020,164438,5753,12.85,0,0,1008036,1.384,35.4,0,0,0,0,-6131.7983,-0.78,10,-18.25255
4/11/2020,218050,13024,8.99,0,0,1186777,1.445,34,0,0,0,0,8966.602,1.07,26.4,26.69092
4/18/2020,199013,15803,7.3,0,0,1111062,1.364,36,0,0,0,0,31259.402,3.49,39.25,93.049995
4/25/2020,200703,15132,7.08,0,0,1464945,1.175,41.9,0,0,0,0,52396,5.51,37.97,155.96739
5/2/2020,200132,13785,6.8,0,0,1890326,1.001,49.1,0,0,0,0,71256.4,7.08,34.26,212.10922
5/9/2020,186495,13053,6.48,0,0,2239981,0.81,60.8,0,0,0,0,85482.195,8.05,25.83,254.4552
5/16/2020,171237,10239,6.45,0,0,2703744,0.627,78.6,0,0,0,0,98041.4,8.79,23.15,291.84024
5/23/2020,166990,8297,6.63,0,0,2897522,0.549,89.4,0,0,0,0,108821.195,9.31,20.07,323.9285
5/30/2020,148658,7569,6.67,0,0,3229596,0.482,101.8,0,0,0,0,116852.8,9.56,14.99,347.8362
6/6/2020,149030,6162,7.01,0,0,3574758,0.434,113,0,0,0,0,123332.195,9.67,12.18,367.12347
6/13/2020,148034,5511,7.21,0,0,3808428,0.406,120.4,0,0,0,0,128574.99,9.67,9.77,382.7297
6/20/2020,175249,4435,8.09,0,0,4290259,0.464,106.3,0,0,0,0,133416.39,9.65,9.1,397.1411
6/27/2020,244843,6130,8.96,0,0,4713566,0.557,88.1,0,0,0,0,138349.6,9.64,9.3,411.8258
7/4/2020,328340,4347,8.79,0,0,5254262,0.654,75.1,0,0,0,0,143911.8,9.67,10.51,428.38284
7/11/2020,383992,5375,8.39,0,0,6007438,0.731,66.9,0,0,0,0,150588.39,9.77,12.56,448.25708
7/18/2020,457894,6549,7.92,40705,152737,6596245,0.718,68.2,0,0,0,0,159711.19,10.01,17.27,475.41296
7/25/2020,471701,7523,7.35,87448,313752,6815014,0.67,73.2,0,0,0,0,170415.78,10.35,20.4,507.27737
8/1/2020,436218,8061,6.83,98888,327394,6308248,0.62,79.2,0,0,0,0,182299.58,10.73,22.7,542.6519
8/8/2020,381587,7851,6.62,97485,314020,6075323,0.549,89.4,0,0,0,0,194113.58,11.08,22.54,577.8187
8/15/2020,368907,7674,6.56,89705,286937,6061026,0.478,102.7,0,0,0,0,205243.17,11.37,21.17,610.9482
8/22/2020,324868,6717,6.09,80552,262962,5908890,0.421,116.5,0,0,0,0,216525.58,11.66,21.55,644.5326
8/29/2020,295581,6315,6.4,71900,233864,5961302,0.392,125.2,0,0,0,0,226869.78,11.88,19.81,675.3242
9/5/2020,290882,5836,6.54,65443,213435,6063336,0.378,129.7,0,0,0,0,235374.78,12,16.17,700.6411
9/12/2020,252456,5018,6.63,61170,196629,5661575,0.348,141,0,0,0,0,242804.98,12.05,14.07,722.7586
9/19/2020,276932,5236,7.27,56585,183823,6774035,0.322,152,0,0,0,0,249403.19,12.06,12.43,742.39954
9/26/2020,303286,4801,7.19,54858,183432,6885584,0.322,152,0,0,0,0,255977.39,12.07,12.37,761.969
10/3/2020,297028,4558,7.26,56021,190321,6847985,0.336,145.7,0,0,0,0,263339.38,12.11,13.83,783.8834
10/10/2020,326390,4730,7.66,59736,210572,8036308,0.338,144.8,0,0,0,0,268828.56,12.06,10.11,800.2231
10/17/2020,377349,4713,7.96,65123,235010,7617740,0.383,128.2,0,0,0,0,276456.97,12.11,14.09,822.9306
10/24/2020,436177,5684,8.24,72525,264237,8587663,0.426,115.1,0,0,0,0,282305.16,12.08,10.67,840.3389
10/31/2020,544216,6107,8.43,80626,301371,8805496,0.488,100.6,0,0,0,0,289549.34,12.1,13.19,861.9027
11/7/2020,754275,6852,8.85,90700,351943,9747572,0.581,84.6,0,0,0,0,297688.75,12.16,14.72,886.13135
11/14/2020,961193,8706,8.82,106066,437507,10926635,0.718,68.4,0,0,0,0,309709.16,12.37,21.63,921.91254
11/21/2020,1159103,10132,8.25,127514,533384,12783138,0.738,66.4,0,0,0,0,322188.34,12.59,22.15,959.0594
11/28/2020,1191736,12251,7.5,145072,603412,11664329,0.703,69.7,0,0,0,0,337492.94,12.9,27.15,1004.61664
12/5/2020,1221160,13866,7.78,159587,675308,12521963,0.808,60.6,0,0,0,0,353982.53,13.24,29.03,1053.7013
12/12/2020,1446449,17119,7.69,170153,722416,12839573,0.828,59.1,0,0,0,0,373439.72,13.68,33.57,1111.6196
12/19/2020,1527892,19105,7.27,180063,775680,12558263,0.838,58.4,2947449,78668,0,1093383,397082.72,14.24,40.51,1181.9978
12/26/2020,1434655,19045,6.69,186153,807975,11042299,0.831,58.9,15950067,146969,0,1878155,420904.72,14.78,40.3,1252.9088
1/2/2021,1313791,18838,7.31,192894,854068,10642038,0.972,50.7,33351492,299839,0,3105966,445670.12,15.33,41.55,1326.6282
1/9/2021,1603592,20835,7.59,198451,894803,12913804,1.017,48.2,57970908,3571228,0,5613572,473097.53,15.94,46.02,1403.8601
1/16/2021,1644742,23639,6.73,199796,886002,12602016,0.874,56.3,93185246,13939702,0,7179128,496601.94,16.38,36.98,1473.6066
1/23/2021,1313760,22200,6.02,188191,811801,11902464,0.748,65.6,135266771,23917818,0,8371239,520106.75,16.81,36.78,1543.3544
1/30/2021,1093806,22662,5.91,168989,709240,11353415,0.649,75.6,183436179,41314739,0,10315441,541391.4,17.15,34.12,1606.5139
2/6/2021,896661,19967,5.64,148992,604151,10632854,0.557,88.2,231672584,67612313,5,11781298,559074.2,17.37,28.75,1658.9855
2/13/2021,697968,18176,5.41,127860,505607,9186638,0.475,103.4,280191525,103487162,21,12835915,574403.56,17.51,25.06,1704.4736
2/20/2021,497340,17171,5.35,107702,418707,8050973,0.406,121,322660739,141495098,34,10537483,584586.2,17.5,16.6,1734.6893
2/27/2021,466053,13716,6.07,89985,351186,9265517,0.353,139,362550406,185119783,53,14618838,593104,17.43,13.96,1759.9648
3/6/2021,429919,10488,6.18,75606,291358,9075141,0.309,158.8,426504616,232701000,89,16866398,599550.8,17.32,10.69,1779.095
3/13/2021,383872,8992,6.34,65974,255701,8708991,0.291,168.4,505370862,282347728,119,18101530,603214.6,17.12,6.1,1789.9669
3/20/2021,381751,6677,6.81,60164,239638,8485327,0.302,162.3,589279709,334007166,137,18226864,604889.44,16.88,2.78,1794.9368
3/27/2021,405006,6147,7.44,58209,238330,8627033,0.323,151.8,675140124,385568059,208,20112089,606107.6,16.64,2.06,1798.5516
4/3/2021,454348,5552,7.39,59349,246849,8527156,0.366,134,762010095,455122705,317,22347928,608122.25,16.43,3.43,1804.5298
4/10/2021,449981,4881,7.35,62960,260953,8729060,0.382,128.3,852537946,536990019,427,23919295,608768.06,16.2,1.11,1806.4462
4/17/2021,472558,4932,7.01,66371,273292,8946936,0.38,129,940387116,625400678,543,21370778,611810.9,16.03,5.25,1815.4753
4/24/2021,414750,4693,6.38,68413,275044,8767932,0.349,140.5,1003730973,702444033,653,19499596,613398.06,15.83,2.76,1820.185
5/1/2021,345515,4522,6.1,66223,254119,8391325,0.31,158.2,1055842212,778544622,888,17262209,617225.06,15.7,6.78,1831.5413
5/8/2021,302994,4451,5.86,62362,229794,7721152,0.279,175.9,1094865542,852542228,1120,14533238,621246.9,15.58,7.21,1843.4755
5/15/2021,242875,4078,5.68,56066,200516,7101350,0.236,208.2,1125902598,917160425,1260,12927617,624426.06,15.45,5.69,1852.9093
5/22/2021,188859,3676,5.46,48765,171151,6356530,0.204,240.6,1167336808,971377218,1416,12509802,627877.7,15.32,6.27,1863.1516
5/29/2021,150897,3480,5.27,42664,149489,5596928,0.178,275.9,1201626585,1012796319,1555,8352627,632170.9,15.23,7.88,1875.8911
6/5/2021,105300,2792,5.3,36816,125382,4973872,0.152,323.6,1222785556,1041668209,1701,6760398,635152.9,15.1,5.49,1884.7399
6/12/2021,104186,2807,5.92,31317,105820,4874985,0.128,383.2,1241334244,1077585433,1802,7276919,638646.7,14.99,6.47,1895.1073
6/19/2021,82637,1893,6.04,27153,93533,4485483,0.122,402,1257206603,1109047413,1929,5658109,641374.9,14.87,5.01,1903.2029
6/26/2021,84627,1961,6.89,25630,87282,4313033,0.133,369,1271402600,1130187659,2073,4321894,644668.7,14.76,6.11,1912.9769
7/3/2021,95118,1825,7.62,25885,89295,3957492,0.166,297.9,1284676919,1146548388,2243,3694333,647769.3,14.65,5.76,1922.1776
7/10/2021,275821,1497,9.36,28880,101385,3817151,0.232,214,1295913617,1159143089,2403,3216273,651588.94,14.56,7.11,1933.512
7/17/2021,207900,1877,10.42,37100,133399,4450515,0.338,146.7,1308383366,1171722268,2540,3376787,654899.94,14.46,6.14,1943.3369
7/24/2021,331646,2040,10.63,51715,189949,5338890,0.473,104.5,1323261602,1183291490,2647,3906832,658530.1,14.37,6.78,1954.109
