Timestamp,Station,District,Freeway #,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Lane 1 Samples,Lane 1 Flow,Lane 1 Avg Occ,Lane 1 Avg Speed,Lane 1 Observed,Lane 2 Samples,Lane 2 Flow,Lane 2 Avg Occ,Lane 2 Avg Speed,Lane 2 Observed,Lane 3 Samples,Lane 3 Flow,Lane 3 Avg Occ,Lane 3 Avg Speed,Lane 3 Observed,Lane 4 Samples,Lane 4 Flow,Lane 4 Avg Occ,Lane 4 Avg Speed,Lane 4 Observed,Lane 5 Samples,Lane 5 Flow,Lane 5 Avg Occ,Lane 5 Avg Speed,Lane 5 Observed,Lane 6 Samples,Lane 6 Flow,Lane 6 Avg Occ,Lane 6 Avg Speed,Lane 6 Observed,Lane 7 Samples,Lane 7 Flow,Lane 7 Avg Occ,Lane 7 Avg Speed,Lane 7 Observed,Lane 8 Samples,Lane 8 Flow,Lane 8 Avg Occ,Lane 8 Avg Speed,Lane 8 Observed
11/01/2022 00:00:00,401833,4,101,N,ML,.445,50,80,83,.012,69.5,10,10,.0086,72.3,0,10,6,.0037,74,1,10,22,.015,72,1,10,24,.0178,69.2,1,10,21,.0149,64.5,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,401834,4,101,N,ML,.225,40,75,58,.0097,67.1,10,11,.0096,71.7,0,10,6,.0031,71,1,10,22,.0142,67.4,1,10,19,.0117,62.8,1,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,403205,4,101,N,FR,,10,100,6,.0038,,10,6,.0038,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,403207,4,101,N,OR,,20,100,6,.0043,,10,0,0,,1,10,6,.0087,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,403311,4,101,N,OR,,20,100,2,.0015,,10,0,0,,1,10,2,.0031,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,404531,4,101,N,ML,.215,50,80,85,.0147,68.9,10,6,.0035,76.5,1,10,25,.0179,74,1,10,20,.0175,72,1,10,30,.0307,61.7,0,10,4,.0041,64.5,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,404532,4,101,N,ML,.37,50,100,89,.0136,71.5,10,4,.0026,76.5,1,10,24,.0181,74,1,10,28,.0203,72,1,10,29,.0231,69.2,1,10,4,.004,64.5,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,410094,4,101,N,FR,,10,100,2,.0032,,10,2,.0032,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:00:00,410095,4,101,N,OR,,18,100,110,.997,,10,94,.995,,1,8,16,.9991,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,401833,4,101,N,ML,.445,50,80,65,.0096,69.7,10,8,.007,72.2,0,10,4,.0022,74.1,1,10,18,.0122,71.9,1,10,21,.0148,69.5,1,10,14,.0119,64.4,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,401834,4,101,N,ML,.225,40,75,52,.009,66.5,10,9,.0087,71.7,0,10,3,.0016,71,1,10,20,.0131,67.4,1,10,20,.0124,62.5,1,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,403205,4,101,N,FR,,10,100,5,.0023,,10,5,.0023,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,403207,4,101,N,OR,,20,100,10,.0098,,10,0,0,,1,10,10,.0196,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,403311,4,101,N,OR,,20,100,3,.0021,,10,0,0,,1,10,3,.0041,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,404531,4,101,N,ML,.215,50,80,65,.0116,69,10,3,.0018,76.4,1,10,17,.0115,74.1,1,10,19,.0159,72.6,1,10,21,.0254,61.7,0,10,5,.0036,64.6,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,404532,4,101,N,ML,.37,50,100,77,.0241,76.8,10,4,.0032,76.5,1,10,20,.0145,73.9,1,10,38,.0895,82,1,10,9,.0076,69.4,1,10,6,.0056,64.3,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,410094,4,101,N,FR,,10,100,5,.0048,,10,5,.0048,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:05:00,410095,4,101,N,OR,,13,100,68,.9981,,10,58,.9968,,1,3,10,.9994,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,401833,4,101,N,ML,.445,50,80,70,.0092,70.1,10,9,.0046,72.5,0,10,6,.0037,74,1,10,15,.0095,72.1,1,10,26,.0181,70,1,10,14,.0103,64.8,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,401834,4,101,N,ML,.225,40,75,56,.0091,66.1,10,9,.0083,71.9,0,10,5,.0026,71.1,1,10,16,.0099,67.5,1,10,26,.0157,62.3,1,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,403205,4,101,N,FR,,10,100,7,.0039,,10,7,.0039,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,403207,4,101,N,OR,,20,100,8,.0057,,10,0,0,,1,10,8,.0115,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,403311,4,101,N,OR,,20,100,4,.0031,,10,0,0,,1,10,4,.0062,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,404531,4,101,N,ML,.215,50,80,66,.0118,69.4,10,6,.0035,76.4,1,10,15,.0102,74.1,1,10,20,.0168,72.9,1,10,22,.0256,61.8,0,10,3,.0029,64.4,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,404532,4,101,N,ML,.37,50,100,73,.0107,76,10,6,.0047,76.5,1,10,19,.013,74.2,1,10,29,.0196,82,1,10,15,.0126,69.6,1,10,4,.0035,64.3,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,410094,4,101,N,FR,,10,100,3,.0038,,10,3,.0038,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:10:00,410095,4,101,N,OR,,12,100,62,.9982,,10,52,.9971,,1,2,10,.9994,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,401833,4,101,N,ML,.445,50,80,69,.0093,70.8,10,11,.0068,72.6,0,10,5,.0032,73.9,1,10,20,.0129,72.2,1,10,25,.0172,70.2,1,10,8,.0062,64.8,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,401834,4,101,N,ML,.225,39,75,63,.0099,66.8,10,12,.0095,71.9,0,10,5,.0029,71,1,9,22,.0134,67.8,1,10,24,.0138,62.5,1,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,403205,4,101,N,FR,,10,100,7,.0041,,10,7,.0041,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,403207,4,101,N,OR,,20,100,7,.0054,,10,0,0,,1,10,7,.0108,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,403311,4,101,N,OR,,20,100,0,0,,10,0,0,,1,10,0,0,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,404531,4,101,N,ML,.215,50,80,76,.0124,70.1,10,6,.0033,76.5,1,10,17,.0107,74.4,1,10,26,.0203,74.3,1,10,26,.027,61.8,0,10,1,.0007,64.5,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,404532,4,101,N,ML,.37,50,100,58,.0084,76.7,10,5,.004,76.5,1,10,17,.0117,74.3,1,10,24,.0164,82,1,10,12,.0097,69.7,1,10,0,0,64.3,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,410094,4,101,N,FR,,10,100,1,.0012,,10,1,.0012,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:15:00,410095,4,101,N,OR,,11,100,54,.9985,,10,44,.9976,,1,1,10,.9994,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,401833,4,101,N,ML,.445,50,80,47,.0073,69.4,10,3,.0031,72.5,0,10,3,.0017,74,1,10,13,.0087,72.1,1,10,16,.0129,69.4,1,10,12,.0103,64.6,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,401834,4,101,N,ML,.225,40,75,37,.0064,65.9,10,3,.0062,71.8,0,10,3,.0017,71,1,10,13,.0082,67.7,1,10,18,.0096,62.8,1,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,403205,4,101,N,FR,,10,100,13,.0097,,10,13,.0097,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,403207,4,101,N,OR,,20,100,9,.0069,,10,0,0,,1,10,9,.0137,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,403311,4,101,N,OR,,20,100,2,.0012,,10,0,0,,1,10,2,.0024,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,404531,4,101,N,ML,.215,50,80,57,.0109,68.9,10,3,.0016,76.5,1,10,13,.0086,74.3,1,10,17,.0157,73,1,10,21,.0262,61.8,0,10,3,.0022,64.6,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,404532,4,101,N,ML,.37,50,100,48,.008,74.5,10,2,.0016,76.5,1,10,15,.0104,74.3,1,10,14,.0117,82,1,10,14,.0134,69.2,1,10,3,.0029,64.2,1,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,410094,4,101,N,FR,,9,100,4,.0066,,9,4,.0066,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:20:00,410095,4,101,N,OR,,15,100,125,.9687,,6,17,.999,,1,9,108,.9384,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
11/01/2022 00:25:00,401833,4,101,N,ML,.445,50,80,68,.0109,69.4,10,10,.01,72,0,10,0,0,74,1,10,24,.0163,71.9,1,10,18,.0122,69.7,1,10,16,.016,63.5,1,,,,,0,,,,,0,,,,,0
